event_id,game_id,date,team,player,person_id,seconds,comment,official_reference_url
2021-02-14_TOR_MIN,0022000413,2021-02-14,MIN,Anthony Edwards,1630162,2097,,https://www.nba.com/game/0022000413/box-score
2021-02-16_MIN_LAL,0022000431,2021-02-16,MIN,Anthony Edwards,1630162,2060,,https://www.nba.com/game/0022000431/box-score
2021-02-17_MIN_IND,0022000440,2021-02-17,MIN,Anthony Edwards,1630162,2326,,https://www.nba.com/game/0022000440/box-score
2021-02-19_MIN_TOR,0022000454,2021-02-19,MIN,Anthony Edwards,1630162,2045,,https://www.nba.com/game/0022000454/box-score
2021-02-21_NYK_MIN,0022000469,2021-02-21,MIN,Anthony Edwards,1630162,1898,,https://www.nba.com/game/0022000469/box-score
2021-02-23_MIL_MIN,0022000486,2021-02-23,MIN,Anthony Edwards,1630162,1663,,https://www.nba.com/game/0022000486/box-score
2021-02-24_CHI_MIN,0022000493,2021-02-24,MIN,Anthony Edwards,1630162,2217,,https://www.nba.com/game/0022000493/box-score
2021-02-27_WAS_MIN,0022000517,2021-02-27,MIN,Anthony Edwards,1630162,1931,,https://www.nba.com/game/0022000517/box-score
2021-02-28_MIN_PHX,0022000526,2021-02-28,MIN,Anthony Edwards,1630162,2129,,https://www.nba.com/game/0022000526/box-score
2021-03-03_MIN_CHA,0022000547,2021-03-03,MIN,Anthony Edwards,1630162,1989,,https://www.nba.com/game/0022000547/box-score
2021-03-11_NOP_MIN,0022000574,2021-03-11,MIN,Anthony Edwards,1630162,2242,,https://www.nba.com/game/0022000574/box-score
2021-03-13_MIN_POR,0022000591,2021-03-13,MIN,Anthony Edwards,1630162,1769,,https://www.nba.com/game/0022000591/box-score
2021-03-14_MIN_POR,0022000599,2021-03-14,MIN,Anthony Edwards,1630162,2196,,https://www.nba.com/game/0022000599/box-score
2021-03-16_LAL_MIN,0022000615,2021-03-16,MIN,Anthony Edwards,1630162,2306,,https://www.nba.com/game/0022000615/box-score
2021-03-18_PHX_MIN,0022000628,2021-03-18,MIN,Anthony Edwards,1630162,2297,,https://www.nba.com/game/0022000628/box-score
2021-03-19_PHX_MIN,0022000638,2021-03-19,MIN,Anthony Edwards,1630162,2170,,https://www.nba.com/game/0022000638/box-score
2021-03-22_MIN_OKC,0022000654,2021-03-22,MIN,Anthony Edwards,1630162,1930,,https://www.nba.com/game/0022000654/box-score
2021-03-24_MIN_DAL,0022000673,2021-03-24,MIN,Anthony Edwards,1630162,2235,,https://www.nba.com/game/0022000673/box-score
2021-03-26_MIN_HOU,0022000688,2021-03-26,MIN,Anthony Edwards,1630162,1985,,https://www.nba.com/game/0022000688/box-score
2021-03-27_MIN_HOU,0022000696,2021-03-27,MIN,Anthony Edwards,1630162,2046,,https://www.nba.com/game/0022000696/box-score
2021-03-29_BKN_MIN,0022000709,2021-03-29,MIN,Anthony Edwards,1630162,2101,,https://www.nba.com/game/0022000709/box-score
2021-03-31_MIN_NYK,0022000726,2021-03-31,MIN,Anthony Edwards,1630162,2132,,https://www.nba.com/game/0022000726/box-score
2021-04-02_MEM_MIN,0022000741,2021-04-02,MIN,Anthony Edwards,1630162,1859,,https://www.nba.com/game/0022000741/box-score
2021-04-03_PHI_MIN,0022000750,2021-04-03,MIN,Anthony Edwards,1630162,2478,,https://www.nba.com/game/0022000750/box-score
2021-04-05_MIN_SAC,0022000765,2021-04-05,MIN,Anthony Edwards,1630162,2253,,https://www.nba.com/game/0022000765/box-score
2021-04-07_IND_MIN,0022000776,2021-04-07,MIN,Anthony Edwards,1630162,2032,,https://www.nba.com/game/0022000776/box-score
2021-04-09_BOS_MIN,0022000792,2021-04-09,MIN,Anthony Edwards,1630162,2426,,https://www.nba.com/game/0022000792/box-score
2021-04-11_MIN_CHI,0022000812,2021-04-11,MIN,Anthony Edwards,1630162,2149,,https://www.nba.com/game/0022000812/box-score
2021-04-13_MIN_BKN,0022000817,2021-04-13,MIN,Anthony Edwards,1630162,1992,,https://www.nba.com/game/0022000817/box-score
2021-04-14_MIN_MIL,0022000834,2021-04-14,MIN,Anthony Edwards,1630162,1854,,https://www.nba.com/game/0022000834/box-score
2021-04-16_MIN_MIA,0022000852,2021-04-16,MIN,Anthony Edwards,1630162,1820,,https://www.nba.com/game/0022000852/box-score
2021-04-18_LAC_MIN,0022000867,2021-04-18,MIN,Anthony Edwards,1630162,1720,,https://www.nba.com/game/0022000867/box-score
2021-04-20_SAC_MIN,0022000880,2021-04-20,MIN,Anthony Edwards,1630162,2274,,https://www.nba.com/game/0022000880/box-score
2021-04-21_SAC_MIN,0022000891,2021-04-21,MIN,Anthony Edwards,1630162,1677,,https://www.nba.com/game/0022000891/box-score
2021-04-24_UTA_MIN,0022000909,2021-04-24,MIN,Anthony Edwards,1630162,2169,,https://www.nba.com/game/0022000909/box-score
2021-04-26_MIN_UTA,0022000923,2021-04-26,MIN,Anthony Edwards,1630162,2264,,https://www.nba.com/game/0022000923/box-score
2021-04-27_HOU_MIN,0022000931,2021-04-27,MIN,Anthony Edwards,1630162,1984,,https://www.nba.com/game/0022000931/box-score
2021-04-29_MIN_GSW,0022000946,2021-04-29,MIN,Anthony Edwards,1630162,2070,,https://www.nba.com/game/0022000946/box-score
2021-05-01_MIN_NOP,0022000962,2021-05-01,MIN,Anthony Edwards,1630162,2292,,https://www.nba.com/game/0022000962/box-score
2021-05-05_MIN_MEM,0022000183,2021-05-05,MIN,Anthony Edwards,1630162,2294,,https://www.nba.com/game/0022000183/box-score
2021-05-07_MIA_MIN,0022001005,2021-05-07,MIN,Anthony Edwards,1630162,2481,,https://www.nba.com/game/0022001005/box-score
2021-05-09_ORL_MIN,0022001022,2021-05-09,MIN,Anthony Edwards,1630162,1738,,https://www.nba.com/game/0022001022/box-score
2021-05-11_DET_MIN,0022001033,2021-05-11,MIN,Anthony Edwards,1630162,2044,,https://www.nba.com/game/0022001033/box-score
2021-05-13_MIN_DEN,0022001052,2021-05-13,MIN,Anthony Edwards,1630162,2369,,https://www.nba.com/game/0022001052/box-score
2021-05-15_MIN_BOS,0022001063,2021-05-15,MIN,Anthony Edwards,1630162,2030,,https://www.nba.com/game/0022001063/box-score
2021-05-16_MIN_DAL,0022001071,2021-05-16,MIN,Anthony Edwards,1630162,2293,,https://www.nba.com/game/0022001071/box-score
2020-12-23_POR_UTA,0022000020,2020-12-23,POR,Gary Trent Jr.,1629018,1568,,https://www.nba.com/game/0022000020/box-score
2020-12-26_POR_HOU,0022000029,2020-12-26,POR,Gary Trent Jr.,1629018,355,,https://www.nba.com/game/0022000029/box-score
2020-12-28_LAL_POR,0022000045,2020-12-28,POR,Gary Trent Jr.,1629018,1423,,https://www.nba.com/game/0022000045/box-score
2021-01-03_GSW_POR,0022000092,2021-01-03,POR,Gary Trent Jr.,1629018,1893,,https://www.nba.com/game/0022000092/box-score
2021-01-05_POR_CHI,0022000106,2021-01-05,POR,Gary Trent Jr.,1629018,1116,,https://www.nba.com/game/0022000106/box-score
2021-01-07_POR_MIN,0022000122,2021-01-07,POR,Gary Trent Jr.,1629018,1644,,https://www.nba.com/game/0022000122/box-score
2021-01-09_SAC_POR,0022000140,2021-01-09,POR,Gary Trent Jr.,1629018,1831,,https://www.nba.com/game/0022000140/box-score
2021-01-11_POR_TOR,0022000155,2021-01-11,POR,Gary Trent Jr.,1629018,1784,,https://www.nba.com/game/0022000155/box-score
2021-01-13_SAC_POR,0022000173,2021-01-13,POR,Gary Trent Jr.,1629018,1408,,https://www.nba.com/game/0022000173/box-score
2021-01-14_POR_IND,0022000178,2021-01-14,POR,Gary Trent Jr.,1629018,1472,,https://www.nba.com/game/0022000178/box-score
2021-01-16_POR_ATL,0022000195,2021-01-16,POR,Gary Trent Jr.,1629018,1593,,https://www.nba.com/game/0022000195/box-score
2021-01-18_POR_SAS,0022000207,2021-01-18,POR,Gary Trent Jr.,1629018,1434,,https://www.nba.com/game/0022000207/box-score
2021-01-24_POR_NYK,0022000256,2021-01-24,POR,Gary Trent Jr.,1629018,1277,,https://www.nba.com/game/0022000256/box-score
2021-01-25_POR_OKC,0022000267,2021-01-25,POR,Gary Trent Jr.,1629018,2482,,https://www.nba.com/game/0022000267/box-score
2021-01-28_HOU_POR,0022000287,2021-01-28,POR,Gary Trent Jr.,1629018,2278,,https://www.nba.com/game/0022000287/box-score
2021-01-30_CHI_POR,0022000298,2021-01-30,POR,Gary Trent Jr.,1629018,2202,,https://www.nba.com/game/0022000298/box-score
2021-02-01_MIL_POR,0022000316,2021-02-01,POR,Gary Trent Jr.,1629018,1743,,https://www.nba.com/game/0022000316/box-score
2021-02-02_WAS_POR,0022000559,2021-02-02,POR,Gary Trent Jr.,1629018,2380,,https://www.nba.com/game/0022000559/box-score
2021-02-04_PHI_POR,0022000337,2021-02-04,POR,Gary Trent Jr.,1629018,2294,,https://www.nba.com/game/0022000337/box-score
2021-02-06_NYK_POR,0022000351,2021-02-06,POR,Gary Trent Jr.,1629018,2095,,https://www.nba.com/game/0022000351/box-score
2021-02-09_POR_ORL,0022000380,2021-02-09,POR,Gary Trent Jr.,1629018,1983,,https://www.nba.com/game/0022000380/box-score
2021-02-11_POR_PHI,0022000394,2021-02-11,POR,Gary Trent Jr.,1629018,2217,,https://www.nba.com/game/0022000394/box-score
2021-02-12_POR_CLE,0022000404,2021-02-12,POR,Gary Trent Jr.,1629018,2184,,https://www.nba.com/game/0022000404/box-score
2021-02-14_DAL_POR,0022000411,2021-02-14,POR,Gary Trent Jr.,1629018,2136,,https://www.nba.com/game/0022000411/box-score
2021-02-16_OKC_POR,0022000432,2021-02-16,POR,Gary Trent Jr.,1629018,2283,,https://www.nba.com/game/0022000432/box-score
2021-02-17_NOP_POR,0022000441,2021-02-17,POR,Gary Trent Jr.,1629018,2036,,https://www.nba.com/game/0022000441/box-score
2021-02-20_POR_WAS,0022000464,2021-02-20,POR,Gary Trent Jr.,1629018,2320,,https://www.nba.com/game/0022000464/box-score
2021-02-22_PHX_POR,0022000477,2021-02-22,POR,Gary Trent Jr.,1629018,2163,,https://www.nba.com/game/0022000477/box-score
2021-02-23_DEN_POR,0022000487,2021-02-23,POR,Gary Trent Jr.,1629018,2070,,https://www.nba.com/game/0022000487/box-score
2021-02-26_LAL_POR,0022000512,2021-02-26,POR,Gary Trent Jr.,1629018,2014,,https://www.nba.com/game/0022000512/box-score
2021-03-01_POR_CHA,0022000535,2021-03-01,POR,Gary Trent Jr.,1629018,1705,,https://www.nba.com/game/0022000535/box-score
2021-03-03_POR_GSW,0022000550,2021-03-03,POR,Gary Trent Jr.,1629018,2397,,https://www.nba.com/game/0022000550/box-score
2021-03-04_POR_SAC,0022000558,2021-03-04,POR,Gary Trent Jr.,1629018,2033,,https://www.nba.com/game/0022000558/box-score
2021-03-11_POR_PHX,0022000577,2021-03-11,POR,Gary Trent Jr.,1629018,2122,,https://www.nba.com/game/0022000577/box-score
2021-03-13_MIN_POR,0022000591,2021-03-13,POR,Gary Trent Jr.,1629018,1788,,https://www.nba.com/game/0022000591/box-score
2021-03-14_MIN_POR,0022000599,2021-03-14,POR,Gary Trent Jr.,1629018,2028,,https://www.nba.com/game/0022000599/box-score
2021-03-16_POR_NOP,0022000614,2021-03-16,POR,Gary Trent Jr.,1629018,1900,,https://www.nba.com/game/0022000614/box-score
2021-03-18_POR_NOP,0022000629,2021-03-18,POR,Gary Trent Jr.,1629018,1657,,https://www.nba.com/game/0022000629/box-score
2021-03-19_POR_DAL,0022000639,2021-03-19,POR,Gary Trent Jr.,1629018,1646,,https://www.nba.com/game/0022000639/box-score
2021-03-21_POR_DAL,0022000652,2021-03-21,POR,Gary Trent Jr.,1629018,1292,,https://www.nba.com/game/0022000652/box-score
2021-03-23_POR_BKN,0022000666,2021-03-23,POR,Gary Trent Jr.,1629018,1473,,https://www.nba.com/game/0022000666/box-score
2021-03-26_TOR_PHX,0022000684,2021-03-26,TOR,Gary Trent Jr.,1629018,1865,,https://www.nba.com/game/0022000684/box-score
2021-03-28_TOR_POR,0022000704,2021-03-28,TOR,Gary Trent Jr.,1629018,1708,,https://www.nba.com/game/0022000704/box-score
2021-03-29_DET_TOR,0022000711,2021-03-29,TOR,Gary Trent Jr.,1629018,2274,,https://www.nba.com/game/0022000711/box-score
2021-03-31_OKC_TOR,0022000727,2021-03-31,TOR,Gary Trent Jr.,1629018,2160,,https://www.nba.com/game/0022000727/box-score
2021-04-02_TOR_GSW,0022000737,2021-04-02,TOR,Gary Trent Jr.,1629018,1789,,https://www.nba.com/game/0022000737/box-score
2021-04-05_TOR_WAS,0022000763,2021-04-05,TOR,Gary Trent Jr.,1629018,1872,,https://www.nba.com/game/0022000763/box-score
2021-04-06_TOR_LAL,0022000772,2021-04-06,TOR,Gary Trent Jr.,1629018,2025,,https://www.nba.com/game/0022000772/box-score
2021-04-08_TOR_CHI,0022000523,2021-04-08,TOR,Gary Trent Jr.,1629018,2339,,https://www.nba.com/game/0022000523/box-score
2021-04-10_CLE_TOR,0022000794,2021-04-10,TOR,Gary Trent Jr.,1629018,1979,,https://www.nba.com/game/0022000794/box-score
2021-04-11_NYK_TOR,0022000809,2021-04-11,TOR,Gary Trent Jr.,1629018,2100,,https://www.nba.com/game/0022000809/box-score
2021-04-13_TOR_ATL,0022000824,2021-04-13,TOR,Gary Trent Jr.,1629018,2109,,https://www.nba.com/game/0022000824/box-score
2021-04-18_TOR_OKC,0022000865,2021-04-18,TOR,Gary Trent Jr.,1629018,1980,,https://www.nba.com/game/0022000865/box-score
2021-04-21_TOR_BKN,0022000884,2021-04-21,TOR,Gary Trent Jr.,1629018,868,,https://www.nba.com/game/0022000884/box-score
2021-04-24_NYK_TOR,0022000904,2021-04-24,TOR,Gary Trent Jr.,1629018,1138,,https://www.nba.com/game/0022000904/box-score
2021-05-06_TOR_WAS,0022000997,2021-05-06,TOR,Gary Trent Jr.,1629018,2166,,https://www.nba.com/game/0022000997/box-score
2021-05-08_TOR_MEM,0022001014,2021-05-08,TOR,Gary Trent Jr.,1629018,2172,,https://www.nba.com/game/0022001014/box-score
2021-05-11_TOR_LAC,0022001034,2021-05-11,TOR,Gary Trent Jr.,1629018,1857,,https://www.nba.com/game/0022001034/box-score
2021-05-13_CHI_TOR,0022001051,2021-05-13,TOR,Gary Trent Jr.,1629018,0,DNP - Coach's Decision,https://www.nba.com/game/0022001051/box-score
2021-05-14_DAL_TOR,0022001057,2021-05-14,TOR,Gary Trent Jr.,1629018,0,DNP - Coach's Decision,https://www.nba.com/game/0022001057/box-score
2021-05-16_TOR_IND,0022001079,2021-05-16,TOR,Gary Trent Jr.,1629018,0,DNP - Coach's Decision,https://www.nba.com/game/0022001079/box-score
2020-12-23_MIN_DET,0022000018,2020-12-23,DET,Killian Hayes,1630165,1272,,https://www.nba.com/game/0022000018/box-score
2020-12-26_DET_CLE,0022000023,2020-12-26,DET,Killian Hayes,1630165,1170,,https://www.nba.com/game/0022000023/box-score
2020-12-28_ATL_DET,0022000041,2020-12-28,DET,Killian Hayes,1630165,1763,,https://www.nba.com/game/0022000041/box-score
2020-12-29_DET_GSW,0022000047,2020-12-29,DET,Killian Hayes,1630165,1017,,https://www.nba.com/game/0022000047/box-score
2021-01-01_DET_BOS,0022000070,2021-01-01,DET,Killian Hayes,1630165,1404,,https://www.nba.com/game/0022000070/box-score
2021-01-03_DET_BOS,0022000085,2021-01-03,DET,Killian Hayes,1630165,1440,,https://www.nba.com/game/0022000085/box-score
2021-01-04_MIL_DET,0022000099,2021-01-04,DET,Killian Hayes,1630165,804,,https://www.nba.com/game/0022000099/box-score
2021-04-03_DET_NYK,0022000748,2021-04-03,DET,Killian Hayes,1630165,1195,,https://www.nba.com/game/0022000748/box-score
2021-04-05_OKC_DET,0022000766,2021-04-05,DET,Killian Hayes,1630165,1506,,https://www.nba.com/game/0022000766/box-score
2021-04-08_SAC_DET,0022000789,2021-04-08,DET,Killian Hayes,1630165,1258,,https://www.nba.com/game/0022000789/box-score
2021-04-10_POR_DET,0022000804,2021-04-10,DET,Killian Hayes,1630165,991,,https://www.nba.com/game/0022000804/box-score
2021-04-14_DET_LAC,0022000832,2021-04-14,DET,Killian Hayes,1630165,1501,,https://www.nba.com/game/0022000832/box-score
2021-04-16_DET_OKC,0022000845,2021-04-16,DET,Killian Hayes,1630165,1605,,https://www.nba.com/game/0022000845/box-score
2021-04-19_DET_CLE,0022000868,2021-04-19,DET,Killian Hayes,1630165,2003,,https://www.nba.com/game/0022000868/box-score
2021-04-22_SAS_DET,0022000895,2021-04-22,DET,Killian Hayes,1630165,1838,,https://www.nba.com/game/0022000895/box-score
2021-04-24_IND_DET,0022000906,2021-04-24,DET,Killian Hayes,1630165,1098,,https://www.nba.com/game/0022000906/box-score
2021-04-26_DET_ATL,0022000916,2021-04-26,DET,Killian Hayes,1630165,1392,,https://www.nba.com/game/0022000916/box-score
2021-04-29_DET_DAL,0022000943,2021-04-29,DET,Killian Hayes,1630165,1799,,https://www.nba.com/game/0022000943/box-score
2021-05-01_CHA_DET,0022000957,2021-05-01,DET,Killian Hayes,1630165,1907,,https://www.nba.com/game/0022000957/box-score
2021-05-03_DET_ORL,0022000975,2021-05-03,DET,Killian Hayes,1630165,1662,,https://www.nba.com/game/0022000975/box-score
2021-05-04_DET_CHA,0022000984,2021-05-04,DET,Killian Hayes,1630165,1738,,https://www.nba.com/game/0022000984/box-score
2021-05-08_PHI_DET,0022001013,2021-05-08,DET,Killian Hayes,1630165,1282,,https://www.nba.com/game/0022001013/box-score
2021-05-09_DET_CHI,0022001023,2021-05-09,DET,Killian Hayes,1630165,2305,,https://www.nba.com/game/0022001023/box-score
2021-05-11_DET_MIN,0022001033,2021-05-11,DET,Killian Hayes,1630165,2153,,https://www.nba.com/game/0022001033/box-score
2021-05-14_DET_DEN,0022001054,2021-05-14,DET,Killian Hayes,1630165,2256,,https://www.nba.com/game/0022001054/box-score
2021-05-16_DET_MIA,0022001069,2021-05-16,DET,Killian Hayes,1630165,1854,,https://www.nba.com/game/0022001069/box-score
2020-12-23_TOR_NOP,0022000014,2020-12-23,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000014/box-score
2020-12-25_MIA_NOP,0022000005,2020-12-25,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000005/box-score
2020-12-27_NOP_SAS,0022000034,2020-12-27,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000034/box-score
2020-12-29_PHX_NOP,0022000053,2020-12-29,NOP,Kira Lewis Jr.,1630184,578,,https://www.nba.com/game/0022000053/box-score
2020-12-31_OKC_NOP,0022000067,2020-12-31,NOP,Kira Lewis Jr.,1630184,188,,https://www.nba.com/game/0022000067/box-score
2021-01-02_NOP_TOR,0022000084,2021-01-02,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000084/box-score
2021-01-04_NOP_IND,0022000100,2021-01-04,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000100/box-score
2021-01-06_NOP_OKC,0022000114,2021-01-06,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000114/box-score
2021-01-08_NOP_CHA,0022000126,2021-01-08,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000126/box-score
2021-01-13_LAC_NOP,0022000172,2021-01-13,NOP,Kira Lewis Jr.,1630184,934,,https://www.nba.com/game/0022000172/box-score
2021-01-15_LAL_NOP,0022000187,2021-01-15,NOP,Kira Lewis Jr.,1630184,642,,https://www.nba.com/game/0022000187/box-score
2021-01-17_SAC_NOP,0022000201,2021-01-17,NOP,Kira Lewis Jr.,1630184,906,,https://www.nba.com/game/0022000201/box-score
2021-01-19_UTA_NOP,0022000214,2021-01-19,NOP,Kira Lewis Jr.,1630184,219,,https://www.nba.com/game/0022000214/box-score
2021-01-21_UTA_NOP,0022000227,2021-01-21,NOP,Kira Lewis Jr.,1630184,119,,https://www.nba.com/game/0022000227/box-score
2021-01-23_MIN_NOP,0022000246,2021-01-23,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000246/box-score
2021-01-27_NOP_WAS,0022000279,2021-01-27,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000279/box-score
2021-01-29_NOP_MIL,0022000293,2021-01-29,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000293/box-score
2021-01-30_NOP_HOU,0022000300,2021-01-30,NOP,Kira Lewis Jr.,1630184,593,,https://www.nba.com/game/0022000300/box-score
2021-02-01_NOP_SAC,0022000317,2021-02-01,NOP,Kira Lewis Jr.,1630184,937,,https://www.nba.com/game/0022000317/box-score
2021-02-03_NOP_PHX,0022000335,2021-02-03,NOP,Kira Lewis Jr.,1630184,153,,https://www.nba.com/game/0022000335/box-score
2021-02-05_IND_NOP,0022000343,2021-02-05,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000343/box-score
2021-02-06_NOP_MEM,0022000355,2021-02-06,NOP,Kira Lewis Jr.,1630184,1131,,https://www.nba.com/game/0022000355/box-score
2021-02-09_NOP_HOU,0022000377,2021-02-09,NOP,Kira Lewis Jr.,1630184,1191,,https://www.nba.com/game/0022000377/box-score
2021-02-10_CHI_NOP,0022000385,2021-02-10,NOP,Kira Lewis Jr.,1630184,1425,,https://www.nba.com/game/0022000385/box-score
2021-02-12_DAL_NOP,0022000399,2021-02-12,NOP,Kira Lewis Jr.,1630184,997,,https://www.nba.com/game/0022000399/box-score
2021-02-14_DET_NOP,0022000561,2021-02-14,NOP,Kira Lewis Jr.,1630184,1000,,https://www.nba.com/game/0022000561/box-score
2021-02-16_MEM_NOP,0022000429,2021-02-16,NOP,Kira Lewis Jr.,1630184,1331,,https://www.nba.com/game/0022000429/box-score
2021-02-17_NOP_POR,0022000441,2021-02-17,NOP,Kira Lewis Jr.,1630184,1049,,https://www.nba.com/game/0022000441/box-score
2021-02-19_NOP_PHX,0022000455,2021-02-19,NOP,Kira Lewis Jr.,1630184,1127,,https://www.nba.com/game/0022000455/box-score
2021-02-21_NOP_BOS,0022000465,2021-02-21,NOP,Kira Lewis Jr.,1630184,410,,https://www.nba.com/game/0022000465/box-score
2021-02-24_NOP_DET,0022000494,2021-02-24,NOP,Kira Lewis Jr.,1630184,410,,https://www.nba.com/game/0022000494/box-score
2021-02-25_MIL_NOP,0022000503,2021-02-25,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000503/box-score
2021-02-27_SAS_NOP,0022000514,2021-02-27,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000514/box-score
2021-03-01_NOP_UTA,0022000533,2021-03-01,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000533/box-score
2021-03-03_NOP_CHI,0022000548,2021-03-03,NOP,Kira Lewis Jr.,1630184,0,DNP - Coach's Decision,https://www.nba.com/game/0022000548/box-score
2021-03-04_NOP_MIA,0022000557,2021-03-04,NOP,Kira Lewis Jr.,1630184,1029,,https://www.nba.com/game/0022000557/box-score
2021-03-11_NOP_MIN,0022000574,2021-03-11,NOP,Kira Lewis Jr.,1630184,1325,,https://www.nba.com/game/0022000574/box-score
2021-03-12_NOP_CLE,0022000581,2021-03-12,NOP,Kira Lewis Jr.,1630184,1372,,https://www.nba.com/game/0022000581/box-score
2021-03-14_NOP_LAC,0022000601,2021-03-14,NOP,Kira Lewis Jr.,1630184,1632,,https://www.nba.com/game/0022000601/box-score
2021-03-16_POR_NOP,0022000614,2021-03-16,NOP,Kira Lewis Jr.,1630184,558,,https://www.nba.com/game/0022000614/box-score
2021-03-18_POR_NOP,0022000629,2021-03-18,NOP,Kira Lewis Jr.,1630184,600,,https://www.nba.com/game/0022000629/box-score
2021-03-21_DEN_NOP,0022000646,2021-03-21,NOP,Kira Lewis Jr.,1630184,1001,,https://www.nba.com/game/0022000646/box-score
