season,date,game_id,team,player,person_id,seconds,start,comment,pts,fgm,fga,fg3m,fg3a,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2020-21,2020-12-29,0022000050,CHI,Zach LaVine,203897,2297,1,,23,6,15,3,7,8,9,2,3,5,6,4,0,3,2
2020-21,2020-12-29,0022000052,ORL,Nikola Vucevic,202696,2065,1,,28,12,18,3,4,1,1,3,7,10,5,1,0,1,0
2020-21,2020-12-29,0022000053,NOP,Lonzo Ball,1628366,1385,1,,7,3,12,1,7,0,0,0,0,0,1,0,0,3,2
2020-21,2020-12-30,0022000059,CHA,LaMelo Ball,1630163,1764,0,,22,7,10,4,5,4,4,4,4,8,5,1,1,2,3
2020-21,2020-12-30,0022000060,LAL,Alex Caruso,1627936,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-30,0022000060,SAS,DeMar DeRozan,201942,2161,1,,23,7,12,1,1,8,10,0,5,5,6,1,1,2,2
2020-21,2020-12-31,0022000063,CHI,Coby White,1629632,2410,1,,16,5,16,3,9,3,5,1,5,6,10,0,0,3,4
2020-21,2020-12-31,0022000063,CHI,Denzel Valentine,1627756,899,0,,3,1,3,1,2,0,0,1,3,4,1,1,0,0,2
2020-21,2020-12-31,0022000063,CHI,Patrick Williams,1630172,1104,1,,10,4,5,1,2,1,2,0,1,1,0,0,0,2,4
2020-21,2020-12-31,0022000063,CHI,Thaddeus Young,201152,1622,0,,15,7,12,1,2,0,0,1,2,3,6,2,0,2,2
2020-21,2020-12-31,0022000063,CHI,Wendell Carter Jr.,1628976,1378,1,,16,7,11,1,1,1,2,1,4,5,1,1,1,2,5
2020-21,2020-12-31,0022000063,CHI,Zach LaVine,203897,2093,1,,22,6,17,1,7,9,10,0,6,6,7,0,1,3,4
2020-21,2020-12-31,0022000064,ORL,Nikola Vucevic,202696,1427,1,,19,8,15,3,6,0,0,2,8,10,3,0,0,0,3
2020-21,2020-12-31,0022000064,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2020-12-31,0022000066,TOR,Stanley Johnson,1626169,755,0,,0,0,2,0,2,0,0,1,3,4,2,0,0,0,1
2020-21,2020-12-31,0022000067,NOP,Lonzo Ball,1628366,1946,1,,16,7,15,2,7,0,1,1,7,8,9,1,0,3,2
2020-21,2021-01-01,0022000069,CHA,LaMelo Ball,1630163,1602,0,,15,6,14,2,7,1,2,1,2,3,6,2,0,2,2
2020-21,2021-01-01,0022000073,CHI,Coby White,1629632,1731,1,,12,4,13,1,5,3,4,0,4,4,3,0,0,4,2
2020-21,2021-01-01,0022000073,CHI,Denzel Valentine,1627756,1232,0,,14,5,8,2,3,2,2,1,4,5,0,2,0,1,0
2020-21,2021-01-01,0022000073,CHI,Patrick Williams,1630172,1526,1,,8,4,11,0,2,0,1,0,6,6,0,0,1,3,4
2020-21,2021-01-01,0022000073,CHI,Thaddeus Young,201152,1354,0,,6,2,5,0,2,2,2,0,1,1,2,1,2,4,2
2020-21,2021-01-01,0022000073,CHI,Wendell Carter Jr.,1628976,1508,1,,12,5,7,1,2,1,2,1,4,5,3,0,1,1,4
2020-21,2021-01-01,0022000073,CHI,Zach LaVine,203897,1631,1,,16,7,16,1,4,1,1,0,6,6,2,1,1,5,0
2020-21,2021-01-01,0022000075,LAL,Alex Caruso,1627936,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-01,0022000075,SAS,DeMar DeRozan,201942,2202,1,,23,8,16,3,4,4,5,1,8,9,7,0,1,0,2
2020-21,2021-01-02,0022000081,ORL,Nikola Vucevic,202696,2098,1,,30,13,21,4,7,0,0,2,11,13,2,0,0,1,1
2020-21,2021-01-02,0022000082,CHA,LaMelo Ball,1630163,1841,0,,13,4,12,1,4,4,6,2,2,4,5,4,2,2,4
2020-21,2021-01-02,0022000082,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-02,0022000084,NOP,Lonzo Ball,1628366,2120,1,,13,5,14,3,8,0,0,1,3,4,4,0,2,0,3
2020-21,2021-01-02,0022000084,TOR,Stanley Johnson,1626169,719,0,,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1
2020-21,2021-01-03,0022000089,SAS,DeMar DeRozan,201942,1606,1,,19,9,17,0,2,1,2,0,5,5,4,2,0,2,3
2020-21,2021-01-03,0022000090,CHI,Coby White,1629632,1970,1,,23,7,14,4,9,5,5,1,6,7,4,0,0,4,5
2020-21,2021-01-03,0022000090,CHI,Denzel Valentine,1627756,947,0,,6,2,4,2,4,0,0,0,4,4,1,1,0,0,0
2020-21,2021-01-03,0022000090,CHI,Patrick Williams,1630172,1704,1,,6,3,8,0,1,0,0,0,5,5,1,3,2,0,1
2020-21,2021-01-03,0022000090,CHI,Thaddeus Young,201152,1706,0,,7,3,6,1,2,0,0,3,1,4,1,1,0,3,3
2020-21,2021-01-03,0022000090,CHI,Wendell Carter Jr.,1628976,1370,1,,7,2,8,0,1,3,5,2,5,7,1,1,0,1,3
2020-21,2021-01-03,0022000090,CHI,Zach LaVine,203897,2320,1,,39,14,25,3,9,8,9,0,6,6,5,3,0,4,4
2020-21,2021-01-04,0022000093,ORL,Nikola Vucevic,202696,1869,1,,23,9,16,2,5,3,3,2,6,8,2,2,3,0,0
2020-21,2021-01-04,0022000094,CHA,LaMelo Ball,1630163,1825,0,,12,5,16,0,5,2,3,2,5,7,9,2,0,2,2
2020-21,2021-01-04,0022000094,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-04,0022000097,TOR,Stanley Johnson,1626169,658,0,,0,0,1,0,1,0,0,0,2,2,2,3,0,2,1
2020-21,2021-01-04,0022000100,NOP,Lonzo Ball,1628366,2289,1,,18,7,11,4,6,0,0,0,6,6,6,0,0,4,5
2020-21,2021-01-05,0022000105,SAS,DeMar DeRozan,201942,1711,1,,6,3,9,0,0,0,0,1,4,5,6,0,1,2,3
2020-21,2021-01-05,0022000106,CHI,Coby White,1629632,2319,1,,21,8,19,2,7,3,4,2,8,10,5,0,0,2,2
2020-21,2021-01-05,0022000106,CHI,Denzel Valentine,1627756,1152,0,,0,0,3,0,2,0,0,0,8,8,2,1,0,1,0
2020-21,2021-01-05,0022000106,CHI,Patrick Williams,1630172,1493,1,,14,5,8,2,2,2,2,1,2,3,1,0,0,2,2
2020-21,2021-01-05,0022000106,CHI,Thaddeus Young,201152,1392,0,,10,4,8,1,2,1,1,2,6,8,4,0,0,3,4
2020-21,2021-01-05,0022000106,CHI,Wendell Carter Jr.,1628976,1514,1,,13,4,9,0,2,5,6,2,1,3,5,1,1,1,5
2020-21,2021-01-05,0022000106,CHI,Zach LaVine,203897,2559,1,,18,6,18,3,10,3,3,0,4,4,9,0,2,4,2
2020-21,2021-01-06,0022000108,ORL,Nikola Vucevic,202696,2048,1,,16,7,18,1,5,1,1,0,7,7,6,0,1,2,2
2020-21,2021-01-06,0022000109,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-06,0022000110,CHA,LaMelo Ball,1630163,1420,0,,13,5,11,1,4,2,2,2,6,8,5,0,0,1,2
2020-21,2021-01-06,0022000114,NOP,Lonzo Ball,1628366,2152,1,,15,6,18,2,9,1,1,0,4,4,4,0,0,4,5
2020-21,2021-01-06,0022000115,TOR,Stanley Johnson,1626169,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-06,0022000117,CHI,Coby White,1629632,2378,1,,36,15,23,4,9,2,2,0,3,3,7,0,0,0,1
2020-21,2021-01-06,0022000117,CHI,Denzel Valentine,1627756,1274,0,,10,4,10,2,7,0,0,0,4,4,5,2,0,0,2
2020-21,2021-01-06,0022000117,CHI,Patrick Williams,1630172,1331,1,,9,3,6,1,2,2,2,1,1,2,1,1,0,0,5
2020-21,2021-01-06,0022000117,CHI,Thaddeus Young,201152,1245,0,,8,4,5,0,1,0,0,0,2,2,0,0,0,3,2
2020-21,2021-01-06,0022000117,CHI,Wendell Carter Jr.,1628976,1797,1,,11,4,9,0,0,3,4,6,11,17,4,0,0,1,1
2020-21,2021-01-06,0022000117,CHI,Zach LaVine,203897,2183,1,,32,13,24,3,11,3,5,0,7,7,3,0,1,6,3
2020-21,2021-01-07,0022000118,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-07,0022000121,LAL,Alex Caruso,1627936,1223,0,,8,3,3,2,2,0,0,0,3,3,1,0,0,0,3
2020-21,2021-01-07,0022000121,SAS,DeMar DeRozan,201942,2174,1,,19,5,13,2,6,7,8,0,4,4,8,2,1,0,1
2020-21,2021-01-08,0022000124,BOS,Javonte Green,1629750,1085,0,,7,2,3,0,1,3,5,1,2,3,1,3,0,1,1
2020-21,2021-01-08,0022000126,CHA,LaMelo Ball,1630163,1534,0,,12,4,11,1,5,3,4,4,6,10,9,1,0,3,3
2020-21,2021-01-08,0022000126,NOP,Lonzo Ball,1628366,2190,1,,5,2,8,1,7,0,0,0,2,2,3,1,1,2,0
2020-21,2021-01-08,0022000127,ORL,Nikola Vucevic,202696,1777,1,,22,8,19,3,7,3,3,3,9,12,3,1,0,0,0
2020-21,2021-01-08,0022000131,LAL,Alex Caruso,1627936,1004,0,,9,3,7,3,6,0,0,0,2,2,3,1,0,2,0
2020-21,2021-01-08,0022000131,CHI,Coby White,1629632,1907,1,,14,6,14,2,5,0,0,0,3,3,5,0,0,3,3
2020-21,2021-01-08,0022000131,CHI,Denzel Valentine,1627756,1470,0,,5,2,8,1,5,0,0,0,4,4,1,0,0,0,1
2020-21,2021-01-08,0022000131,CHI,Patrick Williams,1630172,2055,1,,6,3,10,0,2,0,0,2,6,8,0,4,0,2,5
2020-21,2021-01-08,0022000131,CHI,Thaddeus Young,201152,1792,0,,15,7,12,0,1,1,1,3,4,7,5,1,0,2,4
2020-21,2021-01-08,0022000131,CHI,Wendell Carter Jr.,1628976,1515,1,,23,9,15,0,1,5,6,3,4,7,3,0,0,1,4
2020-21,2021-01-08,0022000131,CHI,Zach LaVine,203897,2302,1,,38,14,22,4,7,6,6,0,5,5,6,2,0,0,1
2020-21,2021-01-08,0022000132,TOR,Stanley Johnson,1626169,929,0,,0,0,2,0,1,0,0,1,3,4,1,0,0,0,1
2020-21,2021-01-09,0022000133,PHI,Tony Bradley,1628396,1465,0,,11,5,7,0,1,1,2,5,10,15,1,1,1,1,2
2020-21,2021-01-09,0022000134,CHA,LaMelo Ball,1630163,1871,0,,22,9,13,3,5,1,2,3,9,12,11,1,0,1,4
2020-21,2021-01-09,0022000138,SAS,DeMar DeRozan,201942,2629,1,,38,13,23,0,2,12,13,1,4,5,5,0,0,1,1
2020-21,2021-01-09,0022000139,ORL,Nikola Vucevic,202696,2007,1,,30,14,24,2,7,0,0,3,12,15,2,2,0,0,3
2020-21,2021-01-10,0022000142,CHI,Coby White,1629632,2575,1,,9,4,11,0,4,1,2,1,7,8,13,1,0,5,4
2020-21,2021-01-10,0022000142,CHI,Denzel Valentine,1627756,1210,0,,10,4,6,2,3,0,0,0,4,4,3,0,0,2,1
2020-21,2021-01-10,0022000142,CHI,Patrick Williams,1630172,2146,1,,17,6,9,3,5,2,2,1,1,2,2,2,0,2,1
2020-21,2021-01-10,0022000142,CHI,Thaddeus Young,201152,1520,0,,14,6,7,0,0,2,3,0,5,5,2,0,0,0,2
2020-21,2021-01-10,0022000142,CHI,Wendell Carter Jr.,1628976,1608,1,,12,4,8,0,1,4,4,1,4,5,2,0,0,4,2
2020-21,2021-01-10,0022000142,CHI,Zach LaVine,203897,2516,1,,45,15,26,10,16,5,5,0,7,7,7,0,0,5,4
2020-21,2021-01-10,0022000146,LAL,Alex Caruso,1627936,1290,0,,3,1,5,0,1,1,2,2,2,4,4,3,0,0,1
2020-21,2021-01-10,0022000147,SAS,DeMar DeRozan,201942,0,0,NWT - Personal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-10,0022000148,TOR,Stanley Johnson,1626169,562,0,,3,1,1,0,0,1,2,0,3,3,1,2,0,0,1
2020-21,2021-01-11,0022000149,CHA,LaMelo Ball,1630163,1774,0,,8,3,13,2,6,0,0,1,13,14,7,3,1,1,2
2020-21,2021-01-11,0022000151,ORL,Nikola Vucevic,202696,1912,1,,28,11,24,4,9,2,2,5,8,13,5,0,0,4,1
2020-21,2021-01-11,0022000153,PHI,Tony Bradley,1628396,814,0,,6,3,6,0,0,0,0,4,4,8,1,0,2,0,0
2020-21,2021-01-11,0022000155,TOR,Stanley Johnson,1626169,1398,0,,7,3,6,1,2,0,0,3,2,5,3,1,0,2,2
2020-21,2021-01-12,0022000157,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-12,0022000161,LAL,Alex Caruso,1627936,1065,0,,0,0,4,0,2,0,0,1,5,6,3,3,1,2,1
2020-21,2021-01-12,0022000162,SAS,DeMar DeRozan,201942,0,0,DNP_PERSONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-13,0022000164,CHA,LaMelo Ball,1630163,1525,0,,4,2,8,0,4,0,1,0,7,7,5,0,0,2,3
2020-21,2021-01-13,0022000170,LAL,Alex Caruso,1627936,1327,0,,6,2,2,2,2,0,0,0,1,1,2,0,0,2,1
2020-21,2021-01-14,0022000174,PHI,Tony Bradley,1628396,142,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-21,2021-01-14,0022000175,CHA,LaMelo Ball,1630163,1565,0,,14,6,14,2,5,0,0,2,4,6,11,3,1,5,2
2020-21,2021-01-14,0022000175,TOR,Stanley Johnson,1626169,1248,0,,6,2,3,2,3,0,0,0,1,1,3,1,1,2,3
2020-21,2021-01-14,0022000176,SAS,DeMar DeRozan,201942,2094,1,,13,5,14,0,2,3,3,1,5,6,7,1,1,1,1
2020-21,2021-01-15,0022000180,BOS,Javonte Green,1629750,1256,0,,10,4,6,0,2,2,3,1,1,2,1,2,0,1,2
2020-21,2021-01-15,0022000180,ORL,Nikola Vucevic,202696,1558,1,,15,6,13,1,4,2,2,2,4,6,4,2,0,1,2
2020-21,2021-01-15,0022000184,CHI,Coby White,1629632,2664,1,,22,8,20,4,9,2,2,1,8,9,7,0,0,4,5
2020-21,2021-01-15,0022000184,CHI,Denzel Valentine,1627756,926,0,,4,2,7,0,3,0,0,0,4,4,3,2,0,2,2
2020-21,2021-01-15,0022000184,CHI,Lauri Markkanen,1628374,2101,1,,16,5,14,3,9,3,3,1,5,6,0,1,2,2,5
2020-21,2021-01-15,0022000184,CHI,Patrick Williams,1630172,2159,1,,14,5,7,2,3,2,2,2,5,7,2,0,2,3,3
2020-21,2021-01-15,0022000184,CHI,Thaddeus Young,201152,805,0,,2,1,4,0,1,0,2,0,1,1,4,1,0,3,2
2020-21,2021-01-15,0022000184,CHI,Wendell Carter Jr.,1628976,1974,1,,16,6,9,0,0,4,5,4,7,11,2,0,3,2,2
2020-21,2021-01-15,0022000184,CHI,Zach LaVine,203897,2551,1,,35,11,19,8,14,5,9,1,6,7,6,1,0,6,3
2020-21,2021-01-15,0022000187,LAL,Alex Caruso,1627936,1072,0,,9,3,4,3,3,0,0,0,3,3,4,1,1,0,0
2020-21,2021-01-16,0022000189,SAS,DeMar DeRozan,201942,2193,1,,24,9,25,0,1,6,6,3,4,7,4,2,1,3,1
2020-21,2021-01-16,0022000190,ORL,Nikola Vucevic,202696,2142,1,,34,14,22,6,12,0,0,4,6,10,7,5,0,4,4
2020-21,2021-01-16,0022000191,CHA,LaMelo Ball,1630163,1378,0,,11,4,11,2,6,1,2,2,3,5,4,0,0,1,3
2020-21,2021-01-16,0022000191,TOR,Stanley Johnson,1626169,824,0,,6,2,2,2,2,0,0,0,4,4,1,0,1,0,2
2020-21,2021-01-16,0022000193,PHI,Tony Bradley,1628396,548,0,,2,1,3,0,0,0,0,1,1,2,0,1,0,0,2
2020-21,2021-01-17,0022000196,BOS,Javonte Green,1629750,1070,0,,8,2,3,0,1,4,6,2,3,5,0,0,0,1,1
2020-21,2021-01-17,0022000198,CHI,Coby White,1629632,1518,1,,0,0,5,0,2,0,0,0,3,3,4,1,0,1,1
2020-21,2021-01-17,0022000198,CHI,Denzel Valentine,1627756,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-17,0022000198,CHI,Lauri Markkanen,1628374,1976,1,,29,10,19,2,7,7,8,1,9,10,3,0,0,2,2
2020-21,2021-01-17,0022000198,CHI,Patrick Williams,1630172,1355,1,,5,2,5,1,1,0,0,0,5,5,1,0,0,1,4
2020-21,2021-01-17,0022000198,CHI,Thaddeus Young,201152,1168,0,,15,7,10,0,1,1,2,1,2,3,3,2,2,1,3
2020-21,2021-01-17,0022000198,CHI,Wendell Carter Jr.,1628976,1593,1,,12,3,7,1,1,5,8,2,5,7,1,5,1,2,1
2020-21,2021-01-17,0022000198,CHI,Zach LaVine,203897,1879,1,,10,1,8,0,5,8,8,0,0,0,10,3,0,2,3
2020-21,2021-01-18,0022000203,ORL,Nikola Vucevic,202696,2187,1,,24,10,16,2,5,2,2,2,12,14,0,0,2,0,3
2020-21,2021-01-18,0022000207,SAS,DeMar DeRozan,201942,1937,1,,20,6,9,0,0,8,8,1,5,6,11,2,0,4,0
2020-21,2021-01-18,0022000210,TOR,Stanley Johnson,1626169,1272,0,,6,2,3,1,2,1,2,1,2,3,0,0,1,0,1
2020-21,2021-01-18,0022000211,CHI,Coby White,1629632,1902,1,,10,4,12,2,7,0,0,1,3,4,4,2,0,3,4
2020-21,2021-01-18,0022000211,CHI,Denzel Valentine,1627756,1469,0,,13,5,13,3,6,0,0,0,8,8,3,0,0,1,0
2020-21,2021-01-18,0022000211,CHI,Lauri Markkanen,1628374,2020,1,,18,5,12,4,11,4,4,0,7,7,0,2,0,2,3
2020-21,2021-01-18,0022000211,CHI,Thaddeus Young,201152,1516,0,,12,5,11,1,2,1,2,5,4,9,3,1,0,1,1
2020-21,2021-01-18,0022000211,CHI,Wendell Carter Jr.,1628976,1247,1,,10,4,7,0,0,2,2,3,5,8,1,1,0,3,2
2020-21,2021-01-18,0022000211,CHI,Zach LaVine,203897,2203,1,,33,11,16,4,8,7,8,0,4,4,7,2,1,5,2
2020-21,2021-01-18,0022000212,LAL,Alex Caruso,1627936,1170,0,,7,3,5,1,3,0,0,1,0,1,4,0,0,1,3
2020-21,2021-01-19,0022000214,NOP,Lonzo Ball,1628366,1381,1,,7,3,10,0,6,1,2,1,0,1,4,3,0,0,2
2020-21,2021-01-20,0022000218,BOS,Javonte Green,1629750,1688,0,,2,1,4,0,2,0,0,3,3,6,2,1,0,1,3
2020-21,2021-01-20,0022000218,PHI,Tony Bradley,1628396,0,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-20,0022000220,TOR,Stanley Johnson,1626169,689,0,,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
2020-21,2021-01-20,0022000221,ORL,Nikola Vucevic,202696,2574,1,,28,11,27,3,7,3,4,3,5,8,4,1,2,0,2
2020-21,2021-01-20,0022000223,SAS,DeMar DeRozan,201942,1475,1,,15,3,8,0,1,9,9,1,1,2,3,1,0,2,3
2020-21,2021-01-21,0022000226,LAL,Alex Caruso,1627936,1060,0,,5,1,2,1,1,2,2,0,4,4,1,3,1,0,3
2020-21,2021-01-21,0022000227,NOP,Lonzo Ball,1628366,1648,1,,14,6,15,2,6,0,0,0,1,1,5,0,0,3,2
