event_id,date,away,home,away_score,home_score,away_ml,home_ml,pB,actual,mode,protagonist_minutes,hutchison_minutes,delta_low,delta_base,delta_high,h,u,pCF_low,pCF_base,pCF_high,cf_low,cf_base,cf_high
CHI_2018_19_G011,2018-11-05,Chicago Bulls,New York Knicks,116,115,130,-150,0.42016807,W,HUTCH,15.550000,15.550000,-0.09718750,0.29156250,0.68031250,0.549561612488,0.230908240541,0.41671113,0.43058470,0.44456812,W,W,W
CHI_2018_19_G012,2018-11-07,Chicago Bulls,New Orleans Pelicans,98,107,550,-800,0.14754098,L,HUTCH,15.500000,15.500000,-0.09687500,0.29062500,0.67812500,0.509467982026,0.581841558448,0.14576889,0.15296424,0.16044806,L,L,L
CHI_2018_19_G013,2018-11-10,Cleveland Cavaliers,Chicago Bulls,98,99,170,-200,0.64285714,W,HUTCH,18.283333,18.283333,-0.11427083,0.34281250,0.79989583,0.309757282561,0.199129681647,0.63901321,0.65427754,0.66923052,W,W,W
CHI_2018_19_G014,2018-11-12,Dallas Mavericks,Chicago Bulls,103,98,-140,120,0.43795620,L,HUTCH,18.433333,18.433333,-0.11520833,0.34562500,0.80645833,0.385667081009,0.654717994435,0.43381547,0.45042811,0.46715203,L,L,L
CHI_2018_19_G015,2018-11-14,Chicago Bulls,Boston Celtics,82,111,800,-1400,0.10638298,L,HUTCH,21.466667,21.466667,-0.13416667,0.40250000,0.93916667,0.934364364304,0.941346878740,0.10453298,0.11210689,0.12015593,L,L,L
CHI_2018_19_G016,2018-11-16,Chicago Bulls,Milwaukee Bucks,104,123,1000,-2000,0.08713693,L,HUTCH,23.000000,23.000000,-0.14375000,0.43125000,1.00625000,0.796153026519,0.813915625868,0.08548000,0.09228326,0.09956904,L,L,L
CHI_2018_19_G017,2018-11-17,Toronto Raptors,Chicago Bulls,122,83,-600,425,0.18181818,L,HUTCH,20.716667,20.716667,-0.12947917,0.38843750,0.90635417,0.614970692081,0.684976020793,0.17901970,0.19041748,0.20236207,L,L,L
CHI_2018_19_G018,2018-11-21,Phoenix Suns,Chicago Bulls,116,124,-120,100,0.47826087,W,NONE,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.978759117454,0.468102186609,0.47826087,0.47826087,0.47826087,W,W,W
CHI_2018_19_G019,2018-11-23,Miami Heat,Chicago Bulls,103,96,-170,148,0.39039907,L,NONE,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.874415897556,0.923443814936,0.39039907,0.39039907,0.39039907,L,L,L
CHI_2018_19_G020,2018-11-24,Chicago Bulls,Minnesota Timberwolves,96,111,520,-725,0.15507519,L,NONE,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.918825840465,0.931413938513,0.15507519,0.15507519,0.15507519,L,L,L
CHI_2018_19_G021,2018-11-26,San Antonio Spurs,Chicago Bulls,108,107,-280,230,0.29141104,L,HUTCH,18.633333,18.633333,-0.11645833,0.34937500,0.81520833,0.583266418360,0.704707186016,0.28790855,0.30206728,0.31661272,L,L,L
CHI_2018_19_G022,2018-11-28,Chicago Bulls,Milwaukee Bucks,113,116,1100,-2500,0.07975460,L,HUTCH,16.433333,16.433333,-0.10270833,0.30812500,0.71895833,0.524685583109,0.562594094886,0.07865968,0.08312333,0.08781614,L,L,L
CHI_2018_19_G023,2018-11-30,Chicago Bulls,Detroit Pistons,88,107,340,-440,0.21809370,L,HUTCH,19.000000,19.000000,-0.11875000,0.35625000,0.83125000,0.465297548984,0.581912784666,0.21514821,0.22710385,0.23952109,L,L,L
CHI_2018_19_G024,2018-12-01,Chicago Bulls,Houston Rockets,105,121,900,-1600,0.09604520,L,HUTCH,15.983333,15.983333,-0.09989583,0.29968750,0.69927083,0.102276683313,0.188498696780,0.09478493,0.09991626,0.10529308,L,L,L
CHI_2018_19_G025,2018-12-04,Chicago Bulls,Indiana Pacers,90,96,320,-420,0.22767075,L,HUTCH,8.683333,8.683333,-0.05427083,0.16281250,0.37989583,0.757403277282,0.812635455834,0.22627890,0.23188244,0.23758215,L,L,L
CHI_2018_19_G026,2018-12-07,Oklahoma City Thunder,Chicago Bulls,112,114,-500,375,0.20168067,W,RETURN,0.000000,11.583333,0.51770833,0.51770833,0.51770833,0.668619397079,0.134847609495,0.21413977,0.21413977,0.21413977,W,W,W
CHI_2018_19_G027,2018-12-08,Boston Celtics,Chicago Bulls,133,77,-345,278,0.25441656,L,HUTCH,21.133333,21.133333,-0.13208333,0.39625000,0.92458333,0.040975466264,0.284967186299,0.25077172,0.26555863,0.28089056,L,L,L
CHI_2018_19_G028,2018-12-10,Sacramento Kings,Chicago Bulls,108,89,-130,110,0.45725646,L,HUTCH,6.316667,6.316667,-0.03947917,0.11843750,0.27635417,0.079055796671,0.500163484078,0.45582470,0.46155589,0.46729726,L,L,L
CHI_2018_19_G029,2018-12-13,Chicago Bulls,Orlando Magic,91,97,190,-240,0.32818533,L,NONE,0.000000,0.000000,0.00000000,0.00000000,0.00000000,0.460383318923,0.637477596497,0.32818533,0.32818533,0.32818533,L,L,L
CHI_2018_19_G030,2018-12-15,Chicago Bulls,San Antonio Spurs,98,93,500,-700,0.16000000,W,HUTCH,4.233333,4.233333,-0.02645833,0.07937500,0.18520833,0.095990197392,0.015358431583,0.15948091,0.16156549,0.16367202,W,W,W
CHI_2018_19_G031,2018-12-17,Chicago Bulls,Oklahoma City Thunder,96,121,750,-1200,0.11304348,L,HUTCH,18.983333,18.983333,-0.11864583,0.35593750,0.83052083,0.732047268335,0.762337577132,0.11131629,0.11836592,0.12579880,L,L,L
CHI_2018_19_G032,2018-12-19,Brooklyn Nets,Chicago Bulls,96,93,-125,105,0.46753247,L,HUTCH,6.400000,6.400000,-0.04000000,0.12000000,0.28000000,0.680208657033,0.829721492706,0.46607722,0.47190144,0.47773331,L,L,L
CHI_2018_19_G033,2018-12-21,Orlando Magic,Chicago Bulls,80,90,-160,140,0.40372671,W,HUTCH,16.733333,16.733333,-0.10458333,0.31375000,0.73208333,0.995419564362,0.401877463873,0.40005216,0.41481381,0.42973001,L,W,W
CHI_2018_19_G034,2018-12-23,Chicago Bulls,Cleveland Cavaliers,112,92,-105,-115,0.48916576,W,HUTCH,32.450000,32.450000,-0.20281250,0.60843750,1.41968750,0.787879851401,0.385403849304,0.48176092,0.51139581,0.54095082,W,W,W
CHI_2018_19_G035,2018-12-26,Minnesota Timberwolves,Chicago Bulls,119,94,-185,155,0.37661051,L,HUTCH,14.600000,14.600000,-0.09125000,0.27375000,0.63875000,0.449733469987,0.656969625988,0.37348428,0.38605011,0.39876962,L,L,L
CHI_2018_19_G036,2018-12-28,Chicago Bulls,Washington Wizards,101,92,170,-200,0.35714286,W,HUTCH,15.016667,15.016667,-0.09385417,0.28156250,0.65697917,0.270388590643,0.096567353801,0.35399939,0.36664643,0.37947988,W,W,W
CHI_2018_19_G037,2018-12-30,Chicago Bulls,Toronto Raptors,89,95,550,-800,0.14754098,L,HUTCH,14.400000,14.400000,-0.09000000,0.27000000,0.63000000,0.114900727973,0.245489145157,0.14589407,0.15257404,0.15950275,L,L,L
CHI_2018_19_G038,2019-01-02,Orlando Magic,Chicago Bulls,112,84,-120,100,0.47826087,L,HUTCH,21.933333,21.933333,-0.13708333,0.41125000,0.95958333,0.822679111299,0.907484753721,0.47326334,0.49327559,0.51330942,L,L,L
CHI_2018_19_G039,2019-01-04,Indiana Pacers,Chicago Bulls,119,116,-300,240,0.28169014,L,HUTCH,26.483333,26.483333,-0.16552083,0.49656250,1.15864583,0.249548759049,0.460943474810,0.27682065,0.29660629,0.31718584,L,L,L
CHI_2018_19_G040,2019-01-06,Brooklyn Nets,Chicago Bulls,117,100,-130,110,0.45725646,L,HUTCH,22.316667,22.316667,-0.13947917,0.41843750,0.97635417,0.941707081374,0.968361895060,0.45220139,0.47247043,0.49283062,L,L,L
CHI_2018_19_G041,2019-01-09,Chicago Bulls,Portland Trail Blazers,112,124,425,-600,0.18181818,L,RETURN,0.000000,30.400000,0.22083333,0.22083333,0.22083333,0.165433529536,0.317172887802,0.18666943,0.18666943,0.18666943,L,L,L
CHI_2018_19_G042,2019-01-11,Chicago Bulls,Golden State Warriors,109,146,1100,-2500,0.07975460,L,RETURN,0.000000,29.450000,0.25000000,0.25000000,0.25000000,0.898814124588,0.906884163731,0.08247810,0.08247810,0.08247810,L,L,L
CHI_2018_19_G043,2019-01-12,Chicago Bulls,Utah Jazz,102,110,600,-900,0.13698630,L,RETURN,0.000000,25.150000,0.44312500,0.44312500,0.44312500,0.273816301689,0.373293520636,0.14482520,0.14482520,0.14482520,L,L,L
CHI_2018_19_G044,2019-01-15,Chicago Bulls,Los Angeles Lakers,100,107,240,-300,0.28169014,L,HUTCH,26.516667,26.516667,-0.16572917,0.49718750,1.16010417,0.705844459050,0.788705174811,0.27681455,0.29662535,0.31723201,L,L,L
CHI_2018_19_G045,2019-01-17,Chicago Bulls,Denver Nuggets,105,135,900,-1600,0.09604520,L,HUTCH,33.000000,33.000000,-0.20625000,0.61875000,1.44375000,0.304197760911,0.371026224552,0.09345947,0.10418944,0.11599368,L,L,L
CHI_2018_19_G046,2019-01-19,Miami Heat,Chicago Bulls,117,103,-180,150,0.38356164,L,HUTCH,23.200000,23.200000,-0.14500000,0.43500000,1.01500000,0.933731072069,0.959149291002,0.37856288,0.39870249,0.41919079,L,L,L
CHI_2018_19_G047,2019-01-21,Chicago Bulls,Cleveland Cavaliers,104,88,-150,130,0.57983193,W,HUTCH,31.816667,31.816667,-0.19885417,0.59656250,1.39197917,0.751745233732,0.435885891828,0.57273461,0.60091585,0.62844419,W,W,W
CHI_2018_19_G048,2019-01-23,Atlanta Hawks,Chicago Bulls,121,101,105,-125,0.53246753,L,HUTCH,33.333333,33.333333,-0.20833333,0.62500000,1.45833333,0.271745598869,0.659517422848,0.52487973,0.55512722,0.58497169,L,L,L
CHI_2018_19_G049,2019-01-25,Los Angeles Clippers,Chicago Bulls,106,101,-210,176,0.34847122,L,HUTCH,41.133333,41.133333,-0.25708333,0.77125000,1.79958333,0.631217760347,0.759727758428,0.33998891,0.37448283,0.41030079,L,L,L
CHI_2018_19_G050,2019-01-27,Cleveland Cavaliers,Chicago Bulls,104,101,180,-220,0.65811966,L,POST,12.000000,0.000000,0.06458333,0.36458333,0.66458333,0.643354137635,0.878069790644,0.66024048,0.67000703,0.67962907,L,L,L
CHI_2018_19_G051,2019-01-29,Chicago Bulls,Brooklyn Nets,117,122,240,-300,0.28169014,L,POST,12.000000,0.000000,-0.06875000,0.23125000,0.53125000,0.424385529769,0.586530450961,0.27966126,0.28857978,0.29766519,L,L,L
CHI_2018_19_G052,2019-01-30,Chicago Bulls,Miami Heat,105,89,525,-750,0.15349887,W,POST,12.000000,0.000000,0.01250000,0.31250000,0.61250000,0.767174888770,0.117760479540,0.15373643,0.15952850,0.16549612,W,W,W
CHI_2018_19_G053,2019-02-02,Chicago Bulls,Charlotte Hornets,118,125,250,-310,0.27424749,L,POST,12.000000,0.000000,0.01250000,0.31250000,0.61250000,0.665194941512,0.757014388990,0.27461130,0.28343214,0.29242210,L,L,L
CHI_2018_19_G054,2019-02-06,New Orleans Pelicans,Chicago Bulls,125,120,-125,105,0.46753247,L,POST,12.000000,0.000000,-0.03333333,0.26666667,0.56666667,0.868226960304,0.929835134707,0.46631972,0.47724707,0.48819623,L,L,L
CHI_2018_19_G055,2019-02-08,Chicago Bulls,Brooklyn Nets,125,106,300,-400,0.23809524,W,POST,14.000000,0.000000,0.01250000,0.36250000,0.71250000,0.534954488132,0.127370116222,0.23842685,0.24784024,0.25749962,W,W,W
CHI_2018_19_G056,2019-02-09,Washington Wizards,Chicago Bulls,134,125,-135,115,0.44740600,L,POST,14.000000,0.000000,-0.08333333,0.26666667,0.61666667,0.645324960132,0.804008700006,0.44439646,0.45706137,0.46978203,L,L,L
CHI_2018_19_G057,2019-02-11,Milwaukee Bucks,Chicago Bulls,112,99,-800,550,0.14754098,L,POST,14.000000,0.000000,0.01250000,0.36250000,0.71250000,0.984562598611,0.986840247997,0.14777093,0.15433042,0.16112604,L,L,L
CHI_2018_19_G058,2019-02-13,Memphis Grizzlies,Chicago Bulls,110,122,100,-120,0.52173913,W,POST,14.000000,0.000000,-0.08333333,0.26666667,0.61666667,0.767479049244,0.400423851780,0.51869893,0.53145587,0.54417182,W,W,W
CHI_2018_19_G059,2019-02-22,Chicago Bulls,Orlando Magic,110,109,290,-380,0.24464832,W,POST,12.000000,0.000000,-0.15000000,0.15000000,0.45000000,0.514690996986,0.125918286724,0.24061932,0.24872268,0.25700658,W,W,W
CHI_2018_19_G060,2019-02-23,Boston Celtics,Chicago Bulls,116,126,-650,450,0.17341040,W,POST,14.000000,0.000000,-0.08333333,0.26666667,0.61666667,0.405465069571,0.070311861775,0.17167136,0.17906886,0.18671328,W,W,W
CHI_2018_19_G061,2019-02-25,Milwaukee Bucks,Chicago Bulls,117,106,-380,290,0.24464832,L,POST,15.000000,0.000000,0.09583333,0.47083333,0.84583333,0.353362744419,0.511561461381,0.24724617,0.25758850,0.26820932,L,L,L
CHI_2018_19_G062,2019-02-27,Chicago Bulls,Memphis Grizzlies,109,107,135,-155,0.41178845,W,POST,14.000000,0.000000,-0.12916667,0.22083333,0.57083333,0.176523650166,0.072690400957,0.40722305,0.41962869,0.43213674,W,W,W
CHI_2018_19_G063,2019-03-01,Chicago Bulls,Atlanta Hawks,168,161,-115,-105,0.51083424,W,POST,14.000000,0.000000,-0.08333333,0.26666667,0.61666667,0.761418983182,0.388958884692,0.50779011,0.52056894,0.53332091,W,W,W
CHI_2018_19_G064,2019-03-03,Atlanta Hawks,Chicago Bulls,123,118,150,-180,0.61643836,L,POST,15.000000,0.000000,0.09583333,0.47083333,0.84583333,0.893030666180,0.958970666480,0.61974497,0.63257496,0.64521986,L,L,L
CHI_2018_19_G065,2019-03-05,Chicago Bulls,Indiana Pacers,96,105,240,-300,0.28169014,L,POST,12.000000,0.000000,-0.15000000,0.15000000,0.45000000,0.401185146565,0.569865386969,0.27727505,0.28614770,0.29518831,L,L,L
CHI_2018_19_G066,2019-03-06,Philadelphia 76ers,Chicago Bulls,107,108,-180,150,0.38356164,W,POST,14.000000,0.000000,0.01250000,0.36250000,0.71250000,0.575695860976,0.220814850785,0.38399374,0.39616466,0.40846555,W,W,W
CHI_2018_19_G067,2019-03-08,Detroit Pistons,Chicago Bulls,112,104,-170,145,0.39329934,L,POST,14.000000,0.000000,-0.08333333,0.26666667,0.61666667,0.580540156163,0.745513437789,0.39039663,0.40263785,0.41500159,L,L,L
CHI_2018_19_G068,2019-03-10,Chicago Bulls,Detroit Pistons,108,131,350,-450,0.21359223,L,POST,15.000000,0.000000,0.09583333,0.47083333,0.84583333,0.334350828968,0.476528321810,0.21595458,0.22537989,0.23509322,L,L,L
CHI_2018_19_G069,2019-03-12,Los Angeles Lakers,Chicago Bulls,123,107,-130,110,0.45725646,L,POST,15.000000,0.000000,0.09583333,0.47083333,0.84583333,0.908443037394,0.950308050117,0.46073487,0.47437968,0.48806287,L,L,L
CHI_2018_19_G070,2019-03-15,Chicago Bulls,Los Angeles Clippers,121,128,325,-425,0.22520107,L,POST,14.000000,0.000000,-0.08333333,0.26666667,0.61666667,0.213462759491,0.390591789525,0.22308282,0.23207501,0.24131708,L,L,L
CHI_2018_19_G071,2019-03-17,Chicago Bulls,Sacramento Kings,102,129,230,-280,0.29141104,L,POST,16.000000,0.000000,0.03541667,0.43541667,0.83541667,0.920250398754,0.943490313228,0.29248116,0.30472531,0.31725219,L,L,L
CHI_2018_19_G072,2019-03-18,Chicago Bulls,Phoenix Suns,116,101,120,-140,0.43795620,W,POST,16.000000,0.000000,0.03541667,0.43541667,0.83541667,0.070855971314,0.031031812254,0.43923089,0.45367912,0.46820581,W,W,W
CHI_2018_19_G073,2019-03-20,Washington Wizards,Chicago Bulls,120,126,-180,150,0.38356164,W,POST,16.000000,0.000000,0.03541667,0.43541667,0.83541667,0.708167636091,0.271625942610,0.38478640,0.39871709,0.41281371,W,W,W
CHI_2018_19_G074,2019-03-23,Utah Jazz,Chicago Bulls,114,83,-750,525,0.15349887,L,POST,16.000000,0.000000,0.07083333,0.47083333,0.87083333,0.940765487425,0.949857918249,0.15484902,0.16265607,0.17077718,L,L,L
CHI_2018_19_G075,2019-03-26,Chicago Bulls,Toronto Raptors,103,112,1000,-2000,0.08713693,L,POST,16.000000,0.000000,0.07083333,0.47083333,0.87083333,0.570211112485,0.607661596459,0.08796403,0.09276907,0.09780844,L,L,L
CHI_2018_19_G076,2019-03-27,Portland Trail Blazers,Chicago Bulls,118,98,-450,350,0.21359223,L,POST,16.000000,0.000000,0.37708333,0.77708333,1.17708333,0.159350778726,0.338906923076,0.22299651,0.23329095,0.24391145,L,L,L
CHI_2018_19_G077,2019-03-30,Toronto Raptors,Chicago Bulls,124,101,-540,410,0.18856806,L,POST,16.000000,0.000000,0.37708333,0.77708333,1.17708333,0.341098918058,0.465346617659,0.19714676,0.20656512,0.21631219,L,L,L
CHI_2018_19_G078,2019-04-01,Chicago Bulls,New York Knicks,105,113,142,-165,0.39891615,L,POST,16.000000,0.000000,-0.94375000,-0.54375000,-0.14375000,0.873198179308,0.923781473728,0.36634468,0.38002014,0.39388875,L,L,L
CHI_2018_19_G079,2019-04-03,Chicago Bulls,Washington Wizards,115,114,400,-550,0.19117647,W,POST,16.000000,0.000000,-0.68750000,-0.28750000,0.11250000,0.830968285971,0.158861584083,0.17611769,0.18476261,0.19373210,W,W,W
CHI_2018_19_G080,2019-04-06,Philadelphia 76ers,Chicago Bulls,116,96,-650,450,0.17341040,L,POST,16.000000,0.000000,-0.68750000,-0.28750000,0.11250000,0.133997830980,0.284171617515,0.15947511,0.16746917,0.17578015,L,L,L
CHI_2018_19_G081,2019-04-09,New York Knicks,Chicago Bulls,96,86,110,-130,0.54274354,L,POST,16.000000,0.000000,-0.68750000,-0.28750000,0.11250000,0.164857847118,0.618125854547,0.51771785,0.53229717,0.54682155,L,L,L
CHI_2018_19_G082,2019-04-10,Chicago Bulls,Philadelphia 76ers,109,125,200,-250,0.31818182,L,POST,16.000000,0.000000,0.37708333,0.77708333,1.17708333,0.584197422221,0.716498242423,0.33025720,0.34331540,0.35661499,L,L,L
