event_id,game_id,date,opponent,status,removed_actual_players,added_or_changed_players,removed_actual_seconds,reason,canon_evidence,outcome_status
CHI_2020_21_G011,0022000142,2021-01-10,LAC,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G012,0022000184,2021-01-15,OKC,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G013,0022000198,2021-01-17,DAL,OPPONENT_DELTA_UNALLOCATED,Tyrell Terry,R.J. Hampton,921,Hampton 분을 Terry의 실제 분에 고정하지 않음,simulation/2020_DRAFT_RJ_HAMPTON_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G014,0022000211,2021-01-18,HOU,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G015,0022000229,2021-01-22,CHA,OPPONENT_DELTA_UNALLOCATED,LaMelo Ball;Grant Riller,Anthony Edwards;Tyrell Terry,994,Edwards/Terry와 기존 가드/윙 분 재배분,simulation/2020_DRAFT_TYRELL_TERRY_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G016,0022000245,2021-01-23,LAL,OPPONENT_DELTA_UNALLOCATED,,,0,2019 AD 연쇄 유지 조건; 2021 실제 접촉 분 자동 동일 판정 금지,simulation/2018_DRAFT_37_60_TRENT_CASCADE.md,NOT_SELECTED
CHI_2020_21_G017,0022000262,2021-01-25,BOS,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G018,0022000298,2021-01-30,POR,OPPONENT_DELTA_UNALLOCATED,Gary Trent Jr.,Jacob Evans,2202,Trent 부재·Evans/기존 윙 분 재배분,simulation/2018_DRAFT_28_43_EVANS_CASCADE.md,NOT_SELECTED
CHI_2020_21_G019,0022000315,2021-02-01,NYK,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G020,0022000332,2021-02-03,NYK,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G021,0022000344,2021-02-05,ORL,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G022,0022000353,2021-02-06,ORL,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G023,0022000368,2021-02-08,WAS,OPPONENT_DELTA_UNALLOCATED,Isaac Bonga,Gary Trent Jr.,0,Trent 유입·Bonga stash 후보의3년차 분 재계산,simulation/2021_WASHINGTON_CHICAGO_PORTLAND_TRANSACTION_CASCADE.md,NOT_SELECTED
CHI_2020_21_G024,0022000385,2021-02-10,NOP,OPPONENT_DELTA_UNALLOCATED,Kira Lewis Jr.,Killian Hayes,1425,Hayes/Kira 이동; 실제 타팀 부상 일정 복사 금지,simulation/2020_DRAFT_KIRA_LEWIS_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G025,0022000400,2021-02-12,LAC,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G026,0022000420,2021-02-15,IND,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G027,0022000564,2021-02-17,DET,OPPONENT_DELTA_UNALLOCATED,Killian Hayes;Saddiq Bey,Patrick Williams;Kira Lewis Jr.,1909,Patrick/Kira 분; Stewart 유지,simulation/2020_DRAFT_ISAIAH_STEWART_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G028,0022000450,2021-02-19,PHI,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G029,0022000460,2021-02-20,SAC,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G030,0022000474,2021-02-22,HOU,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G031,0022000493,2021-02-24,MIN,OPPONENT_DELTA_UNALLOCATED,Anthony Edwards,Fictional Rival,2217,라이벌 분·실력·Towns/Russell 공동 창출 비용,design/RIVAL_2020_WEST_TEAM_DECISION_PACKET.md,NOT_SELECTED
CHI_2020_21_G032,0022000508,2021-02-26,PHX,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G033,0022000531,2021-03-01,DEN,OPPONENT_DELTA_UNALLOCATED,R.J. Hampton,Saddiq Bey,0,Bey22/Nnaji24/Hampton Dallas31; Hampton0분도 Bey0분 증거 아님,simulation/2020_DRAFT_ZEKE_NNAJI_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G034,0022000548,2021-03-03,NOP,OPPONENT_DELTA_UNALLOCATED,Kira Lewis Jr.,Killian Hayes,0,Hayes/Kira 이동; 실제 타팀 부상 일정 복사 금지,simulation/2020_DRAFT_KIRA_LEWIS_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G035,0022000572,2021-03-11,PHI,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G036,0022000582,2021-03-12,MIA,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G037,0022000600,2021-03-14,TOR,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G038,0022000612,2021-03-16,OKC,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G039,0022000621,2021-03-17,SAS,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G040,0022000637,2021-03-19,DEN,OPPONENT_DELTA_UNALLOCATED,R.J. Hampton,Saddiq Bey,0,Bey22/Nnaji24/Hampton Dallas31; Hampton0분도 Bey0분 증거 아님,simulation/2020_DRAFT_ZEKE_NNAJI_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G041,0022000649,2021-03-21,DET,OPPONENT_DELTA_UNALLOCATED,Killian Hayes;Saddiq Bey,Patrick Williams;Kira Lewis Jr.,2149,Patrick/Kira 분; Stewart 유지,simulation/2020_DRAFT_ISAIAH_STEWART_RELANDING_BOARD.md,NOT_SELECTED
CHI_2020_21_G042,0022000656,2021-03-22,UTA,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
CHI_2020_21_G043,0022000671,2021-03-24,CLE,LIMITED_BASELINE_CANDIDATE,,,0,검토 범위 내 새 직접 변경 미특정; 리그 무영향 아님,simulation/CHICAGO_2020_21_PREDEADLINE_OUTCOME_ROBUSTNESS.md,NOT_SELECTED
