event_id,game_id,date,actual_wl,protagonist_seconds,lamelo_seconds,added_pts_base,added_reb_base,added_ast_base,added_stl_base,added_blk_base,added_tov_base,removed_pts_linear,removed_reb_linear,removed_ast_linear,removed_stl_linear,removed_blk_linear,removed_tov_linear,box_delta_pts,box_delta_reb,box_delta_ast,box_delta_stl,box_delta_blk,box_delta_tov,impact_status
CHI_2020_21_G030,0022000474,2021-02-22,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.9261,9.0322,5.9741,1.5779,1.1368,3.3063,6.2545,4.3400,2.4037,1.1610,-0.0090,1.5270,HOLD
CHI_2020_21_G031,0022000493,2021-02-24,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.3496,9.5489,5.8659,1.6504,0.9239,2.9889,5.8310,3.8233,2.5119,1.0885,0.2039,1.8445,HOLD
CHI_2020_21_G032,0022000508,2021-02-26,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.4268,9.9066,4.9480,1.6348,1.0206,2.9011,5.7538,3.4656,3.4298,1.1041,0.1072,1.9322,HOLD
CHI_2020_21_G033,0022000531,2021-03-01,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.5377,10.0194,4.9411,1.6526,0.9771,2.8438,5.6429,3.3528,3.4367,1.0863,0.1507,1.9895,HOLD
CHI_2020_21_G034,0022000548,2021-03-03,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.5284,9.3093,5.5728,1.5645,0.8269,2.6373,6.6522,4.0629,2.8050,1.1744,0.3009,2.1960,HOLD
CHI_2020_21_G035,0022000572,2021-03-11,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.9550,8.8013,5.9463,1.4683,1.0324,3.1732,6.2255,4.5709,2.4315,1.2706,0.0954,1.6601,HOLD
CHI_2020_21_G036,0022000582,2021-03-12,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,21.8203,9.3011,5.5849,1.4908,0.7866,3.0202,4.3602,4.0711,2.7929,1.2481,0.3412,1.8131,HOLD
CHI_2020_21_G037,0022000600,2021-03-14,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.3154,9.5289,5.9136,1.6496,0.9036,2.9645,5.8652,3.8433,2.4642,1.0893,0.2242,1.8688,HOLD
CHI_2020_21_G038,0022000612,2021-03-16,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.3857,8.6054,6.7931,1.5570,0.8939,3.0658,6.7949,4.7668,1.5847,1.1819,0.2339,1.7675,HOLD
CHI_2020_21_G039,0022000621,2021-03-17,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.6074,8.5304,6.6824,1.5516,1.1349,3.4565,6.5731,4.8418,1.6954,1.1873,-0.0071,1.3769,HOLD
CHI_2020_21_G040,0022000637,2021-03-19,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.2222,8.8651,6.1945,1.3901,0.7261,2.8108,5.9584,4.5071,2.1833,1.3487,0.4017,2.0225,HOLD
CHI_2020_21_G041,0022000649,2021-03-21,W,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.6444,9.9196,4.2846,1.4272,0.9594,2.4881,6.5362,3.4526,4.0932,1.3116,0.1684,2.3452,HOLD
CHI_2020_21_G042,0022000656,2021-03-22,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,20.5471,9.7594,5.1745,1.4253,0.9617,2.8915,5.6335,3.6129,3.2032,1.3135,0.1660,1.9418,HOLD
CHI_2020_21_G043,0022000671,2021-03-24,L,1740,1740,26.1806,13.3722,8.3778,2.7389,1.1278,4.8333,19.8319,9.1238,4.9588,1.3952,0.9145,2.7095,6.3486,4.2485,3.4190,1.3437,0.2133,2.1238,HOLD
