player,teams,cutoff,last_observed_date,gp,seconds,pts,reb,ast,stl,blk,tov,pf,fgm,fga,fg3m,fg3a,ftm,fta,pts36,reb36,ast36,stl36,blk36,tov36,pf36,sample_status
Caleb Martin,CHA,2021-03-24,2021-03-24,30,25636,158,75,31,25,7,20,31,58,144,20,63,22,37,13.31252926,6.31923857,2.61195194,2.10641286,0.5897956,1.68513029,2.61195194,OBSERVED_NOT_CAUSAL
Cam Reynolds,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Cameron Johnson,PHX,2021-03-24,2021-03-24,37,52547,374,121,49,23,13,27,53,132,300,78,203,32,37,15.37366548,4.97383295,2.01419681,0.94543932,0.53437875,1.10986355,2.17862104,OBSERVED_NOT_CAUSAL
Cameron Payne,PHX,2021-03-24,2021-03-24,32,32834,222,67,117,18,7,35,53,82,171,33,78,25,28,14.60437352,4.40762624,7.69689956,1.18413839,0.46049826,2.30249132,3.48662971,OBSERVED_NOT_CAUSAL
Caris LeVert,BKN;IND,2021-03-24,2021-03-24,19,33368,339,82,100,24,6,36,33,130,306,37,106,42,53,21.94437785,5.3080796,6.4732678,1.55358427,0.38839607,2.33037641,2.13617837,OBSERVED_NOT_CAUSAL
Carsen Edwards,BOS,2021-03-24,2021-03-17,16,9756,82,18,9,5,1,2,19,32,69,11,36,7,9,18.15498155,3.98523985,1.99261993,1.10701107,0.22140221,0.44280443,4.20664207,OBSERVED_NOT_CAUSAL
Cassius Stanley,IND,2021-03-24,2021-03-22,11,1890,13,8,0,0,2,1,8,4,15,1,5,4,5,14.85714286,9.14285714,0.0,0.0,2.28571429,1.14285714,9.14285714,LIMITED_UNDER_120_MIN
Cedi Osman,CLE,2021-03-24,2021-03-24,43,64651,433,152,116,41,6,45,80,153,431,76,246,51,65,14.46659758,5.07834372,3.8755781,1.3698164,0.20046094,1.50345702,2.67281249,OBSERVED_NOT_CAUSAL
Chasson Randle,ORL,2021-03-24,2021-03-24,15,18413,82,30,38,5,1,15,25,27,64,15,42,13,16,9.61929072,3.5192527,4.45772009,0.58654212,0.11730842,1.75962635,2.93271058,OBSERVED_NOT_CAUSAL
Chris Boucher,TOR,2021-03-24,2021-03-24,44,62462,602,281,43,23,84,31,121,213,401,68,162,108,142,20.81777721,9.7172681,1.48698409,0.79536358,2.90480612,1.07201178,4.18430406,OBSERVED_NOT_CAUSAL
Chris Chiozza,BKN,2021-03-24,2021-03-24,16,9878,63,16,47,6,4,11,11,21,63,11,32,10,13,13.77606803,3.49868394,10.27738409,1.31200648,0.87467099,2.40534521,2.40534521,OBSERVED_NOT_CAUSAL
Chris Paul,PHX,2021-03-24,2021-03-24,42,79875,667,199,367,57,11,97,104,252,519,58,155,105,111,18.0371831,5.38140845,9.92450704,1.54140845,0.29746479,2.62309859,2.81239437,OBSERVED_NOT_CAUSAL
Chuma Okeke,ORL,2021-03-24,2021-03-24,28,36429,136,98,51,21,10,18,29,50,127,26,68,10,16,8.06390513,5.81075517,3.02396442,1.24516182,0.5929342,1.06728156,1.71950918,OBSERVED_NOT_CAUSAL
Clint Capela,ATL,2021-03-24,2021-03-24,38,66736,555,541,35,27,83,51,87,243,416,0,0,69,125,17.96331815,17.5101894,1.13282187,0.87389115,2.68640614,1.65068329,2.81587149,OBSERVED_NOT_CAUSAL
Coby White,CHI,2021-03-24,2021-03-24,43,81724,649,196,200,22,6,98,105,238,582,97,277,76,85,17.15334541,5.18036317,5.28608487,0.58146934,0.15858255,2.59018159,2.77519456,OBSERVED_NOT_CAUSAL
Cody Martin,CHA,2021-03-24,2021-03-24,31,24709,123,79,38,15,5,19,26,50,101,9,32,14,20,10.75235744,6.90598567,3.32186653,1.3112631,0.4370877,1.66093326,2.27285604,OBSERVED_NOT_CAUSAL
Cody Zeller,CHA,2021-03-24,2021-03-24,24,32045,220,171,55,15,11,24,58,89,178,3,20,39,57,14.82914651,11.52629115,3.70728663,1.01107817,0.74145733,1.61772507,3.90950226,OBSERVED_NOT_CAUSAL
Cole Anthony,ORL,2021-03-24,2021-02-09,25,40021,275,111,94,17,11,51,51,101,269,27,83,46,55,14.84220784,5.9908548,5.0733365,0.9175183,0.59368831,2.75255491,2.75255491,OBSERVED_NOT_CAUSAL
Collin Sexton,CLE,2021-03-24,2021-03-22,38,81809,911,105,162,42,4,108,104,334,699,66,169,177,219,24.05309929,2.77231111,4.27728001,1.10892445,0.10561185,2.85152,2.74590815,OBSERVED_NOT_CAUSAL
Cory Joseph,SAC,2021-03-24,2021-03-24,44,56650,289,99,108,39,9,44,98,111,250,31,94,36,47,11.01924095,3.77475728,4.11791703,1.4870256,0.34315975,1.6776699,3.73662842,OBSERVED_NOT_CAUSAL
Cristiano Felicio,CHI,2021-03-24,2021-03-22,7,2384,11,12,5,2,0,3,3,3,4,0,0,5,8,9.96644295,10.87248322,4.53020134,1.81208054,0.0,2.71812081,2.71812081,LIMITED_UNDER_120_MIN
D'Angelo Russell,MIN,2021-03-24,2021-02-08,20,34986,385,52,101,22,10,54,39,139,326,59,148,48,64,23.7695078,3.21042703,6.23563711,1.35825759,0.61738981,3.33390499,2.40782027,OBSERVED_NOT_CAUSAL
Damion Lee,GSW,2021-03-24,2021-03-23,43,49203,288,140,61,26,6,20,61,97,214,61,159,33,37,12.64313152,6.14596671,2.67788549,1.14139382,0.26339857,0.87799524,2.67788549,OBSERVED_NOT_CAUSAL
Daniel Theis,BOS,2021-03-24,2021-03-24,42,61612,397,220,67,25,43,41,120,159,288,33,95,46,67,13.91806791,7.71278322,2.34889307,0.87645264,1.50749854,1.43738233,4.20697267,OBSERVED_NOT_CAUSAL
Danilo Gallinari,ATL,2021-03-24,2021-03-24,32,45043,408,124,47,19,6,32,59,122,293,67,167,97,104,19.56530426,5.94631796,2.25384632,0.91112937,0.28772506,1.53453367,2.82929645,OBSERVED_NOT_CAUSAL
Danny Green,PHI,2021-03-24,2021-03-23,44,75587,403,160,75,60,37,52,79,142,352,106,272,13,20,11.51626602,4.5722148,2.14322569,1.71458055,1.05732467,1.48596981,2.25753106,OBSERVED_NOT_CAUSAL
Dario Saric,PHX,2021-03-24,2021-03-24,25,27866,250,106,32,14,3,37,57,91,196,28,79,40,45,19.37845403,8.21646451,2.48044212,1.08519343,0.23254145,2.8680112,4.41828752,OBSERVED_NOT_CAUSAL
Darius Garland,CLE,2021-03-24,2021-03-24,35,69578,581,78,205,39,3,105,83,223,504,63,155,72,86,18.03673575,2.42145506,6.3640806,1.21072753,0.09313289,3.25965104,2.57667654,OBSERVED_NOT_CAUSAL
DeAndre Jordan,BKN,2021-03-24,2021-03-24,43,58683,322,319,74,14,55,66,91,145,188,0,1,32,65,11.8521548,11.741731,2.72378713,0.51531108,2.02443638,2.42932365,3.34952201,OBSERVED_NOT_CAUSAL
DeAndre' Bembry,TOR,2021-03-24,2021-03-24,32,32901,152,77,62,21,10,33,50,63,118,9,28,17,25,9.97902799,5.0551655,4.070393,1.3786815,0.656515,2.1664995,3.282575,OBSERVED_NOT_CAUSAL
DeMar DeRozan,SAS,2021-03-24,2021-03-24,34,69376,698,151,248,32,10,58,67,239,484,18,58,202,229,21.73201107,4.70133764,7.72140221,0.99630996,0.31134686,1.80581181,2.08602399,OBSERVED_NOT_CAUSAL
Dean Wade,CLE,2021-03-24,2021-03-24,36,28076,153,85,30,8,11,14,31,54,124,33,83,12,17,11.77090754,6.53939308,2.30802109,0.61547229,0.8462744,1.07707651,2.38495512,OBSERVED_NOT_CAUSAL
Deandre Ayton,PHX,2021-03-24,2021-03-24,43,78716,632,470,66,16,48,72,135,271,446,4,17,86,113,17.34234463,12.8969968,1.81106764,0.4390467,1.3171401,1.97571015,3.70445653,OBSERVED_NOT_CAUSAL
Deividas Sirvydis,DET,2021-03-24,2021-03-19,7,714,1,2,1,1,0,0,1,0,4,0,4,1,2,3.02521008,6.05042017,3.02521008,3.02521008,0.0,0.0,3.02521008,LIMITED_UNDER_120_MIN
Dejounte Murray,SAS,2021-03-24,2021-03-24,40,75055,619,278,205,59,4,69,82,256,569,38,122,69,85,17.8141363,8.00053294,5.89967357,1.69795483,0.11511558,1.98574379,2.35986943,OBSERVED_NOT_CAUSAL
Denzel Valentine,CHI,2021-03-24,2021-03-24,39,43168,282,150,65,25,1,22,42,108,287,57,169,9,9,14.11045219,7.50555967,3.25240919,1.25092661,0.05003706,1.10081542,2.10155671,OBSERVED_NOT_CAUSAL
Derrick Favors,UTA,2021-03-24,2021-03-24,41,39190,243,222,35,23,38,23,96,98,151,0,1,47,62,13.39321255,12.23577443,1.92906354,1.26767032,2.09441184,1.26767032,5.2911457,OBSERVED_NOT_CAUSAL
Derrick Rose,DET;NYK,2021-03-24,2021-02-28,25,35274,338,55,112,29,10,48,29,126,293,23,61,63,74,20.69739752,3.36791971,6.85830924,1.77581221,0.61234904,2.93927539,1.77581221,OBSERVED_NOT_CAUSAL
Derrick White,SAS,2021-03-24,2021-03-24,17,27152,217,42,57,11,19,25,43,72,186,31,95,42,48,17.26281674,3.34119034,4.5344726,0.87507366,1.51149087,1.98880377,3.42074249,OBSERVED_NOT_CAUSAL
Desmond Bane,MEM,2021-03-24,2021-03-24,37,49916,352,106,49,25,5,37,71,131,270,65,143,25,29,15.23198974,4.586906,2.12036221,1.08181745,0.21636349,1.60108983,3.07236157,OBSERVED_NOT_CAUSAL
Devin Booker,PHX,2021-03-24,2021-03-24,39,78972,979,158,182,34,10,129,111,364,735,78,223,173,206,26.77708555,4.32153168,4.97796687,0.92994986,0.27351466,3.52833916,3.03601276,OBSERVED_NOT_CAUSAL
Devin Vassell,SAS,2021-03-24,2021-03-24,34,35405,185,106,37,32,10,15,50,64,156,33,80,24,28,11.28654145,6.46688321,2.25730829,1.95226663,0.61008332,0.91512498,3.05041661,OBSERVED_NOT_CAUSAL
Devon Dotson,CHI,2021-03-24,2021-01-01,1,572,4,1,0,0,0,0,1,2,4,0,0,0,0,15.1048951,3.77622378,0.0,0.0,0.0,0.0,3.77622378,LIMITED_UNDER_120_MIN
Devonte' Graham,CHA,2021-03-24,2021-03-24,33,59395,440,88,169,29,2,44,47,139,374,96,255,66,83,16.00134691,3.20026938,6.14597188,1.05463423,0.0727334,1.60013469,1.70923478,OBSERVED_NOT_CAUSAL
Dewayne Dedmon,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Dillon Brooks,MEM,2021-03-24,2021-03-24,38,66615,609,114,97,50,16,76,131,228,577,69,216,84,98,19.74690385,3.69646476,3.14523756,1.62125647,0.51880207,2.46430984,4.24769196,OBSERVED_NOT_CAUSAL
Donovan Mitchell,UTA,2021-03-24,2021-03-24,41,83367,1042,189,225,42,11,121,93,356,828,137,357,193,231,26.99773292,4.89690165,5.82964482,1.08820037,0.28500486,3.13505344,2.40958653,OBSERVED_NOT_CAUSAL
Donta Hall,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Donte DiVincenzo,MIL,2021-03-24,2021-03-24,43,70258,459,235,131,48,9,58,64,172,403,84,217,31,46,14.11141792,7.22480002,4.02744171,1.47570383,0.27669447,1.78314213,1.96760511,OBSERVED_NOT_CAUSAL
Doug McDermott,IND,2021-03-24,2021-03-24,42,63667,563,162,57,12,4,37,73,220,428,69,187,54,65,19.10063298,5.49609688,1.93381186,0.40711829,0.1357061,1.25528139,2.47663625,OBSERVED_NOT_CAUSAL
Draymond Green,GSW,2021-03-24,2021-03-23,38,68418,233,249,319,55,30,105,121,87,219,18,74,41,53,7.35595896,7.86108919,10.07103394,1.73638516,0.94711918,3.31491713,3.82004736,OBSERVED_NOT_CAUSAL
Drew Eubanks,SAS,2021-03-24,2021-03-24,24,19021,109,81,21,4,27,19,31,42,88,1,1,24,34,12.37789811,9.19825456,2.38473266,0.45423479,3.06608485,2.15761527,3.52031965,OBSERVED_NOT_CAUSAL
Duncan Robinson,MIA,2021-03-24,2021-03-23,44,87068,551,168,73,25,10,52,105,182,438,143,374,44,53,13.66931594,4.16777691,1.8109983,0.6202049,0.24808196,1.29002619,2.60486057,OBSERVED_NOT_CAUSAL
Dwayne Bacon,ORL,2021-03-24,2021-03-24,44,65712,436,125,49,23,3,30,71,159,398,44,132,74,87,14.33162893,4.10883857,1.61066472,0.7560263,0.09861213,0.98612126,2.33382031,OBSERVED_NOT_CAUSAL
Dwight Howard,PHI,2021-03-24,2021-03-23,44,45658,291,360,33,19,41,78,131,111,196,4,14,65,121,13.76670025,17.03096938,1.56117219,0.89885672,1.93963818,3.69004337,6.19738052,OBSERVED_NOT_CAUSAL
E'Twaun Moore,PHX,2021-03-24,2021-03-13,24,20891,102,42,35,14,4,18,31,43,102,8,29,8,10,10.54616821,4.34253985,3.61878321,1.44751328,0.41357522,1.86108851,3.20520798,OBSERVED_NOT_CAUSAL
Ed Davis,MIN,2021-03-24,2021-02-08,19,15860,43,97,19,10,10,6,49,18,43,0,0,7,8,5.85624212,13.21059269,2.58764187,1.36191677,1.36191677,0.81715006,6.67339218,OBSERVED_NOT_CAUSAL
Edmond Sumner,IND,2021-03-24,2021-03-24,30,21485,161,40,15,15,3,24,40,59,116,17,44,26,33,16.1861764,4.02141029,1.50802886,1.50802886,0.30160577,2.41284617,4.02141029,OBSERVED_NOT_CAUSAL
Elfrid Payton,NYK,2021-03-24,2021-03-23,35,58596,435,135,129,26,7,63,67,181,415,16,64,57,78,16.03522425,4.9764489,4.7552734,0.9584272,0.25803809,2.32234282,2.46979316,OBSERVED_NOT_CAUSAL
Elijah Bryant,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Elijah Hughes,UTA,2021-03-24,2021-03-24,8,1946,19,6,4,1,1,4,0,6,17,4,12,3,4,21.08941418,6.65981501,4.43987667,1.10996917,1.10996917,4.43987667,0.0,LIMITED_UNDER_120_MIN
Ersan Ilyasova,UTA,2021-03-24,2021-03-24,2,381,0,2,1,0,0,1,0,0,1,0,1,0,0,0.0,11.33858268,5.66929134,0.0,0.0,5.66929134,0.0,LIMITED_UNDER_120_MIN
Evan Fournier,ORL,2021-03-24,2021-03-24,26,47196,511,75,95,27,9,54,55,170,369,73,188,98,123,23.38672769,3.43249428,4.34782609,1.23569794,0.41189931,2.47139588,2.51716247,OBSERVED_NOT_CAUSAL
Frank Jackson,DET,2021-03-24,2021-03-24,14,10401,68,18,11,4,0,10,13,25,60,12,30,6,8,14.12171907,3.73810211,2.28439573,0.83068936,0.0,2.07672339,2.69974041,OBSERVED_NOT_CAUSAL
Frank Ntilikina,NYK,2021-03-24,2021-03-23,16,14090,69,19,13,14,1,9,30,23,62,17,36,6,12,10.57771469,2.91270405,1.99290277,2.14620298,0.15330021,1.37970192,4.59900639,OBSERVED_NOT_CAUSAL
Freddie Gillespie,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Furkan Korkmaz,PHI,2021-03-24,2021-03-23,33,38800,305,72,36,24,5,31,39,103,254,58,157,41,55,16.97938144,4.00824742,2.00412371,1.33608247,0.27835052,1.7257732,2.17113402,OBSERVED_NOT_CAUSAL
Gabe Vincent,MIA,2021-03-24,2021-03-23,29,25070,170,34,39,13,2,22,50,61,158,29,99,19,21,14.64698843,2.92939769,3.36019146,1.12006382,0.17231751,1.89549262,4.30793777,OBSERVED_NOT_CAUSAL
Garrett Temple,CHI,2021-03-24,2021-03-12,35,58647,297,110,69,32,18,35,81,110,259,46,134,31,38,10.93866694,4.05135813,2.54130646,1.17857691,0.66294951,1.28906849,2.9832728,OBSERVED_NOT_CAUSAL
Gary Harris,DEN,2021-03-24,2021-02-17,19,34886,184,47,32,17,4,14,37,69,156,24,75,22,30,11.39253569,2.91004988,1.98131055,1.05257123,0.24766382,0.86682337,2.29089033,OBSERVED_NOT_CAUSAL
Gary Trent Jr.,POR,2021-03-24,2021-03-23,41,75719,613,91,58,37,6,31,63,217,524,121,305,58,75,17.48676026,2.59591384,1.65453849,1.05548145,0.17115915,0.8843223,1.79717112,OBSERVED_NOT_CAUSAL
George Hill,OKC,2021-03-24,2021-01-24,14,22115,165,29,43,12,2,12,12,61,120,22,57,21,25,16.11575853,2.83246665,4.19986435,1.17205517,0.19534253,1.17205517,1.17205517,OBSERVED_NOT_CAUSAL
Georges Niang,UTA,2021-03-24,2021-03-24,43,35056,224,91,31,13,5,26,65,83,199,53,140,5,5,13.80191693,5.60702875,1.91008672,0.80100411,0.3080785,1.60200822,4.00502054,OBSERVED_NOT_CAUSAL
Giannis Antetokounmpo,MIL,2021-03-24,2021-03-24,41,83969,1174,476,263,50,53,152,121,426,762,47,157,275,406,30.19971656,12.24451881,6.76535388,1.28618895,1.36336029,3.91001441,3.11257726,OBSERVED_NOT_CAUSAL
Goga Bitadze,IND,2021-03-24,2021-03-24,24,13790,96,56,6,5,24,9,37,37,79,5,27,17,24,15.03698332,8.7715736,0.93981146,0.78317621,3.75924583,1.40971719,5.79550399,OBSERVED_NOT_CAUSAL
Goran Dragic,MIA,2021-03-24,2021-03-19,28,45440,388,92,136,17,6,75,65,139,315,45,129,65,77,18.44366197,4.37323944,6.46478873,0.80809859,0.28521127,3.56514085,3.08978873,OBSERVED_NOT_CAUSAL
Grant Riller,,2021-03-24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,NO_PREDEADLINE_SAMPLE
Grant Williams,BOS,2021-03-24,2021-03-24,36,39428,180,108,34,19,13,30,91,65,144,31,74,19,35,9.86101248,5.91660749,1.86263569,1.04088465,0.71218423,1.64350208,4.98528964,OBSERVED_NOT_CAUSAL
Grayson Allen,MEM,2021-03-24,2021-03-24,29,42914,287,93,62,29,5,29,37,93,223,59,146,42,47,14.44563546,4.68098989,3.12065992,1.45966351,0.25166612,1.45966351,1.86232931,OBSERVED_NOT_CAUSAL
Immanuel Quickley,NYK,2021-03-24,2021-03-23,39,46365,497,87,88,18,9,38,80,155,392,75,200,112,126,23.15367195,4.05305726,4.09964413,0.83856357,0.41928179,1.77030087,3.72694921,OBSERVED_NOT_CAUSAL
Isaac Okoro,CLE,2021-03-24,2021-03-24,39,75511,313,109,71,43,19,56,111,117,280,34,111,45,65,8.95339752,3.11795632,2.03096238,1.23001947,0.54349697,1.60188582,3.17516653,OBSERVED_NOT_CAUSAL
Isaiah Hartenstein,DEN,2021-03-24,2021-03-21,30,16327,104,85,15,11,20,21,59,41,80,0,0,22,36,13.75880443,11.2451767,1.98444295,1.45525816,2.64592393,2.77822013,7.80547559,OBSERVED_NOT_CAUSAL
Isaiah Joe,PHI,2021-03-24,2021-03-20,22,15162,91,26,15,7,4,5,22,31,86,24,66,5,5,12.96398892,3.70399683,2.13692125,0.99722992,0.56984567,0.71230708,3.13415117,OBSERVED_NOT_CAUSAL
Isaiah Stewart,DET,2021-03-24,2021-03-24,41,46976,256,243,31,23,42,37,98,111,194,6,14,28,42,11.77111717,11.17336512,1.42540872,1.05756131,1.93119891,1.70129428,4.50613079,OBSERVED_NOT_CAUSAL
Ja Morant,MEM,2021-03-24,2021-03-24,33,62395,630,112,246,31,7,97,49,228,522,27,118,147,192,21.80943986,3.87723375,8.51606699,1.07316291,0.24232711,3.35796138,1.69628977,OBSERVED_NOT_CAUSAL
JaKarr Sampson,IND,2021-03-24,2021-03-01,15,5822,39,29,1,2,3,6,11,15,32,1,5,8,10,14.46925455,10.75918928,0.37100653,0.74201305,1.11301958,2.22603916,4.0810718,LIMITED_UNDER_120_MIN
Jabari Parker,SAC,2021-03-24,2021-03-15,3,1635,8,6,1,0,1,3,4,4,7,0,1,0,0,10.56880734,7.9266055,1.32110092,0.0,1.32110092,3.96330275,5.28440367,LIMITED_UNDER_120_MIN
Jaden McDaniels,MIN,2021-03-24,2021-03-24,37,44535,205,124,36,18,36,25,89,79,192,35,102,12,26,9.94274166,6.01414618,1.74604244,0.87302122,1.74604244,1.21252947,4.31660492,OBSERVED_NOT_CAUSAL
Jae Crowder,PHX,2021-03-24,2021-03-24,40,66418,411,198,80,34,12,34,73,139,338,98,251,35,43,13.36625614,6.43921828,2.60170436,1.10572435,0.39025565,1.10572435,2.37405523,OBSERVED_NOT_CAUSAL
Jahlil Okafor,DET,2021-03-24,2021-01-30,12,7177,51,27,3,2,2,4,10,25,42,0,3,1,2,15.34903163,8.12595792,0.90288421,0.60192281,0.60192281,1.20384562,3.00961404,LIMITED_UNDER_120_MIN
Jake Layman,MIN,2021-03-24,2021-03-24,32,31527,192,61,26,25,16,23,36,75,153,19,65,23,30,13.15443905,4.17927491,1.78133029,1.71281758,1.09620325,1.57579218,2.46645732,OBSERVED_NOT_CAUSAL
