event_id,game_id,date,player,actual_seconds,alternate_seconds,delta_seconds,actual_minutes,alternate_minutes,actual_start,alternate_start,season_class
CHI_2020_21_G012,0022000184,2021-01-15,Coby White,2664,2089,-575,44:24,34:49,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G012,0022000184,2021-01-15,Denzel Valentine,926,360,-566,15:26,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G012,0022000184,2021-01-15,Patrick Williams,2159,0,-2159,35:59,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G013,0022000198,2021-01-17,Coby White,1518,1200,-318,25:18,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G013,0022000198,2021-01-17,Garrett Temple,1726,1113,-613,28:46,18:33,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G013,0022000198,2021-01-17,Patrick Williams,1355,0,-1355,22:35,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G013,0022000198,2021-01-17,Ryan Arcidiacono,1014,0,-1014,16:54,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G014,0022000211,2021-01-18,Coby White,1902,1200,-702,31:42,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G014,0022000211,2021-01-18,Denzel Valentine,1469,360,-1109,24:29,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G014,0022000211,2021-01-18,Garrett Temple,1935,1449,-486,32:15,24:09,1,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G014,0022000211,2021-01-18,Ryan Arcidiacono,1003,0,-1003,16:43,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G015,0022000229,2021-01-22,Coby White,1965,1200,-765,32:45,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G015,0022000229,2021-01-22,Denzel Valentine,1041,360,-681,17:21,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G015,0022000229,2021-01-22,Garrett Temple,1838,1020,-818,30:38,17:00,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G015,0022000229,2021-01-22,Patrick Williams,964,0,-964,16:04,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G015,0022000229,2021-01-22,Tomas Satoransky,672,600,-72,11:12,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G016,0022000245,2021-01-23,Chandler Hutchison,446,0,-446,7:26,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G016,0022000245,2021-01-23,Coby White,1926,1635,-291,32:06,27:15,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G016,0022000245,2021-01-23,Denzel Valentine,806,360,-446,13:26,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G016,0022000245,2021-01-23,Patrick Williams,1850,0,-1850,30:50,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G016,0022000245,2021-01-23,Ryan Arcidiacono,174,0,-174,2:54,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G016,0022000245,2021-01-23,Tomas Satoransky,693,600,-93,11:33,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G017,0022000262,2021-01-25,Coby White,1439,1200,-239,23:59,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G017,0022000262,2021-01-25,Denzel Valentine,1540,360,-1180,25:40,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G017,0022000262,2021-01-25,Garrett Temple,1563,1125,-438,26:03,18:45,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G017,0022000262,2021-01-25,Patrick Williams,602,0,-602,10:02,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G017,0022000262,2021-01-25,Tomas Satoransky,1441,600,-841,24:01,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G018,0022000298,2021-01-30,Coby White,2035,1200,-835,33:55,20:00,1,1,ROLE_RECALC_DONOR
CHI_2020_21_G018,0022000298,2021-01-30,Garrett Temple,1491,960,-531,24:51,16:00,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G018,0022000298,2021-01-30,Otto Porter Jr.,1449,1171,-278,24:09,19:31,0,0,CONDITIONAL_ACTIVE_DATE_DONOR
CHI_2020_21_G018,0022000298,2021-01-30,Patrick Williams,1458,0,-1458,24:18,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G018,0022000298,2021-01-30,Tomas Satoransky,798,600,-198,13:18,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G019,0022000315,2021-02-01,Chandler Hutchison,15,0,-15,0:15,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G019,0022000315,2021-02-01,Coby White,2248,1200,-1048,37:28,20:00,1,0,ROLE_RECALC_DONOR
CHI_2020_21_G019,0022000315,2021-02-01,Garrett Temple,1478,960,-518,24:38,16:00,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G019,0022000315,2021-02-01,Otto Porter Jr.,1089,877,-212,18:09,14:37,0,0,CONDITIONAL_ACTIVE_DATE_DONOR
CHI_2020_21_G019,0022000315,2021-02-01,Patrick Williams,1681,0,-1681,28:01,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G019,0022000315,2021-02-01,Tomas Satoransky,606,600,-6,10:06,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G020,0022000332,2021-02-03,Coby White,1935,1417,-518,32:15,23:37,1,0,ROLE_RECALC_DONOR
CHI_2020_21_G020,0022000332,2021-02-03,Denzel Valentine,1170,360,-810,19:30,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G020,0022000332,2021-02-03,Patrick Williams,1930,0,-1930,32:10,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G020,0022000332,2021-02-03,Tomas Satoransky,822,600,-222,13:42,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G021,0022000344,2021-02-05,Chandler Hutchison,236,0,-236,3:56,0:00,0,0,DIRECT_REMOVED_POOL
CHI_2020_21_G021,0022000344,2021-02-05,Coby White,2020,2020,0,33:40,33:40,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G021,0022000344,2021-02-05,Denzel Valentine,1226,685,-541,20:26,11:25,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G021,0022000344,2021-02-05,Patrick Williams,2032,0,-2032,33:52,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G021,0022000344,2021-02-05,Tomas Satoransky,1271,600,-671,21:11,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G022,0022000353,2021-02-06,Coby White,1642,1642,0,27:22,27:22,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G022,0022000353,2021-02-06,Denzel Valentine,2196,1744,-452,36:36,29:04,1,1,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G022,0022000353,2021-02-06,Patrick Williams,2007,0,-2007,33:27,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G022,0022000353,2021-02-06,Tomas Satoransky,1621,600,-1021,27:01,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G023,0022000368,2021-02-08,Coby White,1809,1809,0,30:09,30:09,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G023,0022000368,2021-02-08,Denzel Valentine,1666,1110,-556,27:46,18:30,1,1,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G023,0022000368,2021-02-08,Patrick Williams,2122,0,-2122,35:22,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G023,0022000368,2021-02-08,Tomas Satoransky,1402,600,-802,23:22,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G024,0022000385,2021-02-10,Coby White,2067,2067,0,34:27,34:27,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G024,0022000385,2021-02-10,Denzel Valentine,1350,502,-848,22:30,8:22,1,1,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G024,0022000385,2021-02-10,Patrick Williams,2082,0,-2082,34:42,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G024,0022000385,2021-02-10,Tomas Satoransky,1150,600,-550,19:10,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G025,0022000400,2021-02-12,Coby White,2025,2025,0,33:45,33:45,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G025,0022000400,2021-02-12,Denzel Valentine,1359,1149,-210,22:39,19:09,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G025,0022000400,2021-02-12,Patrick Williams,2099,0,-2099,34:59,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G025,0022000400,2021-02-12,Tomas Satoransky,1771,600,-1171,29:31,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G026,0022000420,2021-02-15,Coby White,2621,2621,0,43:41,43:41,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G026,0022000420,2021-02-15,Denzel Valentine,1958,734,-1224,32:38,12:14,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G026,0022000420,2021-02-15,Patrick Williams,1592,0,-1592,26:32,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G026,0022000420,2021-02-15,Tomas Satoransky,1264,600,-664,21:04,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G027,0022000564,2021-02-17,Coby White,1456,1456,0,24:16,24:16,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G027,0022000564,2021-02-17,Denzel Valentine,1550,852,-698,25:50,14:12,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G027,0022000564,2021-02-17,Patrick Williams,1770,0,-1770,29:30,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G027,0022000564,2021-02-17,Tomas Satoransky,1612,600,-1012,26:52,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G028,0022000450,2021-02-19,Coby White,1614,1614,0,26:54,26:54,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G028,0022000450,2021-02-19,Denzel Valentine,933,360,-573,15:33,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G028,0022000450,2021-02-19,Patrick Williams,1884,0,-1884,31:24,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G028,0022000450,2021-02-19,Ryan Arcidiacono,1057,710,-347,17:37,11:50,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G028,0022000450,2021-02-19,Tomas Satoransky,1276,600,-676,21:16,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G029,0022000460,2021-02-20,Coby White,2104,2104,0,35:04,35:04,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G029,0022000460,2021-02-20,Denzel Valentine,918,360,-558,15:18,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G029,0022000460,2021-02-20,Patrick Williams,2120,0,-2120,35:20,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G029,0022000460,2021-02-20,Ryan Arcidiacono,880,608,-272,14:40,10:08,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G029,0022000460,2021-02-20,Tomas Satoransky,1130,600,-530,18:50,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G030,0022000474,2021-02-22,Coby White,1848,1848,0,30:48,30:48,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G030,0022000474,2021-02-22,Denzel Valentine,1122,857,-265,18:42,14:17,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G030,0022000474,2021-02-22,Patrick Williams,2052,0,-2052,34:12,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G030,0022000474,2021-02-22,Tomas Satoransky,1763,600,-1163,29:23,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G031,0022000493,2021-02-24,Coby White,1950,1950,0,32:30,32:30,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G031,0022000493,2021-02-24,Denzel Valentine,1185,360,-825,19:45,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G031,0022000493,2021-02-24,Patrick Williams,1640,0,-1640,27:20,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G031,0022000493,2021-02-24,Ryan Arcidiacono,558,478,-80,9:18,7:58,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G031,0022000493,2021-02-24,Tomas Satoransky,1535,600,-935,25:35,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G032,0022000508,2021-02-26,Coby White,1870,1870,0,31:10,31:10,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G032,0022000508,2021-02-26,Denzel Valentine,1246,407,-839,20:46,6:47,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G032,0022000508,2021-02-26,Patrick Williams,2007,0,-2007,33:27,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G032,0022000508,2021-02-26,Tomas Satoransky,1234,600,-634,20:34,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G033,0022000531,2021-03-01,Coby White,2226,2226,0,37:06,37:06,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G033,0022000531,2021-03-01,Denzel Valentine,1490,524,-966,24:50,8:44,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G033,0022000531,2021-03-01,Patrick Williams,1918,0,-1918,31:58,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G033,0022000531,2021-03-01,Tomas Satoransky,1196,600,-596,19:56,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G034,0022000548,2021-03-03,Coby White,1967,1967,0,32:47,32:47,1,0,ROLE_RECALC_START_ONLY
CHI_2020_21_G034,0022000548,2021-03-03,Denzel Valentine,873,360,-513,14:33,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G034,0022000548,2021-03-03,Patrick Williams,1572,0,-1572,26:12,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G034,0022000548,2021-03-03,Ryan Arcidiacono,799,49,-750,13:19,0:49,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G034,0022000548,2021-03-03,Tomas Satoransky,1245,600,-645,20:45,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G035,0022000572,2021-03-11,Coby White,1477,1215,-262,24:37,20:15,1,0,ROLE_RECALC_DONOR
CHI_2020_21_G035,0022000572,2021-03-11,Patrick Williams,1908,0,-1908,31:48,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G035,0022000572,2021-03-11,Ryan Arcidiacono,412,0,-412,6:52,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G035,0022000572,2021-03-11,Tomas Satoransky,1498,600,-898,24:58,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G036,0022000582,2021-03-12,Coby White,2025,1200,-825,33:45,20:00,1,0,ROLE_RECALC_DONOR
CHI_2020_21_G036,0022000582,2021-03-12,Denzel Valentine,1043,360,-683,17:23,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G036,0022000582,2021-03-12,Garrett Temple,1284,960,-324,21:24,16:00,0,0,DEFENSE_FLOOR_DONOR
CHI_2020_21_G036,0022000582,2021-03-12,Otto Porter Jr.,748,720,-28,12:28,12:00,0,0,CONDITIONAL_ACTIVE_DATE_DONOR
CHI_2020_21_G036,0022000582,2021-03-12,Patrick Williams,1236,0,-1236,20:36,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G036,0022000582,2021-03-12,Thaddeus Young,1533,1495,-38,25:33,24:55,0,0,PROTECTED_NET_ZERO_BRIDGE
CHI_2020_21_G036,0022000582,2021-03-12,Tomas Satoransky,946,600,-346,15:46,10:00,0,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G037,0022000600,2021-03-14,Denzel Valentine,1188,360,-828,19:48,6:00,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G037,0022000600,2021-03-14,Patrick Williams,1594,0,-1594,26:34,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G037,0022000600,2021-03-14,Ryan Arcidiacono,674,549,-125,11:14,9:09,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G037,0022000600,2021-03-14,Tomas Satoransky,1533,600,-933,25:33,10:00,1,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G038,0022000612,2021-03-16,Denzel Valentine,642,446,-196,10:42,7:26,0,0,PRIMARY_GUARD_WING_DONOR
CHI_2020_21_G038,0022000612,2021-03-16,Patrick Williams,1459,0,-1459,24:19,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G038,0022000612,2021-03-16,Ryan Arcidiacono,825,238,-587,13:45,3:58,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G038,0022000612,2021-03-16,Tomas Satoransky,1838,600,-1238,30:38,10:00,1,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G039,0022000621,2021-03-17,Patrick Williams,1925,0,-1925,32:05,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G039,0022000621,2021-03-17,Ryan Arcidiacono,594,487,-107,9:54,8:07,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G039,0022000621,2021-03-17,Tomas Satoransky,2048,600,-1448,34:08,10:00,1,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G040,0022000637,2021-03-19,Coby White,1697,1200,-497,28:17,20:00,0,0,ROLE_RECALC_DONOR
CHI_2020_21_G040,0022000637,2021-03-19,Otto Porter Jr.,1731,1616,-115,28:51,26:56,0,0,CONDITIONAL_ACTIVE_DATE_DONOR
CHI_2020_21_G040,0022000637,2021-03-19,Patrick Williams,1289,0,-1289,21:29,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G040,0022000637,2021-03-19,Ryan Arcidiacono,1016,0,-1016,16:56,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G040,0022000637,2021-03-19,Tomas Satoransky,1849,1286,-563,30:49,21:26,1,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G041,0022000649,2021-03-21,Otto Porter Jr.,1083,720,-363,18:03,12:00,0,0,CONDITIONAL_ACTIVE_DATE_DONOR
CHI_2020_21_G041,0022000649,2021-03-21,Patrick Williams,2041,0,-2041,34:01,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G041,0022000649,2021-03-21,Ryan Arcidiacono,929,0,-929,15:29,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G041,0022000649,2021-03-21,Tomas Satoransky,1650,1503,-147,27:30,25:03,1,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G042,0022000656,2021-03-22,Coby White,1407,1200,-207,23:27,20:00,0,0,ROLE_RECALC_DONOR
CHI_2020_21_G042,0022000656,2021-03-22,Otto Porter Jr.,1172,753,-419,19:32,12:33,0,0,CONDITIONAL_ACTIVE_DATE_DONOR
CHI_2020_21_G042,0022000656,2021-03-22,Patrick Williams,1835,0,-1835,30:35,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G042,0022000656,2021-03-22,Ryan Arcidiacono,538,0,-538,8:58,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G042,0022000656,2021-03-22,Tomas Satoransky,1818,1337,-481,30:18,22:17,1,0,PRIMARY_GUARD_DONOR
CHI_2020_21_G043,0022000671,2021-03-24,Coby White,1587,1200,-387,26:27,20:00,0,0,ROLE_RECALC_DONOR
CHI_2020_21_G043,0022000671,2021-03-24,Patrick Williams,1919,0,-1919,31:59,0:00,1,0,DIRECT_REMOVED_POOL
CHI_2020_21_G043,0022000671,2021-03-24,Ryan Arcidiacono,910,0,-910,15:10,0:00,0,0,LIMITED_GUARD_DONOR
CHI_2020_21_G043,0022000671,2021-03-24,Tomas Satoransky,1531,1267,-264,25:31,21:07,1,0,PRIMARY_GUARD_DONOR
