event_id,game_id,date,matchup,actual_wl,protagonist_seconds,protagonist_minutes,protagonist_start,protagonist_start_source,lamelo_seconds,lamelo_minutes,lamelo_start,lamelo_start_source,actual_team_seconds,alternate_team_seconds,real_player_debit_seconds,real_player_credit_seconds,bridge_note
CHI_2020_21_G023,0022000368,2021-02-08,CHI vs. WAS,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G024,0022000385,2021-02-10,CHI vs. NOP,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G025,0022000400,2021-02-12,CHI vs. LAC,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G026,0022000420,2021-02-15,CHI @ IND,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,15900,15900,3480,0,donor_only
CHI_2020_21_G027,0022000564,2021-02-17,CHI vs. DET,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G028,0022000450,2021-02-19,CHI @ PHI,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G029,0022000460,2021-02-20,CHI vs. SAC,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G030,0022000474,2021-02-22,CHI @ HOU,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G031,0022000493,2021-02-24,CHI vs. MIN,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,15900,15900,3480,0,donor_only
CHI_2020_21_G032,0022000508,2021-02-26,CHI vs. PHX,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G033,0022000531,2021-03-01,CHI vs. DEN,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G034,0022000548,2021-03-03,CHI @ NOP,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G035,0022000572,2021-03-11,CHI vs. PHI,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14400,14400,3480,0,donor_only
CHI_2020_21_G036,0022000582,2021-03-12,CHI vs. MIA,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Coby White,14401,14401,3480,0,young_net_zero_debit
CHI_2020_21_G037,0022000600,2021-03-14,CHI vs. TOR,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,14400,14400,3480,0,donor_only
CHI_2020_21_G038,0022000612,2021-03-16,CHI vs. OKC,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,14400,14400,3480,0,donor_only
CHI_2020_21_G039,0022000621,2021-03-17,CHI vs. SAS,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,14400,14400,3480,0,donor_only
CHI_2020_21_G040,0022000637,2021-03-19,CHI @ DEN,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,15900,15900,3480,0,donor_only
CHI_2020_21_G041,0022000649,2021-03-21,CHI @ DET,W,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,14400,14400,3480,0,donor_only
CHI_2020_21_G042,0022000656,2021-03-22,CHI vs. UTA,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,14400,14400,3480,0,donor_only
CHI_2020_21_G043,0022000671,2021-03-24,CHI vs. CLE,L,1740,29:00,1,Patrick Williams,1740,29:00,1,Tomas Satoransky,14400,14400,3480,0,donor_only
