scenario,event_id,game_id,date,matchup,actual_wl,actual_points,actual_margin,actual_team_seconds,alternate_team_seconds,unfunded_seconds,alternate_starts,status
PORTER_12_STRESS,CHI_2020_21_G057,0022000869,2021-04-19,CHI @ BOS,W,102,6,14401,14401,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G058,0022000881,2021-04-21,CHI @ CLE,L,105,-16,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G059,0022000896,2021-04-22,CHI vs. CHA,W,108,17,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G060,0022000907,2021-04-24,CHI @ MIA,L,101,-5,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G061,0022000922,2021-04-26,CHI @ MIA,W,110,8,14401,14401,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G062,0022000937,2021-04-28,CHI @ NYK,L,94,-19,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G063,0022000954,2021-04-30,CHI vs. MIL,L,98,-10,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G064,0022000959,2021-05-01,CHI @ ATL,L,97,-11,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G065,0022000979,2021-05-03,CHI vs. PHI,L,94,-12,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G066,0022000434,2021-05-06,CHI @ CHA,W,120,21,14400,14850,450,5,CAPACITY_BLOCKED
PORTER_12_STRESS,CHI_2020_21_G067,0022000160,2021-05-07,CHI vs. BOS,W,121,22,14400,14513,113,5,CAPACITY_BLOCKED
PORTER_12_STRESS,CHI_2020_21_G068,0022001023,2021-05-09,CHI @ DET,W,108,12,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G069,0022001036,2021-05-11,CHI vs. BKN,L,107,-8,14400,14757,357,5,CAPACITY_BLOCKED
PORTER_12_STRESS,CHI_2020_21_G070,0022001051,2021-05-13,CHI vs. TOR,W,114,12,14400,14549,149,5,CAPACITY_BLOCKED
PORTER_12_STRESS,CHI_2020_21_G071,0022001060,2021-05-15,CHI @ BKN,L,91,-14,14401,14401,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_12_STRESS,CHI_2020_21_G072,0022001068,2021-05-16,CHI vs. MIL,W,118,6,14400,15055,655,5,CAPACITY_BLOCKED
PORTER_CAPPED,CHI_2020_21_G044,0022000697,2021-03-27,CHI @ SAS,L,104,-16,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G045,0022000716,2021-03-29,CHI @ GSW,L,102,-14,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G046,0022000730,2021-03-31,CHI @ PHX,L,116,-5,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G047,0022000743,2021-04-02,CHI @ UTA,L,106,-7,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G048,0022000755,2021-04-04,CHI vs. BKN,W,115,8,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G049,0022000769,2021-04-06,CHI @ IND,W,113,16,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G050,0022000523,2021-04-08,CHI @ TOR,W,122,9,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G051,0022000791,2021-04-09,CHI @ ATL,L,108,-12,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G052,0022000812,2021-04-11,CHI @ MIN,L,117,-4,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G053,0022000278,2021-04-12,CHI @ MEM,L,90,-11,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G054,0022000833,2021-04-14,CHI vs. ORL,L,106,-9,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G055,0022000850,2021-04-16,CHI vs. MEM,L,115,-11,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G056,0022000857,2021-04-17,CHI vs. CLE,W,106,10,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G057,0022000869,2021-04-19,CHI @ BOS,W,102,6,14401,14401,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G058,0022000881,2021-04-21,CHI @ CLE,L,105,-16,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G059,0022000896,2021-04-22,CHI vs. CHA,W,108,17,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G060,0022000907,2021-04-24,CHI @ MIA,L,101,-5,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G061,0022000922,2021-04-26,CHI @ MIA,W,110,8,14401,14401,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G062,0022000937,2021-04-28,CHI @ NYK,L,94,-19,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G063,0022000954,2021-04-30,CHI vs. MIL,L,98,-10,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G064,0022000959,2021-05-01,CHI @ ATL,L,97,-11,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G065,0022000979,2021-05-03,CHI vs. PHI,L,94,-12,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G066,0022000434,2021-05-06,CHI @ CHA,W,120,21,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G067,0022000160,2021-05-07,CHI vs. BOS,W,121,22,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G068,0022001023,2021-05-09,CHI @ DET,W,108,12,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G069,0022001036,2021-05-11,CHI vs. BKN,L,107,-8,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G070,0022001051,2021-05-13,CHI vs. TOR,W,114,12,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G071,0022001060,2021-05-15,CHI @ BKN,L,91,-14,14401,14401,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
PORTER_CAPPED,CHI_2020_21_G072,0022001068,2021-05-16,CHI vs. MIL,W,118,6,14400,14400,0,5,CAPACITY_PASS_AVAILABILITY_HOLD
