season,date,game_id,team,player,seconds,comment,pts,fgm,fga,fg3m,fg3a,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2020-21,2021-01-20,0022000217,DAL,Josh Green,1373,,8,4,7,0,1,0,0,1,5,6,2,0,0,0,3
2020-21,2021-01-20,0022000218,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-20,0022000219,DET,Saddiq Bey,481,,0,0,2,0,2,0,0,0,1,1,1,1,0,1,1
2020-21,2021-01-20,0022000223,SAS,Devin Vassell,1614,,8,2,8,1,4,3,4,2,1,3,2,2,1,0,3
2020-21,2021-01-22,0022000230,DET,Saddiq Bey,915,,2,0,3,0,3,2,2,0,0,0,0,0,0,1,0
2020-21,2021-01-22,0022000237,SAS,Devin Vassell,1253,,5,1,2,1,1,2,2,0,3,3,2,1,0,0,1
2020-21,2021-01-22,0022000237,DAL,Josh Green,1005,,2,1,4,0,2,0,0,1,5,6,1,1,0,0,0
2020-21,2021-01-23,0022000243,DET,Saddiq Bey,1158,,10,4,9,2,5,0,0,1,2,3,0,1,0,0,1
2020-21,2021-01-23,0022000247,DAL,Josh Green,1200,,6,2,5,1,3,1,2,2,0,2,0,1,0,3,2
2020-21,2021-01-24,0022000250,BOS,Aaron Nesmith,999,,11,4,6,3,5,0,0,2,4,6,1,0,0,0,2
2020-21,2021-01-24,0022000253,SAS,Devin Vassell,1444,,14,5,11,4,6,0,0,0,4,4,1,2,1,0,0
2020-21,2021-01-25,0022000257,DET,Saddiq Bey,518,,0,0,2,0,2,0,0,0,3,3,0,0,0,1,1
2020-21,2021-01-25,0022000262,BOS,Aaron Nesmith,1127,,9,3,5,3,5,0,0,0,1,1,0,0,0,1,1
2020-21,2021-01-25,0022000265,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-27,0022000272,DET,Saddiq Bey,1170,,7,2,4,1,3,2,2,0,2,2,2,0,0,2,1
2020-21,2021-01-27,0022000280,BOS,Aaron Nesmith,318,,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
2020-21,2021-01-27,0022000280,SAS,Devin Vassell,907,,3,1,5,1,4,0,0,1,2,3,0,0,0,3,1
2020-21,2021-01-27,0022000282,DAL,Josh Green,94,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-28,0022000284,DET,Saddiq Bey,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-29,0022000296,SAS,Devin Vassell,1059,,9,3,4,1,2,2,3,0,2,2,0,1,0,0,1
2020-21,2021-01-29,0022000297,DAL,Josh Green,511,,7,3,3,1,1,0,1,0,1,1,0,0,1,0,0
2020-21,2021-01-30,0022000302,BOS,Aaron Nesmith,501,,0,0,2,0,2,0,0,0,1,1,0,0,0,2,2
2020-21,2021-01-30,0022000303,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-01-30,0022000304,MEM,Desmond Bane,1247,,15,6,8,3,3,0,0,1,3,4,2,0,0,1,1
2020-21,2021-01-30,0022000304,SAS,Devin Vassell,571,,2,1,2,0,1,0,0,0,2,2,0,0,0,0,0
2020-21,2021-01-30,0022000305,DET,Saddiq Bey,927,,2,1,4,0,3,0,0,0,4,4,1,0,0,0,1
2020-21,2021-02-01,0022000319,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-01,0022000320,MEM,Desmond Bane,1518,,10,4,9,2,5,0,0,0,3,3,1,0,1,0,2
2020-21,2021-02-01,0022000320,SAS,Devin Vassell,704,,3,1,4,1,2,0,0,0,2,2,1,0,0,1,1
2020-21,2021-02-02,0022000322,MEM,Desmond Bane,1572,,16,6,13,3,6,1,1,1,2,3,5,0,0,2,4
2020-21,2021-02-02,0022000325,DET,Saddiq Bey,649,,5,2,6,1,2,0,0,0,1,1,0,0,0,0,1
2020-21,2021-02-02,0022000326,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-03,0022000330,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-03,0022000334,SAS,Devin Vassell,1184,,7,3,6,0,1,1,1,1,3,4,1,1,0,1,2
2020-21,2021-02-03,0022000336,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-04,0022000339,DAL,Josh Green,335,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-21,2021-02-04,0022000340,MEM,Desmond Bane,1618,,16,5,8,2,4,4,5,0,1,1,3,1,1,1,2
2020-21,2021-02-05,0022000349,DET,Saddiq Bey,1547,,14,5,13,2,8,2,3,1,3,4,2,1,1,1,1
2020-21,2021-02-05,0022000350,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-06,0022000355,MEM,Desmond Bane,1180,,5,2,8,1,5,0,0,0,2,2,2,1,1,0,2
2020-21,2021-02-06,0022000358,SAS,Devin Vassell,928,,9,4,7,1,3,0,0,1,1,2,1,3,1,2,4
2020-21,2021-02-06,0022000360,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-06,0022000361,DET,Saddiq Bey,1544,,7,1,7,1,3,4,4,0,2,2,0,2,0,2,0
2020-21,2021-02-07,0022000365,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-08,0022000369,MEM,Desmond Bane,1566,,13,5,11,3,7,0,0,1,2,3,3,0,0,3,2
2020-21,2021-02-08,0022000370,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-08,0022000371,SAS,Devin Vassell,1253,,10,4,4,2,2,0,0,0,2,2,0,1,0,1,2
2020-21,2021-02-09,0022000375,DET,Saddiq Bey,1276,,15,6,6,3,3,0,0,1,2,3,2,0,0,0,2
2020-21,2021-02-09,0022000378,SAS,Devin Vassell,1457,,6,2,7,1,3,1,2,1,5,6,0,0,1,1,1
2020-21,2021-02-09,0022000379,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-10,0022000384,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-10,0022000386,MEM,Desmond Bane,1553,,18,6,11,4,8,2,2,1,0,1,2,2,0,2,0
2020-21,2021-02-11,0022000391,DET,Saddiq Bey,1053,,10,3,6,2,5,2,4,0,3,3,0,0,0,0,0
2020-21,2021-02-11,0022000398,BOS,Aaron Nesmith,125,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-21,2021-02-12,0022000397,SAS,Devin Vassell,736,,3,1,5,1,3,0,0,1,0,1,2,0,1,0,0
2020-21,2021-02-12,0022000399,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-12,0022000403,MEM,Desmond Bane,0,DNP - Personal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-12,0022000412,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-12,0022000412,DET,Saddiq Bey,1638,,30,10,12,7,7,3,3,2,10,12,0,0,0,0,2
2020-21,2021-02-14,0022000411,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-14,0022000414,SAS,Devin Vassell,420,,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1
2020-21,2021-02-14,0022000560,BOS,Aaron Nesmith,1719,,5,1,4,1,4,2,3,0,5,5,0,0,0,1,3
2020-21,2021-02-14,0022000561,DET,Saddiq Bey,2297,,16,6,11,4,8,0,0,0,4,4,6,3,0,2,3
2020-21,2021-02-16,0022000427,BOS,Aaron Nesmith,1450,,9,2,4,2,4,3,4,1,3,4,0,0,1,0,2
2020-21,2021-02-17,0022000438,BOS,Aaron Nesmith,1264,,2,1,2,0,1,0,0,3,3,6,2,0,1,1,3
2020-21,2021-02-17,0022000564,DET,Saddiq Bey,1909,,12,3,7,1,5,5,5,1,6,7,3,1,0,1,1
2020-21,2021-02-19,0022000451,BOS,Aaron Nesmith,1176,,3,1,4,1,3,0,0,0,4,4,0,0,0,0,2
2020-21,2021-02-19,0022000452,MEM,Desmond Bane,1519,,10,4,8,1,3,1,1,0,5,5,1,2,0,1,0
2020-21,2021-02-19,0022000452,DET,Saddiq Bey,1931,,14,5,12,4,9,0,0,0,3,3,1,0,0,1,4
2020-21,2021-02-20,0022000462,MEM,Desmond Bane,1435,,4,2,8,0,4,0,0,0,2,2,1,0,0,1,0
2020-21,2021-02-21,0022000465,BOS,Aaron Nesmith,1595,,10,3,4,1,2,3,3,1,3,4,0,2,0,0,5
2020-21,2021-02-21,0022000467,DET,Saddiq Bey,1772,,11,3,10,3,10,2,2,1,7,8,1,1,0,1,2
2020-21,2021-02-22,0022000476,MEM,Desmond Bane,1390,,12,4,9,2,4,2,2,1,1,2,0,0,0,1,3
2020-21,2021-02-23,0022000481,DET,Saddiq Bey,1952,,10,4,10,2,7,0,0,2,6,8,3,3,0,0,0
2020-21,2021-02-23,0022000485,BOS,Aaron Nesmith,1332,,0,0,0,0,0,0,0,1,2,3,0,0,1,1,3
2020-21,2021-02-24,0022000490,BOS,Aaron Nesmith,856,,13,5,7,3,4,0,2,1,2,3,0,1,0,1,2
2020-21,2021-02-24,0022000494,DET,Saddiq Bey,1866,,13,4,8,3,6,2,2,0,2,2,1,1,0,1,4
2020-21,2021-02-25,0022000501,MEM,Desmond Bane,1184,,4,2,5,0,1,0,0,0,2,2,0,0,0,1,3
2020-21,2021-02-26,0022000504,DET,Saddiq Bey,1927,,17,6,10,5,9,0,0,3,3,6,2,1,0,0,2
2020-21,2021-02-26,0022000505,BOS,Aaron Nesmith,426,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2020-21,2021-02-26,0022000509,MEM,Desmond Bane,1332,,4,2,5,0,1,0,0,0,1,1,2,0,0,0,4
2020-21,2021-02-28,0022000521,DET,Saddiq Bey,1918,,10,3,11,2,8,2,2,0,4,4,0,0,0,0,3
2020-21,2021-02-28,0022000524,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-02-28,0022000525,MEM,Desmond Bane,1673,,15,6,7,1,2,2,2,2,5,7,1,3,1,2,4
2020-21,2021-03-02,0022000536,MEM,Desmond Bane,1292,,10,4,7,1,3,1,1,0,2,2,1,1,0,0,2
2020-21,2021-03-02,0022000537,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-03,0022000539,DET,Saddiq Bey,1459,,7,3,9,1,5,0,0,0,4,4,2,0,0,0,2
2020-21,2021-03-04,0022000552,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-04,0022000555,MEM,Desmond Bane,1122,,4,1,5,1,3,1,1,0,6,6,0,1,0,0,1
2020-21,2021-03-04,0022000565,DET,Saddiq Bey,2134,,14,4,12,2,8,4,4,1,2,3,4,1,0,1,2
2020-21,2021-03-10,0022000566,MEM,Desmond Bane,1845,,20,7,13,5,8,1,1,0,4,4,1,1,0,2,2
2020-21,2021-03-10,0022000567,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-11,0022000568,DET,Saddiq Bey,1690,,14,4,11,4,9,2,2,0,3,3,0,0,0,0,0
2020-21,2021-03-11,0022000569,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-11,0022000575,DAL,Josh Green,139,,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1
2020-21,2021-03-12,0022000580,MEM,Desmond Bane,1024,,10,3,5,2,4,2,2,1,3,4,0,0,0,2,3
2020-21,2021-03-12,0022000583,SAS,Devin Vassell,1075,,8,3,6,2,4,0,0,0,3,3,2,0,0,0,4
2020-21,2021-03-13,0022000587,DET,Saddiq Bey,1719,,13,4,13,2,9,3,4,1,4,5,2,0,2,0,0
2020-21,2021-03-13,0022000592,DAL,Josh Green,144,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-14,0022000593,MEM,Desmond Bane,1376,,7,3,6,1,4,0,0,0,1,1,0,1,0,0,3
2020-21,2021-03-14,0022000595,SAS,Devin Vassell,707,,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
2020-21,2021-03-14,0022000598,BOS,Aaron Nesmith,548,,3,1,3,1,2,0,0,0,0,0,1,1,0,0,0
2020-21,2021-03-15,0022000428,SAS,Devin Vassell,1279,,13,5,7,3,4,0,0,0,3,3,3,0,0,1,5
2020-21,2021-03-15,0022000428,DET,Saddiq Bey,1584,,7,3,6,1,2,0,0,1,1,2,0,1,0,1,1
2020-21,2021-03-15,0022000605,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-15,0022000607,MEM,Desmond Bane,1324,,0,0,3,0,3,0,0,0,1,1,1,0,0,0,1
2020-21,2021-03-16,0022000609,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-17,0022000616,DET,Saddiq Bey,2319,,28,8,14,6,10,6,6,2,10,12,2,2,0,0,4
2020-21,2021-03-17,0022000620,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-17,0022000621,SAS,Devin Vassell,1238,,4,1,3,1,3,1,2,0,6,6,2,1,0,0,1
2020-21,2021-03-17,0022000623,MEM,Desmond Bane,1063,,8,3,5,2,3,0,0,0,5,5,2,0,0,0,1
2020-21,2021-03-17,0022000625,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-19,0022000435,SAS,Devin Vassell,705,,0,0,1,0,1,0,0,0,2,2,0,1,0,2,0
2020-21,2021-03-19,0022000631,BOS,Aaron Nesmith,836,,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1
2020-21,2021-03-19,0022000635,DET,Saddiq Bey,1925,,20,6,15,2,9,6,6,1,5,6,2,2,0,1,2
2020-21,2021-03-19,0022000636,MEM,Desmond Bane,957,,8,3,6,2,5,0,0,0,3,3,3,1,0,2,2
2020-21,2021-03-19,0022000639,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-20,0022000642,MEM,Desmond Bane,1431,,15,6,10,2,3,1,2,1,1,2,2,2,0,1,3
2020-21,2021-03-20,0022000643,SAS,Devin Vassell,1444,,7,3,6,1,3,0,0,0,2,2,0,0,0,0,3
2020-21,2021-03-21,0022000167,BOS,Aaron Nesmith,923,,3,1,4,1,3,0,0,2,2,4,0,1,0,0,4
2020-21,2021-03-21,0022000649,DET,Saddiq Bey,2149,,3,1,9,1,6,0,0,0,4,4,2,0,0,3,3
2020-21,2021-03-21,0022000652,DAL,Josh Green,576,,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0
2020-21,2021-03-22,0022000655,SAS,Devin Vassell,608,,2,0,2,0,1,2,2,0,4,4,1,0,0,0,1
2020-21,2021-03-22,0022000658,BOS,Aaron Nesmith,1042,,5,1,2,1,1,2,2,0,5,5,0,0,0,1,0
2020-21,2021-03-22,0022000658,MEM,Desmond Bane,1101,,13,5,7,3,4,0,0,0,3,3,0,0,0,1,2
2020-21,2021-03-24,0022000667,DET,Saddiq Bey,1851,,16,6,12,4,10,0,0,0,3,3,3,0,1,1,2
2020-21,2021-03-24,0022000669,BOS,Aaron Nesmith,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-24,0022000673,DAL,Josh Green,136,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-21,2021-03-24,0022000674,MEM,Desmond Bane,1466,,3,1,6,1,3,0,0,1,2,3,2,0,1,0,0
2020-21,2021-03-24,0022000675,SAS,Devin Vassell,1291,,8,2,4,1,1,3,3,0,2,2,1,0,1,0,3
2020-21,2021-03-25,0022000680,SAS,Devin Vassell,1263,,7,2,4,1,2,2,2,0,4,4,0,0,0,0,0
2020-21,2021-03-26,0022000683,DET,Saddiq Bey,1964,,14,5,9,4,6,0,1,1,4,5,2,1,1,1,3
2020-21,2021-03-26,0022000685,BOS,Aaron Nesmith,834,,0,0,4,0,3,0,0,0,1,1,0,0,0,0,0
2020-21,2021-03-26,0022000690,DAL,Josh Green,512,,7,3,5,0,1,1,2,1,0,1,0,0,0,1,0
2020-21,2021-03-26,0022000691,MEM,Desmond Bane,907,,3,1,4,1,3,0,0,0,2,2,0,0,0,0,0
2020-21,2021-03-27,0022000694,DET,Saddiq Bey,1905,,9,3,12,1,7,2,2,0,6,6,2,0,0,2,2
2020-21,2021-03-27,0022000697,SAS,Devin Vassell,389,,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-21,2021-03-27,0022000698,DAL,Josh Green,0,DNP - Coach's Decision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,2021-03-27,0022000699,BOS,Aaron Nesmith,976,,2,1,3,0,2,0,0,0,2,2,2,2,1,2,0
2020-21,2021-03-27,0022000700,MEM,Desmond Bane,1207,,7,3,8,1,2,0,1,0,4,4,1,0,0,2,0
2020-21,2021-03-29,0022000708,BOS,Aaron Nesmith,489,,5,2,4,1,2,0,0,1,1,2,0,0,0,1,0
2020-21,2021-03-29,0022000711,DET,Saddiq Bey,2004,,19,6,10,5,7,2,2,0,3,3,4,0,0,0,1
2020-21,2021-03-29,0022000712,MEM,Desmond Bane,1658,,17,7,10,3,5,0,0,0,4,4,3,1,1,1,4
2020-21,2021-03-29,0022000713,DAL,Josh Green,960,,4,2,4,0,2,0,0,1,1,2,1,1,1,1,0
2020-21,2021-03-29,0022000714,SAS,Devin Vassell,921,,3,1,4,1,3,0,0,0,3,3,0,1,0,0,1
2020-21,2021-03-31,0022000721,DET,Saddiq Bey,1510,,0,0,8,0,7,0,0,0,4,4,2,1,0,3,6
2020-21,2021-03-31,0022000723,BOS,Aaron Nesmith,239,,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
2020-21,2021-03-31,0022000723,DAL,Josh Green,161,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2020-21,2021-03-31,0022000725,MEM,Desmond Bane,1971,,7,3,10,0,1,1,1,1,4,5,5,1,0,0,4
