id,date,home,away,winner,margin,contact_status,direct_reasons,dependency_reasons,impact_status,selected,changes_CHI_rank_in_one_flip_screen,review_priority
2020-12-25_LAL_DAL,2020-12-25,LAL,DAL,LAL,23,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-25_DEN_LAC,2020-12-25,DEN,LAC,LAC,13,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_MEM_ATL,2020-12-26,MEM,ATL,ATL,10,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_DET_CLE,2020-12-26,DET,CLE,CLE,9,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_WAS_ORL,2020-12-26,WAS,ORL,ORL,10,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_CHA_OKC,2020-12-26,CHA,OKC,OKC,2,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P1_BOUNDARY
2020-12-26_NYK_PHI,2020-12-26,NYK,PHI,PHI,20,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_SAS_TOR,2020-12-26,SAS,TOR,SAS,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_UTA_MIN,2020-12-26,UTA,MIN,MIN,5,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_SAC_PHX,2020-12-26,SAC,PHX,SAC,3,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-26_POR_HOU,2020-12-26,POR,HOU,POR,2,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_LAC_DAL,2020-12-27,LAC,DAL,DAL,51,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_WAS_ORL,2020-12-27,WAS,ORL,ORL,7,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_CHA_BKN,2020-12-27,CHA,BKN,CHA,2,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P1_BOUNDARY
2020-12-27_NOP_SAS,2020-12-27,NOP,SAS,NOP,3,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_NYK_MIL,2020-12-27,NYK,MIL,NYK,20,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_CLE_PHI,2020-12-27,CLE,PHI,CLE,24,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_IND_BOS,2020-12-27,IND,BOS,IND,1,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,True,P1_BOUNDARY
2020-12-27_SAC_PHX,2020-12-27,SAC,PHX,PHX,16,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-27_LAL_MIN,2020-12-27,LAL,MIN,LAL,36,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-28_BKN_MEM,2020-12-28,BKN,MEM,MEM,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-28_ATL_DET,2020-12-28,ATL,DET,ATL,8,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-28_OKC_UTA,2020-12-28,OKC,UTA,UTA,1,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-28_DEN_HOU,2020-12-28,DEN,HOU,DEN,13,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-28_LAL_POR,2020-12-28,LAL,POR,POR,8,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_IND_BOS,2020-12-29,IND,BOS,BOS,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_DET_GSW,2020-12-29,DET,GSW,GSW,10,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_PHI_TOR,2020-12-29,PHI,TOR,PHI,7,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_CLE_NYK,2020-12-29,CLE,NYK,NYK,9,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_MIA_MIL,2020-12-29,MIA,MIL,MIL,47,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_OKC_ORL,2020-12-29,OKC,ORL,ORL,11,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_PHX_NOP,2020-12-29,PHX,NOP,PHX,25,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_SAC_DEN,2020-12-29,SAC,DEN,SAC,10,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-29_LAC_MIN,2020-12-29,LAC,MIN,LAC,23,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-30_BKN_ATL,2020-12-30,BKN,ATL,BKN,4,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-30_MIA_MIL,2020-12-30,MIA,MIL,MIA,11,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-30_BOS_MEM,2020-12-30,BOS,MEM,BOS,19,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-30_SAS_LAL,2020-12-30,SAS,LAL,LAL,14,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-30_DAL_CHA,2020-12-30,DAL,CHA,CHA,19,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry|CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2020-12-30_LAC_POR,2020-12-30,LAC,POR,LAC,23,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-31_IND_CLE,2020-12-31,IND,CLE,IND,20,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,True,P2_BOUNDARY
2020-12-31_ORL_PHI,2020-12-31,ORL,PHI,PHI,24,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-31_HOU_SAC,2020-12-31,HOU,SAC,HOU,3,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-31_TOR_NYK,2020-12-31,TOR,NYK,TOR,17,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-31_OKC_NOP,2020-12-31,OKC,NOP,NOP,33,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2020-12-31_UTA_PHX,2020-12-31,UTA,PHX,PHX,11,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_CHA_MEM,2021-01-01,CHA,MEM,MEM,15,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-01_DAL_MIA,2021-01-01,DAL,MIA,DAL,10,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_DET_BOS,2021-01-01,DET,BOS,DET,3,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_BKN_ATL,2021-01-01,BKN,ATL,ATL,18,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_SAS_LAL,2021-01-01,SAS,LAL,LAL,6,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_MIN_WAS,2021-01-01,MIN,WAS,WAS,21,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards|WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-01_DEN_PHX,2021-01-01,DEN,PHX,PHX,3,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_UTA_LAC,2021-01-01,UTA,LAC,UTA,6,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-01_GSW_POR,2021-01-01,GSW,POR,POR,25,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-02_HOU_SAC,2021-01-02,HOU,SAC,HOU,8,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-02_IND_NYK,2021-01-02,IND,NYK,NYK,4,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-02_ORL_OKC,2021-01-02,ORL,OKC,OKC,9,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-02_PHI_CHA,2021-01-02,PHI,CHA,PHI,15,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-02_ATL_CLE,2021-01-02,ATL,CLE,CLE,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-02_NOP_TOR,2021-01-02,NOP,TOR,NOP,4,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-03_DET_BOS,2021-01-03,DET,BOS,BOS,2,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-03_BKN_WAS,2021-01-03,BKN,WAS,WAS,1,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,True,P1_BOUNDARY
2021-01-03_MEM_LAL,2021-01-03,MEM,LAL,LAL,14,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-03_MIN_DEN,2021-01-03,MIN,DEN,DEN,15,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards|DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-03_SAS_UTA,2021-01-03,SAS,UTA,UTA,21,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-03_PHX_LAC,2021-01-03,PHX,LAC,LAC,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-03_GSW_POR,2021-01-03,GSW,POR,GSW,15,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_PHI_CHA,2021-01-04,PHI,CHA,PHI,17,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-04_ORL_CLE,2021-01-04,ORL,CLE,ORL,20,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_MIA_OKC,2021-01-04,MIA,OKC,MIA,28,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_ATL_NYK,2021-01-04,ATL,NYK,NYK,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_TOR_BOS,2021-01-04,TOR,BOS,BOS,12,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_HOU_DAL,2021-01-04,HOU,DAL,DAL,13,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_MIL_DET,2021-01-04,MIL,DET,MIL,10,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-04_NOP_IND,2021-01-04,NOP,IND,IND,2,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,True,P1_BOUNDARY
2021-01-04_GSW_SAC,2021-01-04,GSW,SAC,GSW,31,TRANSACTION_DEPENDENCY,,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-05_BKN_UTA,2021-01-05,BKN,UTA,BKN,34,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-05_MEM_LAL,2021-01-05,MEM,LAL,LAL,2,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-05_DEN_MIN,2021-01-05,DEN,MIN,DEN,7,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional|MIN: 2020 rival replaces Edwards,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-05_LAC_SAS,2021-01-05,LAC,SAS,SAS,3,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_IND_HOU,2021-01-06,IND,HOU,IND,7,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-06_ORL_CLE,2021-01-06,ORL,CLE,ORL,11,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_PHI_WAS,2021-01-06,PHI,WAS,PHI,5,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_MIA_BOS,2021-01-06,MIA,BOS,BOS,2,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_ATL_CHA,2021-01-06,ATL,CHA,CHA,8,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-06_NYK_UTA,2021-01-06,NYK,UTA,NYK,12,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_MIL_DET,2021-01-06,MIL,DET,MIL,15,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_NOP_OKC,2021-01-06,NOP,OKC,OKC,1,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_PHX_TOR,2021-01-06,PHX,TOR,PHX,8,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-06_GSW_LAC,2021-01-06,GSW,LAC,LAC,7,TRANSACTION_DEPENDENCY,,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-07_BKN_PHI,2021-01-07,BKN,PHI,BKN,13,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-07_MEM_CLE,2021-01-07,MEM,CLE,CLE,4,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-07_DEN_DAL,2021-01-07,DEN,DAL,DAL,7,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional|DAL: 2020 Hampton replaces Terry,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-07_LAL_SAS,2021-01-07,LAL,SAS,SAS,9,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-07_POR_MIN,2021-01-07,POR,MIN,POR,18,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path|MIN: 2020 rival replaces Edwards,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_DET_PHX,2021-01-08,DET,PHX,DET,5,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_BOS_WAS,2021-01-08,BOS,WAS,BOS,9,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_NYK_OKC,2021-01-08,NYK,OKC,OKC,12,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_NOP_CHA,2021-01-08,NOP,CHA,CHA,8,DIRECT_ROSTER_CONTACT,NOP: 2020 Hayes replaces Kira|CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-08_MEM_BKN,2021-01-08,MEM,BKN,MEM,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_MIL_UTA,2021-01-08,MIL,UTA,UTA,13,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_HOU_ORL,2021-01-08,HOU,ORL,HOU,42,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_GSW_LAC,2021-01-08,GSW,LAC,GSW,10,TRANSACTION_DEPENDENCY,,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-08_SAC_TOR,2021-01-08,SAC,TOR,TOR,21,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_PHI_DEN,2021-01-09,PHI,DEN,DEN,12,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_CHA_ATL,2021-01-09,CHA,ATL,CHA,8,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-09_WAS_MIA,2021-01-09,WAS,MIA,MIA,4,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_IND_PHX,2021-01-09,IND,PHX,PHX,8,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_MIL_CLE,2021-01-09,MIL,CLE,MIL,10,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_MIN_SAS,2021-01-09,MIN,SAS,SAS,3,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_DAL_ORL,2021-01-09,DAL,ORL,DAL,14,DIRECT_ROSTER_CONTACT,DAL: 2020 Hampton replaces Terry,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-09_SAC_POR,2021-01-09,SAC,POR,POR,26,DIRECT_ROSTER_CONTACT,POR: Trent absent; Powell absent and Hood retained in working path,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-10_DET_UTA,2021-01-10,DET,UTA,UTA,10,DIRECT_ROSTER_CONTACT,DET: 2020 Patrick/Kira replace Hayes/Bey,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-10_BKN_OKC,2021-01-10,BKN,OKC,OKC,13,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-10_NYK_DEN,2021-01-10,NYK,DEN,DEN,25,DIRECT_ROSTER_CONTACT,DEN: 2020 Bey/Nnaji replace Nnaji/Hampton; Gordon package conditional,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-10_HOU_LAL,2021-01-10,HOU,LAL,LAL,18,TRANSACTION_DEPENDENCY,,LAL: AD upstream asset chain retained conditionally,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-10_MIN_SAS,2021-01-10,MIN,SAS,MIN,8,DIRECT_ROSTER_CONTACT,MIN: 2020 rival replaces Edwards,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-10_GSW_TOR,2021-01-10,GSW,TOR,GSW,1,TRANSACTION_DEPENDENCY,,GSW: Wiggins core/Hutchison supplemental asset unresolved,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-11_WAS_PHX,2021-01-11,WAS,PHX,WAS,21,DIRECT_ROSTER_CONTACT,WAS: Trent replaces Bonga; Brown retained after deadline,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-11_CLE_MEM,2021-01-11,CLE,MEM,MEM,10,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-11_CHA_NYK,2021-01-11,CHA,NYK,CHA,21,DIRECT_ROSTER_CONTACT,CHA: 2020 Edwards/Terry/center cascade,,NOT_CALCULATED,False,True,P2_BOUNDARY
2021-01-11_ORL_MIL,2021-01-11,ORL,MIL,MIL,22,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-11_ATL_PHI,2021-01-11,ATL,PHI,ATL,18,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
2021-01-11_SAC_IND,2021-01-11,SAC,IND,SAC,5,NO_DIRECT_DELTA_IDENTIFIED,,,NOT_CALCULATED,False,False,P3_REMAINDER
