event_id,game_id,date,matchup,actual_wl,protagonist_seconds,protagonist_minutes,protagonist_start,start_source,actual_team_seconds,alternate_team_seconds,real_player_debit_seconds,real_player_credit_seconds,bridge_note
CHI_2019_20_G054,0021900788,2020-02-09,CHI @ PHI,L,1860,31:00,1,Chandler Hutchison,14400,14400,2111,251,donor_only
CHI_2019_20_G055,0021900803,2020-02-11,CHI @ WAS,L,1800,30:00,1,Chandler Hutchison,14400,14400,2193,393,donor_only
CHI_2019_20_G056,0021900823,2020-02-20,CHI vs. CHA,L,1200,20:00,0,,14400,14400,1200,0,donor_only
CHI_2019_20_G057,0021900839,2020-02-22,CHI vs. PHX,L,1200,20:00,0,,14400,14400,1620,420,donor_only
CHI_2019_20_G058,0021900845,2020-02-23,CHI vs. WAS,W,1200,20:00,0,,14401,14401,1466,266,donor_only
CHI_2019_20_G059,0021900859,2020-02-25,CHI vs. OKC,L,1200,20:00,0,,14400,14400,1399,199,donor_only
CHI_2019_20_G060,0021900887,2020-02-29,CHI @ NYK,L,1620,27:00,1,Shaquille Harrison,14400,14400,1738,118,donor_only
CHI_2019_20_G061,0021900907,2020-03-02,CHI vs. DAL,W,1620,27:00,1,Shaquille Harrison,14400,14400,1620,0,donor_only
CHI_2019_20_G062,0021900922,2020-03-04,CHI @ MIN,L,1620,27:00,1,Shaquille Harrison,14400,14400,1620,0,donor_only
CHI_2019_20_G063,0021900934,2020-03-06,CHI vs. IND,L,1620,27:00,1,Shaquille Harrison,14400,14400,1680,60,protected_net_zero_shift
CHI_2019_20_G064,0021900946,2020-03-08,CHI @ BKN,L,1200,20:00,0,,14400,14400,1200,0,donor_only
CHI_2019_20_G065,0021900962,2020-03-10,CHI vs. CLE,W,1260,21:00,0,,14401,14401,1260,0,donor_only
