event_id,date,team,policy_id,contact,conditional_newcomers,removed_players,execution_conditions,phase,minute_allocation_status,incumbent_rule,observation_rows,observed_seconds,positive_minute_players,coach_dnp_players,injury_protocol_dnp_players,conditional_newcomers_without_row,observed_source_game_id
2020-12-25_BOS_BKN,2020-12-25,BOS,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,13,,,,0022000007
2020-12-25_BOS_BKN,2020-12-25,BKN,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,15,,,,0022000007
2020-12-25_DEN_LAC,2020-12-25,DEN,DEN_BEY_NNAJI,DIRECT_ROSTER_CONTACT,Saddiq Bey,R.J. Hampton,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,12,R.J. Hampton;Vlatko Cancar;Zeke Nnaji,,Saddiq Bey,0022000009
2020-12-25_DEN_LAC,2020-12-25,LAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,14,,,,0022000009
2020-12-25_LAL_DAL,2020-12-25,LAL,LAL_AD_CORE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,14,,,,0022000008
2020-12-25_LAL_DAL,2020-12-25,DAL,DAL_HAMPTON,DIRECT_ROSTER_CONTACT,R.J. Hampton,Tyrell Terry,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,14,,,R.J. Hampton,0022000008
2020-12-25_MIA_NOP,2020-12-25,MIA,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14401,12,Kelly Olynyk;Kendrick Nunn;Udonis Haslem,,,0022000005
2020-12-25_MIA_NOP,2020-12-25,NOP,NOP_HAYES,DIRECT_ROSTER_CONTACT,Killian Hayes,Kira Lewis Jr.,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,9,Kira Lewis Jr.;Naji Marshall;Nickeil Alexander-Walker;Sindarius Thornwell;Willy Hernangomez,,Killian Hayes,0022000005
2020-12-25_MIL_GSW,2020-12-25,MIL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,14,Jaylen Adams,,,0022000006
2020-12-25_MIL_GSW,2020-12-25,GSW,GSW_WIGGINS_HUTCHISON_INACTIVE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,13,,,,0022000006
2020-12-26_DET_CLE,2020-12-26,DET,DET_PATRICK_KIRA,DIRECT_ROSTER_CONTACT,Patrick Williams;Kira Lewis Jr.,Saddiq Bey;Killian Hayes,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,17400,11,Deividas Sirvydis;Isaiah Stewart;Rodney McGruder;Wayne Ellington,,Patrick Williams;Kira Lewis Jr.,0022000023
2020-12-26_DET_CLE,2020-12-26,CLE,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,17401,9,Damyean Dotson;Dean Wade;Lamar Stevens;Marques Bolden;Thon Maker,,,0022000023
2020-12-26_MEM_ATL,2020-12-26,MEM,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,10,Sean McDermott,Xavier Tillman,,0022000021
2020-12-26_MEM_ATL,2020-12-26,ATL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,10,Rajon Rondo;Skylar Mays,Danilo Gallinari,,0022000021
2020-12-26_NYK_PHI,2020-12-26,NYK,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,11,Ignas Brazdeikis;Jared Harper,,,0022000025
2020-12-26_NYK_PHI,2020-12-26,PHI,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,11,Dakota Mathias;Isaiah Joe;Terrance Ferguson;Tony Bradley,,,0022000025
2020-12-26_SAC_PHX,2020-12-26,SAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,10,Chimezie Metu;Jabari Parker;Justin James;Kyle Guy;Robert Woodard II,,,0022000030
2020-12-26_SAC_PHX,2020-12-26,PHX,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,12,E'Twaun Moore;Ty-Shon Alexander,Dario Saric,,0022000030
2020-12-26_SAS_TOR,2020-12-26,SAS,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Drew Eubanks;Keita Bates-Diop;Luka Samanic;Tre Jones,,,0022000027
2020-12-26_SAS_TOR,2020-12-26,TOR,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,9,Alex Len;Malachi Flynn;Paul Watson;Stanley Johnson;Terence Davis;Yuta Watanabe,,,0022000027
2020-12-26_UTA_MIN,2020-12-26,UTA,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14401,10,Elijah Hughes;Miye Oni;Shaquille Harrison;Udoka Azubuike,,,0022000028
2020-12-26_UTA_MIN,2020-12-26,MIN,MIN_RIVAL,DIRECT_ROSTER_CONTACT,Fictional Rival,Anthony Edwards,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14401,11,Jaden McDaniels;Jarred Vanderbilt,,Fictional Rival,0022000028
2020-12-26_WAS_ORL,2020-12-26,WAS,WAS_TRENT,DIRECT_ROSTER_CONTACT,Gary Trent Jr.,Isaac Bonga;Chandler Hutchison,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,11,Anthony Gill;Anzejs Pasecniks;Moritz Wagner,,Gary Trent Jr.,0022000024
2020-12-26_WAS_ORL,2020-12-26,ORL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Gary Clark;Jordan Bone;Karim Mane;Mo Bamba,,,0022000024
2020-12-27_CLE_PHI,2020-12-27,CLE,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14401,13,,,,0022000035
2020-12-27_CLE_PHI,2020-12-27,PHI,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14402,14,,Joel Embiid,,0022000035
2020-12-27_LAC_DAL,2020-12-27,LAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,13,,Kawhi Leonard,,0022000031
2020-12-27_LAC_DAL,2020-12-27,DAL,DAL_HAMPTON,DIRECT_ROSTER_CONTACT,R.J. Hampton,Tyrell Terry,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,14,,,R.J. Hampton,0022000031
2020-12-27_LAL_MIN,2020-12-27,LAL,LAL_AD_CORE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,14,,,,0022000040
2020-12-27_LAL_MIN,2020-12-27,MIN,MIN_RIVAL,DIRECT_ROSTER_CONTACT,Fictional Rival,Anthony Edwards,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,13,,,Fictional Rival,0022000040
2020-12-27_NOP_SAS,2020-12-27,NOP,NOP_HAYES,DIRECT_ROSTER_CONTACT,Killian Hayes,Kira Lewis Jr.,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,8,Kira Lewis Jr.;Naji Marshall;Nickeil Alexander-Walker;Nicolo Melli;Sindarius Thornwell;Willy Hernangomez,,Killian Hayes,0022000034
2020-12-27_NOP_SAS,2020-12-27,SAS,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Drew Eubanks;Keita Bates-Diop;Luka Samanic;Tre Jones,,,0022000034
2020-12-27_NYK_MIL,2020-12-27,NYK,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,12,,,,0022000036
2020-12-27_NYK_MIL,2020-12-27,MIL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14399,14,,,,0022000036
2020-12-27_SAC_PHX,2020-12-27,SAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14401,14,Jabari Parker,,,0022000039
2020-12-27_SAC_PHX,2020-12-27,PHX,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,12,E'Twaun Moore,Dario Saric;Jalen Smith,,0022000039
2020-12-27_WAS_ORL,2020-12-27,WAS,WAS_TRENT,DIRECT_ROSTER_CONTACT,Gary Trent Jr.,Isaac Bonga;Chandler Hutchison,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,10,Anthony Gill;Anzejs Pasecniks;Moritz Wagner,,Gary Trent Jr.,0022000033
2020-12-27_WAS_ORL,2020-12-27,ORL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,11,Jordan Bone;Karim Mane;Mo Bamba,,,0022000033
2020-12-28_ATL_DET,2020-12-28,ATL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Brandon Goodwin;Nathan Knight;Skylar Mays,Danilo Gallinari,,0022000041
2020-12-28_ATL_DET,2020-12-28,DET,DET_PATRICK_KIRA,DIRECT_ROSTER_CONTACT,Patrick Williams;Kira Lewis Jr.,Saddiq Bey;Killian Hayes,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Deividas Sirvydis;Rodney McGruder;Saben Lee,Jahlil Okafor,Patrick Williams;Kira Lewis Jr.,0022000041
2020-12-28_BKN_MEM,2020-12-28,BKN,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,15900,9,Bruce Brown;Reggie Perry;Rodions Kurucs;Tyler Johnson,,,0022000042
2020-12-28_BKN_MEM,2020-12-28,MEM,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,15900,10,Sean McDermott,Xavier Tillman,,0022000042
2020-12-28_DEN_HOU,2020-12-28,DEN,DEN_BEY_NNAJI,DIRECT_ROSTER_CONTACT,Saddiq Bey,R.J. Hampton,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,14,Markus Howard,,Saddiq Bey,0022000044
2020-12-28_DEN_HOU,2020-12-28,HOU,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,9,,,,0022000044
2020-12-28_LAL_POR,2020-12-28,LAL,LAL_AD_CORE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,10,Alfonzo McKinnie;Jared Dudley;Quinn Cook,,,0022000045
2020-12-28_LAL_POR,2020-12-28,POR,POR_NO_TRENT,DIRECT_ROSTER_CONTACT,,Gary Trent Jr.;Norman Powell,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,9,CJ Elleby;Harry Giles III;Keljin Blevins,,,0022000045
2020-12-28_OKC_UTA,2020-12-28,OKC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,10,Darius Miller;Isaiah Roby;Josh Hall;Justin Jackson;Moses Brown,,,0022000043
2020-12-28_OKC_UTA,2020-12-28,UTA,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Elijah Hughes;Juwan Morgan;Shaquille Harrison;Udoka Azubuike,,,0022000043
2020-12-29_CLE_NYK,2020-12-29,CLE,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,9,Lamar Stevens;Marques Bolden;Thon Maker,,,0022000046
2020-12-29_CLE_NYK,2020-12-29,NYK,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14401,8,Ignas Brazdeikis;Jared Harper;Theo Pinson,Alec Burks,,0022000046
2020-12-29_DET_GSW,2020-12-29,DET,DET_PATRICK_KIRA,DIRECT_ROSTER_CONTACT,Patrick Williams;Kira Lewis Jr.,Saddiq Bey;Killian Hayes,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,11,Deividas Sirvydis;Rodney McGruder;Wayne Ellington,Jahlil Okafor,Patrick Williams;Kira Lewis Jr.,0022000047
2020-12-29_DET_GSW,2020-12-29,GSW,GSW_WIGGINS_HUTCHISON_INACTIVE,TRANSACTION_DEPENDENCY,,,EX06;EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,11,Kent Bazemore,,,0022000047
2020-12-29_IND_BOS,2020-12-29,IND,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,9,Cassius Stanley;Edmond Sumner;JaKarr Sampson;Jalen Lecque;Kelan Martin,,,0022000048
2020-12-29_IND_BOS,2020-12-29,BOS,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,10,Aaron Nesmith;Carsen Edwards;Semi Ojeleye;Tremont Waters,,,0022000048
2020-12-29_LAC_MIN,2020-12-29,LAC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,14,14400,12,Patrick Patterson,Kawhi Leonard,,0022000054
2020-12-29_LAC_MIN,2020-12-29,MIN,MIN_RIVAL,DIRECT_ROSTER_CONTACT,Fictional Rival,Anthony Edwards,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,12,14400,12,,,Fictional Rival,0022000054
2020-12-29_MIA_MIL,2020-12-29,MIA,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,15,14400,13,Udonis Haslem,,,0022000051
2020-12-29_MIA_MIL,2020-12-29,MIL,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14399,13,,,,0022000051
2020-12-29_OKC_ORL,2020-12-29,OKC,INCUMBENT_CONDITIONAL,NO_DIRECT_DELTA_IDENTIFIED,,,EX07,PREDEADLINE,NOT_CALCULATED,observed date availability and incumbent transactions conditional; no new injury/event selected,13,14400,11,Darius Miller;Moses Brown,,,0022000052
