date,home,away,home_score,away_score
2021-01-06,PHX,TOR,123,115
2021-01-06,GSW,LAC,101,108
2021-01-06,SAC,CHI,128,124
2021-01-07,BKN,PHI,122,109
2021-01-07,MEM,CLE,90,94
2021-01-07,DEN,DAL,117,124
2021-01-07,LAL,SAS,109,118
2021-01-07,POR,MIN,135,117
2021-01-08,DET,PHX,110,105
2021-01-08,BOS,WAS,116,107
2021-01-08,NYK,OKC,89,101
2021-01-08,NOP,CHA,110,118
2021-01-08,MEM,BKN,115,110
2021-01-08,MIL,UTA,118,131
2021-01-08,HOU,ORL,132,90
2021-01-08,GSW,LAC,115,105
2021-01-08,SAC,TOR,123,144
2021-01-08,LAL,CHI,117,115
2021-01-09,PHI,DEN,103,115
2021-01-09,CHA,ATL,113,105
2021-01-09,WAS,MIA,124,128
2021-01-09,IND,PHX,117,125
2021-01-09,MIL,CLE,100,90
2021-01-09,MIN,SAS,122,125
2021-01-09,DAL,ORL,112,98
2021-01-09,SAC,POR,99,125
2021-01-10,DET,UTA,86,96
2021-01-10,LAC,CHI,130,127
2021-01-10,BKN,OKC,116,129
2021-01-10,NYK,DEN,89,114
2021-01-10,HOU,LAL,102,120
2021-01-10,MIN,SAS,96,88
2021-01-10,GSW,TOR,106,105
2021-01-11,WAS,PHX,128,107
2021-01-11,CLE,MEM,91,101
2021-01-11,CHA,NYK,109,88
2021-01-11,ORL,MIL,99,121
2021-01-11,ATL,PHI,112,94
2021-01-11,SAC,IND,127,122
2021-01-11,POR,TOR,112,111
2021-01-12,PHI,MIA,137,134
2021-01-12,CLE,UTA,87,117
2021-01-12,BKN,DEN,122,116
2021-01-12,HOU,LAL,100,117
2021-01-12,OKC,SAS,102,112
2021-01-12,GSW,IND,95,104
2021-01-13,CHA,DAL,93,104
2021-01-13,DET,MIL,101,110
2021-01-13,NYK,BKN,109,116
2021-01-13,MIN,MEM,107,118
2021-01-13,OKC,LAL,99,128
2021-01-13,SAC,POR,126,132
2021-01-13,LAC,NOP,111,106
2021-01-14,PHI,MIA,125,108
2021-01-14,TOR,CHA,111,108
2021-01-14,SAS,HOU,105,109
2021-01-14,DEN,GSW,114,104
2021-01-14,POR,IND,87,111
2021-01-15,CLE,NYK,106,103
2021-01-15,BOS,ORL,124,97
2021-01-15,MIL,DAL,112,109
2021-01-15,OKC,CHI,127,125
2021-01-15,UTA,ATL,116,92
2021-01-15,SAC,LAC,100,138
2021-01-15,LAL,NOP,112,95
2021-01-16,SAS,HOU,103,91
2021-01-16,BKN,ORL,122,115
2021-01-16,TOR,CHA,116,113
2021-01-16,MEM,PHI,106,104
2021-01-16,MIA,DET,100,120
2021-01-16,POR,ATL,112,106
2021-01-17,BOS,NYK,75,105
2021-01-17,DAL,CHI,101,117
2021-01-17,DEN,UTA,105,109
2021-01-17,SAC,NOP,123,128
2021-01-17,LAC,IND,129,96
2021-01-18,NYK,ORL,91,84
2021-01-18,ATL,MIN,108,97
2021-01-18,POR,SAS,104,125
2021-01-18,MEM,PHX,108,104
2021-01-18,BKN,MIL,125,123
2021-01-18,TOR,DAL,116,93
2021-01-18,CHI,HOU,125,120
2021-01-18,MIA,DET,113,107
2021-01-18,LAL,GSW,113,115
2021-01-19,UTA,NOP,118,102
2021-01-19,DEN,OKC,119,101
2021-01-20,CLE,BKN,147,135
2021-01-20,PHI,BOS,117,109
2021-01-20,IND,DAL,112,124
2021-01-20,TOR,MIA,102,111
2021-01-20,ATL,DET,123,115
2021-01-20,MIN,ORL,96,97
2021-01-20,HOU,PHX,103,109
2021-01-20,LAC,SAC,115,96
2021-01-20,GSW,SAS,121,99
2021-01-21,MIL,LAL,106,113
2021-01-21,GSW,NYK,104,119
2021-01-21,UTA,NOP,129,118
2021-01-22,CHA,CHI,110,123
2021-01-22,IND,ORL,120,118
2021-01-22,DET,HOU,102,103
2021-01-22,PHI,BOS,122,110
2021-01-22,TOR,MIA,101,81
2021-01-22,CLE,BKN,125,113
2021-01-22,MIN,ATL,98,116
2021-01-22,SAS,DAL,117,122
2021-01-22,SAC,NYK,103,94
2021-01-22,PHX,DEN,126,130
2021-01-22,LAC,OKC,120,106
2021-01-23,DET,PHI,110,114
2021-01-23,MIN,NOP,120,110
2021-01-23,BKN,MIA,128,124
2021-01-23,CHI,LAL,90,101
2021-01-23,PHX,DEN,112,120
2021-01-23,UTA,GSW,127,108
2021-01-23,DAL,HOU,108,133
2021-01-24,IND,TOR,102,107
2021-01-24,LAC,OKC,108,100
2021-01-24,BOS,CLE,141,103
2021-01-24,ORL,CHA,104,107
2021-01-24,SAS,WAS,121,101
2021-01-24,MIL,ATL,129,115
2021-01-24,POR,NYK,116,113
2021-01-25,ORL,CHA,117,108
2021-01-25,IND,TOR,129,114
2021-01-25,DET,PHI,119,104
2021-01-25,BKN,MIA,98,85
2021-01-25,CLE,LAL,108,115
2021-01-25,DAL,DEN,113,117
2021-01-25,CHI,BOS,103,119
2021-01-25,GSW,MIN,130,108
2021-01-25,POR,OKC,122,125
2021-01-26,ATL,LAC,108,99
2021-01-26,HOU,WAS,107,88
2021-01-26,UTA,NYK,108,94
2021-01-27,ORL,SAC,107,121
2021-01-27,CLE,DET,122,107
2021-01-27,CHA,IND,106,116
2021-01-27,ATL,BKN,128,132
2021-01-27,TOR,MIL,108,115
2021-01-27,PHI,LAL,107,106
2021-01-27,MIA,DEN,82,109
2021-01-27,SAS,BOS,110,106
2021-01-27,NOP,WAS,124,106
2021-01-27,UTA,DAL,116,104
2021-01-27,PHX,OKC,97,102
2021-01-27,GSW,MIN,123,111
2021-01-28,HOU,POR,104,101
2021-01-28,MIA,LAC,105,109
2021-01-28,DET,LAL,107,92
2021-01-28,PHX,GSW,114,93
2021-01-29,WAS,ATL,100,116
2021-01-29,CHA,IND,108,105
2021-01-29,NOP,MIL,131,126
2021-01-29,NYK,CLE,102,81
2021-01-29,TOR,SAC,124,126
2021-01-29,MIN,PHI,94,118
2021-01-29,ORL,LAC,90,116
2021-01-29,OKC,BKN,125,147
2021-01-29,SAS,DEN,119,109
2021-01-29,UTA,DAL,120,101
2021-01-30,NOP,HOU,112,126
2021-01-30,CHI,POR,122,123
2021-01-30,MIA,SAC,105,104
2021-01-30,CHA,MIL,126,114
2021-01-30,BOS,LAL,95,96
2021-01-30,SAS,MEM,112,129
2021-01-30,DAL,PHX,105,111
2021-01-30,GSW,DET,118,91
2021-01-31,NYK,LAC,115,129
2021-01-31,DEN,UTA,128,117
2021-01-31,WAS,BKN,149,146
2021-01-31,TOR,ORL,115,102
2021-01-31,IND,PHI,110,119
2021-01-31,MIN,CLE,109,104
2021-02-01,ATL,LAL,99,107
2021-02-01,MIA,CHA,121,129
2021-02-01,NOP,SAC,109,118
2021-02-01,CHI,NYK,110,102
2021-02-01,MIL,POR,134,106
2021-02-01,OKC,HOU,106,136
2021-02-01,CLE,MIN,100,98
2021-02-01,SAS,MEM,102,133
2021-02-01,DAL,PHX,108,109
2021-02-02,ORL,TOR,108,123
2021-02-02,BKN,LAC,124,120
2021-02-02,WAS,POR,121,132
2021-02-02,IND,MEM,134,116
2021-02-02,GSW,BOS,107,111
2021-02-02,UTA,DET,117,105
2021-02-03,MIL,IND,130,110
2021-02-03,CHA,PHI,111,118
2021-02-03,ATL,DAL,116,122
2021-02-03,MIA,WAS,100,103
2021-02-03,CLE,LAC,99,121
2021-02-03,CHI,NYK,103,107
2021-02-03,OKC,HOU,104,87
2021-02-03,SAS,MIN,111,108
2021-02-03,NOP,PHX,123,101
2021-02-03,SAC,BOS,116,111
2021-02-04,ATL,UTA,91,112
2021-02-04,DAL,GSW,116,147
2021-02-04,PHI,POR,105,121
2021-02-04,MEM,HOU,103,115
2021-02-04,LAL,DEN,114,93
2021-02-05,IND,NOP,113,114
2021-02-05,ORL,CHI,123,119
2021-02-05,CLE,MIL,105,123
2021-02-05,BKN,TOR,117,123
2021-02-05,CHA,UTA,121,138
2021-02-05,MIA,WAS,122,95
2021-02-05,OKC,MIN,103,106
2021-02-05,PHX,DET,109,92
2021-02-05,LAC,BOS,115,119
2021-02-06,NYK,POR,110,99
2021-02-06,SAC,DEN,119,114
2021-02-06,ORL,CHI,92,118
2021-02-06,HOU,SAS,106,111
2021-02-06,CLE,MIL,99,124
2021-02-06,ATL,TOR,132,121
2021-02-06,PHI,BKN,124,108
2021-02-06,OKC,MIN,120,118
2021-02-06,DAL,GSW,134,132
2021-02-06,NOP,MEM,118,109
2021-02-06,LAL,DET,135,129
2021-02-07,CHA,WAS,119,97
2021-02-07,NYK,MIA,103,109
2021-02-07,IND,UTA,95,103
2021-02-07,PHX,BOS,100,91
2021-02-07,LAC,SAC,110,113
2021-02-08,CHA,HOU,119,94
2021-02-08,CHI,WAS,101,105
2021-02-08,MEM,TOR,113,128
2021-02-08,SAS,GSW,105,100
2021-02-08,DAL,MIN,127,122
2021-02-08,PHX,CLE,119,113
2021-02-08,DEN,MIL,112,125
2021-02-08,LAL,OKC,119,112
2021-02-09,DET,BKN,122,111
2021-02-09,NOP,HOU,130,101
2021-02-09,MIA,NYK,98,96
2021-02-09,SAS,GSW,91,114
2021-02-09,SAC,PHI,111,119
2021-02-09,UTA,BOS,122,108
2021-02-09,POR,ORL,106,97
2021-02-10,WAS,TOR,115,137
2021-02-10,DAL,ATL,118,117
2021-02-10,MIN,LAC,112,119
2021-02-10,BKN,IND,104,94
2021-02-10,MEM,CHA,130,114
2021-02-10,CHI,NOP,129,116
2021-02-10,DEN,CLE,133,95
2021-02-10,PHX,MIL,125,124
2021-02-10,LAL,OKC,114,113
2021-02-11,HOU,MIA,94,101
2021-02-11,BOS,TOR,120,106
2021-02-11,DET,IND,95,111
2021-02-11,POR,PHI,118,114
2021-02-11,GSW,ORL,111,105
2021-02-12,CHA,MIN,120,114
2021-02-12,WAS,NYK,91,109
2021-02-12,ATL,SAS,114,125
2021-02-12,DAL,NOP,143,130
2021-02-12,CHI,LAC,106,125
2021-02-12,BOS,DET,102,108
2021-02-12,UTA,MIL,129,115
2021-02-12,DEN,OKC,97,95
2021-02-12,LAL,MEM,115,105
2021-02-12,POR,CLE,129,110
2021-02-12,SAC,ORL,112,123
2021-02-13,PHX,PHI,120,111
2021-02-13,ATL,IND,113,125
2021-02-13,NYK,HOU,121,99
2021-02-13,GSW,BKN,117,134
2021-02-13,UTA,MIA,112,94
2021-02-14,WAS,BOS,104,91
2021-02-14,CHA,SAS,110,122
2021-02-14,DET,NOP,123,112
2021-02-14,TOR,MIN,112,116
2021-02-14,DAL,POR,118,121
2021-02-14,OKC,MIL,114,109
2021-02-14,PHX,ORL,109,90
2021-02-14,DEN,LAL,122,105
2021-02-14,SAC,MEM,110,124
2021-02-14,LAC,CLE,128,111
2021-02-15,IND,CHI,112,120
2021-02-15,WAS,HOU,131,119
2021-02-15,NYK,ATL,123,112
2021-02-15,UTA,PHI,134,123
2021-02-15,GSW,CLE,129,98
2021-02-15,SAC,BKN,125,136
2021-02-15,LAC,MIA,125,118
2021-02-16,BOS,DEN,112,99
2021-02-16,MIL,TOR,113,124
2021-02-16,OKC,POR,104,115
2021-02-16,MIN,LAL,104,112
2021-02-16,MEM,NOP,113,144
2021-02-16,PHX,BKN,124,128
2021-02-17,ORL,NYK,107,89
2021-02-17,PHI,HOU,118,113
2021-02-17,BOS,ATL,114,122
2021-02-17,WAS,DEN,130,128
2021-02-17,MIN,IND,128,134
2021-02-17,CHI,DET,105,102
2021-02-17,NOP,POR,124,126
2021-02-17,MEM,OKC,122,113
2021-02-17,GSW,MIA,120,112
2021-02-17,LAC,UTA,96,114
2021-02-18,MIL,TOR,96,110
2021-02-18,LAL,BKN,98,109
2021-02-18,SAC,MIA,110,118
2021-02-19,CLE,DEN,103,120
2021-02-19,ORL,GSW,124,120
2021-02-19,PHI,CHI,112,105
2021-02-19,BOS,ATL,121,109
2021-02-19,NOP,PHX,114,132
2021-02-19,MEM,DET,109,95
2021-02-19,MIL,OKC,98,85
2021-02-19,MIN,TOR,81,86
2021-02-19,LAC,UTA,116,112
2021-02-20,CHA,GSW,102,100
2021-02-20,LAL,MIA,94,96
2021-02-20,CHI,SAC,122,114
2021-02-20,MEM,PHX,97,128
2021-02-20,POR,WAS,111,118
2021-02-21,NOP,BOS,120,115
2021-02-21,TOR,PHI,110,103
2021-02-21,NYK,MIN,103,99
2021-02-21,CLE,OKC,101,117
2021-02-21,ORL,DET,105,96
2021-02-21,ATL,DEN,123,115
2021-02-21,LAC,BKN,108,112
2021-02-21,MIL,SAC,128,115
2021-02-22,HOU,CHI,100,120
2021-02-22,DAL,MEM,102,92
2021-02-22,UTA,CHA,132,110
2021-02-22,PHX,POR,132,100
2021-02-22,OKC,MIA,94,108
2021-02-22,LAL,WAS,124,127
2021-02-23,ORL,DET,93,105
2021-02-23,CLE,ATL,112,111
2021-02-23,BKN,SAC,127,118
2021-02-23,NYK,GSW,106,114
2021-02-23,DAL,BOS,110,107
2021-02-23,TOR,PHI,102,109
2021-02-23,MIL,MIN,139,112
2021-02-23,LAC,WAS,135,116
2021-02-23,DEN,POR,111,106
2021-02-24,IND,GSW,107,111
2021-02-24,CLE,HOU,112,96
2021-02-24,ATL,BOS,127,112
2021-02-24,MIA,TOR,116,108
2021-02-24,CHI,MIN,133,126
2021-02-24,OKC,SAS,102,99
2021-02-24,NOP,DET,128,118
2021-02-24,PHX,CHA,121,124
2021-02-24,UTA,LAL,114,89
2021-02-25,PHI,DAL,111,97
2021-02-25,BKN,ORL,129,92
2021-02-25,NYK,SAC,140,121
2021-02-25,MEM,LAC,122,94
2021-02-25,DEN,WAS,110,112
2021-02-25,MIL,NOP,129,125
2021-02-26,TOR,HOU,122,111
2021-02-26,BOS,IND,118,112
2021-02-26,MEM,LAC,99,119
2021-02-26,DET,SAC,107,110
2021-02-26,CHI,PHX,97,106
2021-02-26,MIA,UTA,124,116
2021-02-26,OKC,ATL,118,109
2021-02-26,LAL,POR,102,93
2021-02-26,GSW,CHA,130,121
2021-02-27,PHI,CLE,109,112
2021-02-27,WAS,MIN,128,112
2021-02-27,OKC,DEN,96,126
2021-02-27,NYK,IND,110,107
2021-02-27,SAS,NOP,117,114
2021-02-27,ORL,UTA,109,124
2021-02-27,BKN,DAL,98,115
2021-02-28,MIL,LAC,105,100
2021-02-28,BOS,WAS,111,110
2021-02-28,HOU,MEM,84,133
2021-02-28,DET,NYK,90,109
2021-02-28,LAL,GSW,117,91
2021-02-28,MIA,ATL,109,99
2021-02-28,MIN,PHX,99,118
2021-02-28,SAC,CHA,126,127
2021-03-01,PHI,IND,130,114
2021-03-01,ORL,DAL,124,130
2021-03-01,CHI,DEN,112,118
2021-03-01,NOP,UTA,129,124
2021-03-01,SAS,BKN,113,124
2021-03-01,HOU,CLE,90,101
2021-03-01,POR,CHA,123,111
2021-03-02,WAS,MEM,111,125
2021-03-02,BOS,LAC,117,112
2021-03-02,MIA,ATL,80,94
2021-03-02,SAS,NYK,119,93
2021-03-02,MIL,DEN,97,128
2021-03-02,LAL,PHX,104,114
2021-03-03,CLE,IND,111,114
2021-03-03,TOR,DET,105,129
2021-03-03,PHI,UTA,131,123
2021-03-03,HOU,BKN,114,132
2021-03-03,ORL,ATL,112,115
2021-03-03,MIN,CHA,102,135
2021-03-03,NOP,CHI,124,128
2021-03-03,DAL,OKC,87,78
2021-03-03,POR,GSW,108,106
2021-03-03,SAC,LAL,123,120
2021-03-04,WAS,LAC,119,117
2021-03-04,BOS,TOR,132,125
2021-03-04,NYK,DET,114,104
2021-03-04,IND,DEN,103,113
2021-03-04,MEM,MIL,111,112
2021-03-04,NOP,MIA,93,103
2021-03-04,SAS,OKC,102,107
2021-03-04,PHX,GSW,120,98
2021-03-04,POR,SAC,123,119
2021-03-10,MEM,WAS,127,112
2021-03-10,DAL,SAS,115,104
2021-03-11,CHA,DET,105,102
2021-03-11,BKN,BOS,121,109
2021-03-11,TOR,ATL,120,121
2021-03-11,MIL,NYK,134,101
2021-03-11,CHI,PHI,105,127
2021-03-11,MIA,ORL,111,103
2021-03-11,NOP,MIN,105,135
2021-03-11,OKC,DAL,116,108
2021-03-11,LAC,GSW,130,104
2021-03-11,SAC,HOU,125,105
2021-03-11,POR,PHX,121,127
2021-03-12,WAS,PHI,101,127
2021-03-12,MEM,DEN,102,103
2021-03-12,NOP,CLE,116,82
2021-03-12,CHI,MIA,90,101
2021-03-12,SAS,ORL,104,77
2021-03-12,UTA,HOU,114,99
2021-03-12,LAL,IND,105,100
2021-03-13,OKC,NYK,97,119
2021-03-13,CHA,TOR,114,104
2021-03-13,BKN,DET,100,95
2021-03-13,WAS,MIL,119,125
2021-03-13,ATL,SAC,121,106
2021-03-13,MIN,POR,121,125
2021-03-13,DEN,DAL,103,116
2021-03-13,PHX,IND,111,122
2021-03-14,OKC,MEM,128,122
2021-03-14,GSW,UTA,131,119
2021-03-14,PHI,SAS,134,99
2021-03-14,ORL,MIA,97,102
2021-03-14,ATL,CLE,100,82
2021-03-14,HOU,BOS,107,134
2021-03-14,MIN,POR,114,112
2021-03-14,NOP,LAC,135,115
2021-03-14,CHI,TOR,118,95
2021-03-15,CHA,SAC,122,116
2021-03-15,WAS,MIL,122,133
2021-03-15,DET,SAS,99,109
2021-03-15,BKN,NYK,117,112
2021-03-15,DAL,LAC,99,109
2021-03-15,PHX,MEM,122,99
2021-03-15,DEN,IND,121,106
2021-03-15,GSW,LAL,97,128
2021-03-16,BOS,UTA,109,117
2021-03-16,MIA,CLE,113,98
2021-03-16,HOU,ATL,107,119
2021-03-16,PHI,NYK,99,96
2021-03-16,CHI,OKC,123,102
2021-03-16,POR,NOP,125,124
2021-03-16,LAL,MIN,137,121
2021-03-17,WAS,SAC,119,121
2021-03-17,DET,TOR,116,112
2021-03-17,IND,BKN,115,124
2021-03-17,PHI,MIL,105,109
2021-03-17,HOU,GSW,94,108
2021-03-17,CHI,SAS,99,106
2021-03-17,CLE,BOS,117,110
2021-03-17,DEN,CHA,129,104
2021-03-17,MEM,MIA,89,85
2021-03-17,DAL,LAC,105,89
2021-03-18,WAS,UTA,131,122
2021-03-18,ATL,OKC,116,93
2021-03-18,NYK,ORL,94,93
2021-03-18,POR,NOP,101,93
2021-03-18,PHX,MIN,119,123
2021-03-18,LAL,CHA,116,105
2021-03-19,BOS,SAC,96,107
2021-03-19,CLE,SAS,110,116
2021-03-19,TOR,UTA,112,115
2021-03-19,MIA,IND,110,137
2021-03-19,MEM,GSW,103,116
2021-03-19,HOU,DET,100,113
2021-03-19,ORL,BKN,121,113
2021-03-19,DEN,CHI,131,127
2021-03-19,POR,DAL,125,119
2021-03-19,PHX,MIN,113,101
2021-03-20,LAL,ATL,94,99
2021-03-20,PHI,SAC,129,105
2021-03-20,MEM,GSW,111,103
2021-03-20,MIL,SAS,120,113
2021-03-20,LAC,CHA,125,98
2021-03-21,MIA,IND,106,109
2021-03-21,HOU,OKC,112,114
2021-03-21,DEN,NOP,108,113
2021-03-21,BOS,ORL,112,96
2021-03-21,DET,CHI,86,100
2021-03-21,BKN,WAS,113,106
2021-03-21,CLE,TOR,116,105
2021-03-21,NYK,PHI,100,101
2021-03-21,POR,DAL,92,132
2021-03-21,PHX,LAL,111,94
2021-03-22,CLE,SAC,105,119
2021-03-22,MIN,OKC,103,112
2021-03-22,SAS,CHA,97,100
2021-03-22,MIL,IND,140,113
2021-03-22,MEM,BOS,132,126
2021-03-22,CHI,UTA,95,120
2021-03-22,HOU,TOR,117,99
2021-03-22,LAC,ATL,119,110
2021-03-23,ORL,DEN,99,110
2021-03-23,NYK,WAS,131,113
2021-03-23,NOP,LAL,128,111
2021-03-23,MIA,PHX,100,110
2021-03-23,POR,BKN,112,116
2021-03-23,GSW,PHI,98,108
2021-03-24,IND,DET,116,111
2021-03-24,TOR,DEN,135,111
2021-03-24,MIL,BOS,121,119
2021-03-24,ORL,PHX,112,111
2021-03-24,OKC,MEM,107,116
2021-03-24,MIN,DAL,108,128
2021-03-24,HOU,CHA,97,122
2021-03-24,CHI,CLE,94,103
2021-03-24,SAS,LAC,101,134
2021-03-24,UTA,BKN,118,88
2021-03-24,SAC,ATL,110,108
2021-03-25,MIA,POR,122,125
2021-03-25,NYK,WAS,106,102
2021-03-25,SAS,LAC,85,98
2021-03-25,LAL,PHI,101,109
2021-03-25,SAC,GSW,141,119
2021-03-26,DET,BKN,111,113
2021-03-26,MIL,BOS,114,122
2021-03-26,TOR,PHX,100,104
2021-03-26,CHA,MIA,110,105
2021-03-26,ORL,POR,105,112
2021-03-26,MIN,HOU,107,101
2021-03-26,NOP,DEN,108,113
2021-03-26,DAL,IND,94,109
2021-03-26,UTA,MEM,117,114
2021-03-26,GSW,ATL,108,124
2021-03-26,LAL,CLE,100,86
2021-03-27,MIN,HOU,107,129
2021-03-27,WAS,DET,106,92
2021-03-27,MIL,NYK,96,102
2021-03-27,SAS,CHI,120,104
2021-03-27,OKC,BOS,94,111
2021-03-27,NOP,DAL,112,103
2021-03-27,UTA,MEM,126,110
2021-03-27,SAC,CLE,100,98
2021-03-27,LAC,PHI,122,112
2021-03-28,CHA,PHX,97,101
2021-03-28,TOR,POR,117,122
2021-03-28,DEN,ATL,126,102
2021-03-28,LAL,ORL,96,93
2021-03-29,WAS,IND,132,124
2021-03-29,BKN,MIN,112,107
2021-03-29,BOS,NOP,109,115
2021-03-29,NYK,MIA,88,98
2021-03-29,HOU,MEM,110,120
2021-03-29,DET,TOR,118,104
2021-03-29,OKC,DAL,106,127
2021-03-29,SAS,SAC,115,132
2021-03-29,UTA,CLE,114,75
2021-03-29,LAC,MIL,129,105
2021-03-29,GSW,CHI,116,102
2021-03-30,WAS,CHA,104,114
2021-03-30,DEN,PHI,104,95
2021-03-30,LAC,ORL,96,103
2021-03-30,PHX,ATL,117,110
2021-03-31,IND,MIA,87,92
2021-03-31,DET,POR,101,124
2021-03-31,BOS,DAL,108,113
2021-03-31,BKN,HOU,120,108
2021-03-31,MEM,UTA,107,111
2021-03-31,MIN,NYK,102,101
2021-03-31,OKC,TOR,113,103
2021-03-31,SAS,SAC,120,106
2021-03-31,PHX,CHI,121,116
2021-03-31,LAL,MIL,97,112
2021-04-01,DET,WAS,120,91
2021-04-01,CLE,PHI,94,114
2021-04-01,BKN,CHA,111,89
2021-04-01,NOP,ORL,110,115
2021-04-01,MIA,GSW,116,109
2021-04-01,SAS,ATL,129,134
2021-04-01,LAC,DEN,94,101
2021-04-02,TOR,GSW,130,77
2021-04-02,BOS,HOU,118,102
2021-04-02,NYK,DAL,86,99
2021-04-02,IND,CHA,97,114
2021-04-02,MEM,MIN,120,108
2021-04-02,UTA,CHI,113,106
2021-04-02,NOP,ATL,103,126
2021-04-02,SAC,LAL,94,115
2021-04-02,PHX,OKC,140,103
2021-04-02,POR,MIL,109,127
2021-04-03,WAS,DAL,87,109
2021-04-03,DET,NYK,81,125
2021-04-03,PHI,MIN,122,113
2021-04-03,MIA,CLE,115,101
2021-04-03,SAS,IND,133,139
2021-04-03,UTA,ORL,137,91
2021-04-03,SAC,MIL,128,129
2021-04-03,POR,OKC,133,85
2021-04-04,CHI,BKN,115,107
2021-04-04,LAC,LAL,104,86
2021-04-04,BOS,CHA,116,86
2021-04-04,PHI,MEM,100,116
2021-04-04,ATL,GSW,117,111
2021-04-04,HOU,NOP,115,122
2021-04-04,DEN,ORL,119,109
2021-04-05,MIN,SAC,116,106
2021-04-05,TOR,WAS,103,101
2021-04-05,BKN,NYK,114,112
2021-04-05,DAL,UTA,111,103
2021-04-05,OKC,DET,108,132
2021-04-05,SAS,CLE,101,125
