game_number,game_id,date,home,away,home_pts,away_pts,home_observed_seconds,away_observed_seconds,inferred_historical_ot,home_seconds_residual,away_seconds_residual,official_reference_url,opponent,previous_game_gap_days,historical_back_to_back_second,historical_games_last5_days,alternate_date,alternate_result,role_policy_reference,opponent_roster_status
14,0022100209,2021-11-15,LAL,CHI,103,121,14398,14400,0,-2,0,https://www.nba.com/game/chi-vs-lal-0022100209,LAL,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
15,0022100223,2021-11-17,POR,CHI,112,107,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-por-0022100223,POR,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
16,0022100236,2021-11-19,DEN,CHI,108,114,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-den-0022100236,DEN,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
17,0022100250,2021-11-21,CHI,NYK,109,103,14400,14401,0,0,1,https://www.nba.com/game/nyk-vs-chi-0022100250,NYK,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
18,0022100257,2021-11-22,CHI,IND,77,109,14400,14400,0,0,0,https://www.nba.com/game/ind-vs-chi-0022100257,IND,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
19,0022100271,2021-11-24,HOU,CHI,118,113,14401,14400,0,1,0,https://www.nba.com/game/chi-vs-hou-0022100271,HOU,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
20,0022100283,2021-11-26,ORL,CHI,88,123,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-orl-0022100283,ORL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
21,0022100296,2021-11-27,CHI,MIA,104,107,14400,14400,0,0,0,https://www.nba.com/game/mia-vs-chi-0022100296,MIA,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
22,0022100307,2021-11-29,CHI,CHA,133,119,14400,14400,0,0,0,https://www.nba.com/game/cha-vs-chi-0022100307,CHA,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
23,0022100328,2021-12-02,NYK,CHI,115,119,14401,14401,0,1,1,https://www.nba.com/game/chi-vs-nyk-0022100328,NYK,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
24,0022100343,2021-12-04,BKN,CHI,107,111,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-bkn-0022100343,BKN,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
25,0022100357,2021-12-06,CHI,DEN,109,97,14400,14400,0,0,0,https://www.nba.com/game/den-vs-chi-0022100357,DEN,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
26,0022100367,2021-12-08,CLE,CHI,115,92,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-cle-0022100367,CLE,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
27,0022100394,2021-12-11,MIA,CHI,118,92,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-mia-0022100394,MIA,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
28,0022100448,2021-12-19,CHI,LAL,115,110,14400,14400,0,0,0,https://www.nba.com/game/lal-vs-chi-0022100448,LAL,8,0,1,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
29,0022100459,2021-12-20,CHI,HOU,133,118,14400,14400,0,0,0,https://www.nba.com/game/hou-vs-chi-0022100459,HOU,1,1,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
30,0022100499,2021-12-26,CHI,IND,113,105,14400,14402,0,0,2,https://www.nba.com/game/ind-vs-chi-0022100499,IND,6,0,1,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
31,0022100502,2021-12-27,ATL,CHI,118,130,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-atl-0022100502,ATL,1,1,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
32,0022100519,2021-12-29,CHI,ATL,131,117,14400,14401,0,0,1,https://www.nba.com/game/atl-vs-chi-0022100519,ATL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
33,0022100530,2021-12-31,IND,CHI,106,108,14399,14400,0,-1,0,https://www.nba.com/game/chi-vs-ind-0022100530,IND,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
34,0022100541,2022-01-01,WAS,CHI,119,120,14401,14401,0,1,1,https://www.nba.com/game/chi-vs-was-0022100541,WAS,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
35,0022100555,2022-01-03,CHI,ORL,102,98,14400,14400,0,0,0,https://www.nba.com/game/orl-vs-chi-0022100555,ORL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
36,0022100585,2022-01-07,CHI,WAS,130,122,14400,14400,0,0,0,https://www.nba.com/game/was-vs-chi-0022100585,WAS,4,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
37,0022100603,2022-01-09,DAL,CHI,113,99,14401,14400,0,1,0,https://www.nba.com/game/chi-vs-dal-0022100603,DAL,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
38,0022100415,2022-01-11,CHI,DET,133,87,14400,14400,0,0,0,https://www.nba.com/game/det-vs-chi-0022100415,DET,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
39,0022100625,2022-01-12,CHI,BKN,112,138,14400,14400,0,0,0,https://www.nba.com/game/bkn-vs-chi-0022100625,BKN,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
40,0022100637,2022-01-14,CHI,GSW,96,138,14400,14400,0,0,0,https://www.nba.com/game/gsw-vs-chi-0022100637,GSW,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
41,0022100647,2022-01-15,BOS,CHI,114,112,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-bos-0022100647,BOS,1,1,4,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
42,0022100658,2022-01-17,MEM,CHI,119,106,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-mem-0022100658,MEM,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
43,0022100673,2022-01-19,CHI,CLE,117,104,14400,14400,0,0,0,https://www.nba.com/game/cle-vs-chi-0022100673,CLE,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
44,0022100690,2022-01-21,MIL,CHI,94,90,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-mil-0022100690,MIL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
45,0022100701,2022-01-23,ORL,CHI,114,95,14400,14401,0,0,1,https://www.nba.com/game/chi-vs-orl-0022100701,ORL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
46,0022100730,2022-01-24,OKC,CHI,110,111,14402,14401,0,2,1,https://www.nba.com/game/chi-vs-okc-0022100730,OKC,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
47,0022100472,2022-01-26,CHI,TOR,111,105,14400,14400,0,0,0,https://www.nba.com/game/tor-vs-chi-0022100472,TOR,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
48,0022100742,2022-01-28,SAS,CHI,131,122,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-sas-0022100742,SAS,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
49,0022100753,2022-01-30,CHI,POR,130,116,14400,14400,0,0,0,https://www.nba.com/game/por-vs-chi-0022100753,POR,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
50,0022100769,2022-02-01,CHI,ORL,126,115,14400,14400,0,0,0,https://www.nba.com/game/orl-vs-chi-0022100769,ORL,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
51,0022100430,2022-02-03,TOR,CHI,127,120,15900,15900,1,0,0,https://www.nba.com/game/chi-vs-tor-0022100430,TOR,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
52,0022100789,2022-02-04,IND,CHI,115,122,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-ind-0022100789,IND,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
53,0022100802,2022-02-06,CHI,PHI,108,119,14400,14400,0,0,0,https://www.nba.com/game/phi-vs-chi-0022100802,PHI,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
54,0022100812,2022-02-07,CHI,PHX,124,127,14400,14400,0,0,0,https://www.nba.com/game/phx-vs-chi-0022100812,PHX,1,1,4,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
55,0022100826,2022-02-09,CHA,CHI,109,121,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-cha-0022100826,CHA,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
56,0022100843,2022-02-11,CHI,MIN,134,122,14400,14400,0,0,0,https://www.nba.com/game/min-vs-chi-0022100843,MIN,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
57,0022100852,2022-02-12,CHI,OKC,106,101,14400,14400,0,0,0,https://www.nba.com/game/okc-vs-chi-0022100852,OKC,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
58,0022100861,2022-02-14,CHI,SAS,120,109,14400,14400,0,0,0,https://www.nba.com/game/sas-vs-chi-0022100861,SAS,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
59,0022100878,2022-02-16,CHI,SAC,125,118,14401,14400,0,1,0,https://www.nba.com/game/sac-vs-chi-0022100878,SAC,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
60,0022100891,2022-02-24,CHI,ATL,112,108,14402,14401,0,2,1,https://www.nba.com/game/atl-vs-chi-0022100891,ATL,8,0,1,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
61,0022100909,2022-02-26,CHI,MEM,110,116,14400,14399,0,0,-1,https://www.nba.com/game/mem-vs-chi-0022100909,MEM,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
62,0022100922,2022-02-28,MIA,CHI,112,99,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-mia-0022100922,MIA,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
63,0022100710,2022-03-03,ATL,CHI,130,124,14400,14401,0,0,1,https://www.nba.com/game/chi-vs-atl-0022100710,ATL,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
64,0022100949,2022-03-04,CHI,MIL,112,118,14400,14401,0,0,1,https://www.nba.com/game/mil-vs-chi-0022100949,MIL,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
65,0022100969,2022-03-07,PHI,CHI,121,106,14401,14400,0,1,0,https://www.nba.com/game/chi-vs-phi-0022100969,PHI,3,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
66,0022100982,2022-03-09,DET,CHI,108,114,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-det-0022100982,DET,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
67,0022101006,2022-03-12,CHI,CLE,101,91,14400,14400,0,0,0,https://www.nba.com/game/cle-vs-chi-0022101006,CLE,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
68,0022101026,2022-03-14,SAC,CHI,112,103,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-sac-0022101026,SAC,2,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
69,0022101041,2022-03-16,UTA,CHI,125,110,14400,14401,0,0,1,https://www.nba.com/game/chi-vs-uta-0022101041,UTA,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
70,0022101056,2022-03-18,PHX,CHI,129,102,14400,14401,0,0,1,https://www.nba.com/game/chi-vs-phx-0022101056,PHX,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
71,0022101076,2022-03-21,CHI,TOR,113,99,14400,14400,0,0,0,https://www.nba.com/game/tor-vs-chi-0022101076,TOR,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
72,0022101082,2022-03-22,MIL,CHI,126,98,14401,14400,0,1,0,https://www.nba.com/game/chi-vs-mil-0022101082,MIL,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
73,0022101098,2022-03-24,NOP,CHI,126,109,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-nop-0022101098,NOP,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
74,0022101110,2022-03-26,CLE,CHI,94,98,14400,14400,0,0,0,https://www.nba.com/game/chi-vs-cle-0022101110,CLE,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
75,0022101126,2022-03-28,NYK,CHI,109,104,14399,14401,0,-1,1,https://www.nba.com/game/chi-vs-nyk-0022101126,NYK,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
76,0022101132,2022-03-29,WAS,CHI,94,107,14400,14401,0,0,1,https://www.nba.com/game/chi-vs-was-0022101132,WAS,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
77,0022101149,2022-03-31,CHI,LAC,135,130,15900,15900,1,0,0,https://www.nba.com/game/lac-vs-chi-0022101149,LAC,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
78,0022101164,2022-04-02,CHI,MIA,109,127,14400,14400,0,0,0,https://www.nba.com/game/mia-vs-chi-0022101164,MIA,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
79,0022101183,2022-04-05,CHI,MIL,106,127,14400,14400,0,0,0,https://www.nba.com/game/mil-vs-chi-0022101183,MIL,3,0,2,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
80,0022101193,2022-04-06,CHI,BOS,94,117,14400,14400,0,0,0,https://www.nba.com/game/bos-vs-chi-0022101193,BOS,1,1,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
81,0022101208,2022-04-08,CHI,CHA,117,133,14400,14400,0,0,0,https://www.nba.com/game/cha-vs-chi-0022101208,CHA,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
82,0022101224,2022-04-10,MIN,CHI,120,124,14401,14400,0,1,0,https://www.nba.com/game/chi-vs-min-0022101224,MIN,2,0,3,HOLD,HOLD,R21A_CONDITIONAL,REVIEW_REQUIRED_G7_G8_AND_PRIOR_CASCADE
