scenario,player,actual_seconds,alternate_seconds,delta_seconds,alternate_gp,alternate_gs,status
PORTER_12_STRESS,Denzel Valentine,18980,11095,-7885,23,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Devon Dotson,2441,2441,0,10,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Garrett Temple,33048,28311,-4737,21,13,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Javonte Green,7704,7704,0,16,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,LaMelo Ball,0,48720,48720,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Lauri Markkanen,37617,37617,0,28,3,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Nikola Vucevic,50862,0,-50862,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Otto Porter Jr.,0,20880,20880,29,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Patrick Williams,47431,0,-47431,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Protagonist,0,52200,52200,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Ryan Arcidiacono,9260,2824,-6436,6,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Thaddeus Young,40686,40686,0,29,15,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Tomas Satoransky,35110,19041,-16069,26,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Troy Brown Jr.,14197,0,-14197,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Wendell Carter Jr.,0,45240,45240,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_12_STRESS,Zach LaVine,30967,30967,0,15,15,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Adam Mokoka,570,570,0,5,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Al-Farouq Aminu,4045,0,-4045,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Coby White,47626,37504,-10122,26,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Cristiano Felicio,2629,2629,0,11,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Daniel Theis,34430,30898,-3532,23,12,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Denzel Valentine,18980,11095,-7885,23,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Devon Dotson,2441,2441,0,10,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Garrett Temple,33048,28311,-4737,21,13,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Javonte Green,7704,7704,0,16,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,LaMelo Ball,0,48720,48720,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Lauri Markkanen,37617,37617,0,28,3,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Nikola Vucevic,50862,0,-50862,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Otto Porter Jr.,0,19156,19156,29,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Patrick Williams,47431,0,-47431,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Protagonist,0,52200,52200,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Ryan Arcidiacono,9260,2824,-6436,6,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Thaddeus Young,40686,40686,0,29,15,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Tomas Satoransky,35110,19041,-16069,26,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Troy Brown Jr.,14197,0,-14197,0,0,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Wendell Carter Jr.,0,45240,45240,29,29,CONDITIONAL_CAPACITY_NOT_CANON
PORTER_CAPPED,Zach LaVine,30967,30967,0,15,15,CONDITIONAL_CAPACITY_NOT_CANON
