player_name,player_id,season,season_type,team,poss,mp,raptor_total
Reggie Bullock,bullore01,2021,RS,NYK,3950,1949,-.562549724369669
Trey Burke,burketr01,2021,RS,DAL,1896,911,-1.236283305496951
Alec Burks,burksal01,2021,RS,NYK,2542,1255,2.064766628084016
Jimmy Butler,butleji01,2021,RS,MIA,3553,1745,7.238662914532688
Bruno Caboclo,cabocbr01,2021,RS,HOU,81,36,-2.260928744283105
Devontae Cacok,cacokde01,2021,RS,LAL,215,98,2.46211108934183
Kentavious Caldwell-Pope,caldwke01,2021,RS,LAL,3943,1902,.1870213767604662
Facundo Campazzo,campafa01,2021,RS,DEN,2942,1425,2.485227092868865
Vlatko Cancar,cancavl01,2021,RS,DEN,619,281,-6.830421200701513
Devin Cannady,cannade01,2021,RS,ORL,159,74,-1.955705966480231
Clint Capela,capelca01,2021,RS,ATL,3931,1898,6.44036824961586
Vernon Carey Jr.,careyve01,2021,RS,CHA,241,115,-3.035299867452623
Jevon Carter,carteje01,2021,RS,PHO,1491,717,-.4242963835137689
Michael Carter-Williams,cartemi01,2021,RS,ORL,1689,800,-.933050018600071
Wendell Carter Jr.,cartewe01,2021,RS,CHI,1686,792,-2.538574213147651
Wendell Carter Jr.,cartewe01,2021,RS,ORL,1198,583,-.4691932648875472
Alex Caruso,carusal01,2021,RS,LAL,2541,1216,3.013805067170658
Willie Cauley-Stein,caulewi01,2021,RS,DAL,1869,906,.7568873673575847
Chris Chiozza,chiozch01,2021,RS,BRK,490,232,2.674211554966426
Marquese Chriss,chrisma01,2021,RS,GSW,63,27,-4.837703241441559
Brandon Clarke,clarkbr01,2021,RS,MEM,3007,1415,.306457823250232
Gary Clark,clarkga01,2021,RS,DEN,9,4,-28.30977395515821
Gary Clark,clarkga01,2021,RS,ORL,1338,637,-4.819509193440394
Gary Clark,clarkga01,2021,RS,PHI,32,13,-13.42061903739774
Jordan Clarkson,clarkjo01,2021,RS,UTA,3820,1818,2.57957215957755
Nicolas Claxton,claxtni01,2021,RS,BRK,1246,594,4.574957057363428
Amir Coffey,coffeam01,2021,RS,LAC,819,394,-3.10320719824389
John Collins,collijo01,2021,RS,ATL,3850,1848,2.576847854483341
Mike Conley,conlemi01,2021,RS,UTA,3168,1498,7.717524701129642
Pat Connaughton,connapa01,2021,RS,MIL,3439,1575,1.237792679831248
Quinn Cook,cookqu01,2021,RS,CLE,197,95,-2.834202434449201
Quinn Cook,cookqu01,2021,RS,LAL,138,62,-6.416210428072883
Tyler Cook,cookty01,2021,RS,BRK,36,17,1.965535869433891
Tyler Cook,cookty01,2021,RS,DET,871,421,-7.459701003273548
DeMarcus Cousins,couside01,2021,RS,HOU,1088,506,1.685600734627674
DeMarcus Cousins,couside01,2021,RS,LAC,426,207,.6355140800927224
Robert Covington,covinro01,2021,RS,POR,4658,2243,2.146850682489145
Torrey Craig,craigto01,2021,RS,MIL,438,201,-2.689085703217485
Torrey Craig,craigto01,2021,RS,PHO,1222,602,-.5419043449531261
Jae Crowder,crowdja01,2021,RS,PHO,3433,1648,2.640649623108756
Jarrett Culver,culveja01,2021,RS,MIN,1078,499,-4.346264798507407
Seth Curry,curryse01,2021,RS,PHI,3426,1638,-.8115087483040452
Stephen Curry,curryst01,2021,RS,GSW,4715,2152,6.799651125207118
Nate Darling,darlina01,2021,RS,CHA,53,26,-13.89287100925349
Anthony Davis,davisan02,2021,RS,LAL,2404,1162,3.995574855205358
Ed Davis,davised01,2021,RS,MIN,631,299,-5.865569726015701
Terence Davis,daviste02,2021,RS,SAC,1235,581,-.794255452341506
Terence Davis,daviste02,2021,RS,TOR,1052,493,-4.215221311471073
Gabriel Deck,deckga01,2021,RS,OKC,456,212,-1.367067871404029
Dewayne Dedmon,dedmode01,2021,RS,MIA,430,210,3.97571312110058
Matthew Dellavedova,dellama01,2021,RS,CLE,467,224,-5.789069979891028
DeMar DeRozan,derozde01,2021,RS,SAS,4287,2056,.6292246647696986
Mamadi Diakite,diakima01,2021,RS,MIL,316,141,.0824155089351053
Hamidou Diallo,diallha01,2021,RS,DET,944,465,-4.267637552723191
Hamidou Diallo,diallha01,2021,RS,OKC,1625,761,1.091733319563157
Gorgui Dieng,dienggo01,2021,RS,MEM,786,371,.9078038400300881
Gorgui Dieng,dienggo01,2021,RS,SAS,383,181,-2.248899357003388
Spencer Dinwiddie,dinwisp01,2021,RS,BRK,140,64,2.383803604115804
Donte DiVincenzo,divindo01,2021,RS,MIL,3959,1814,.8811821878285637
Luka Doncic,doncilu01,2021,RS,DAL,4684,2262,5.209148844552013
Luguentz Dort,dortlu01,2021,RS,OKC,3250,1543,2.06659517370703
Damyean Dotson,dotsoda01,2021,RS,CLE,1884,907,-5.579434459464434
Devon Dotson,dotsode01,2021,RS,CHI,108,50,14.03219586210414
Sekou Doumbouya,doumbse01,2021,RS,DET,1795,869,-5.909714431496488
PJ Dozier,doziepj01,2021,RS,DEN,2251,1088,.7293438874602729
Goran Dragic,dragigo01,2021,RS,MIA,2746,1337,-1.817767415810238
Andre Drummond,drumman01,2021,RS,CLE,1477,722,2.512542448404492
Andre Drummond,drumman01,2021,RS,LAL,1067,520,-2.308186303699453
Jared Dudley,dudleja01,2021,RS,LAL,169,81,-.9773360002678082
Kris Dunn,dunnkr01,2021,RS,ATL,95,45,-16.84799565153995
Kevin Durant,duranke01,2021,RS,BRK,2483,1157,5.592676234101999
Anthony Edwards,edwaran01,2021,RS,MIN,4951,2314,-3.320495349442521
Carsen Edwards,edwarca01,2021,RS,BOS,586,276,-3.640976553349914
CJ Elleby,ellebcj01,2021,RS,POR,425,192,-2.860605166709179
Henry Ellenson,ellenhe01,2021,RS,TOR,83,38,-1.018512652983169
Wayne Ellington,ellinwa01,2021,RS,DET,2094,1012,-.0117629913807711
Joel Embiid,embiijo01,2021,RS,PHI,3328,1585,8.110819018131894
James Ennis III,ennisja01,2021,RS,ORL,2046,986,.2558104463652152
Drew Eubanks,eubandr01,2021,RS,SAS,1609,755,-.3819979030109613
Dante Exum,exumda01,2021,RS,CLE,248,116,2.535893188727139
Tacko Fall,fallta01,2021,RS,BOS,292,136,5.365939938529306
Derrick Favors,favorde01,2021,RS,UTA,2190,1039,.7785943982823461
Cristiano Felicio,feliccr01,2021,RS,CHI,180,84,9.793903177681861
Terrance Ferguson,fergute01,2021,RS,PHI,106,49,-17.92691766973298
Bruno Fernando,fernabr01,2021,RS,ATL,489,226,-9.863793962556622
Yogi Ferrell,ferreyo01,2021,RS,CLE,84,40,-.1003841011368145
Yogi Ferrell,ferreyo01,2021,RS,LAC,197,96,4.245898082019895
Dorian Finney-Smith,finnedo01,2021,RS,DAL,3937,1921,1.160187887700961
Malik Fitts,fittsma01,2021,RS,LAC,22,11,-17.71088659561374
Malachi Flynn,flynnma01,2021,RS,TOR,1953,928,-.8415708945598988
Bryn Forbes,forbebr01,2021,RS,MIL,2938,1354,-3.040049614781817
Trent Forrest,forretr01,2021,RS,UTA,621,302,-6.67085620273048
Evan Fournier,fournev01,2021,RS,BOS,1012,472,.382237411424716
Evan Fournier,fournev01,2021,RS,ORL,1659,787,.6399992930596743
De'Aaron Fox,foxde01,2021,RS,SAC,4321,2036,.5042837651682466
Robert Franks,frankro01,2021,RS,ORL,213,101,-2.713434389428237
Tim Frazier,fraziti01,2021,RS,MEM,136,62,-5.834321141091836
Markelle Fultz,fultzma01,2021,RS,ORL,462,215,-8.999518674183152
Wenyen Gabriel,gabriwe01,2021,RS,NOP,514,241,1.38623026256674
Daniel Gafford,gaffoda01,2021,RS,CHI,819,383,-.2540477987559335
Daniel Gafford,gaffoda01,2021,RS,WAS,906,408,5.263600827734239
Danilo Gallinari,gallida01,2021,RS,ATL,2515,1222,.2957611968919736
Langston Galloway,gallola01,2021,RS,PHO,933,438,-.3770653295530038
Darius Garland,garlada01,2021,RS,CLE,3684,1790,-1.336920420375872
Marc Gasol,gasolma01,2021,RS,LAL,2068,993,1.290831008307395
Rudy Gay,gayru01,2021,RS,SAS,2865,1358,2.72415182830639
Paul George,georgpa01,2021,RS,LAC,3701,1821,7.404869465697018
Taj Gibson,gibsota01,2021,RS,NYK,1905,936,4.546943066263357
Harry Giles III,gilesha01,2021,RS,POR,749,348,-4.377388551170157
Shai Gilgeous-Alexander,gilgesh01,2021,RS,OKC,2461,1180,2.363971486163608
Anthony Gill,gillan01,2021,RS,WAS,473,218,-.413189268157385
Freddie Gillespie,gillefr01,2021,RS,TOR,824,392,-1.790201330674336
Rudy Gobert,goberru01,2021,RS,UTA,4616,2187,8.302490778598862
Brandon Goodwin,goodwbr01,2021,RS,ATL,1279,620,-4.396987449268869
Aaron Gordon,gordoaa01,2021,RS,DEN,1341,648,-.2679221985244108
Aaron Gordon,gordoaa01,2021,RS,ORL,1528,736,1.558911775549618
Eric Gordon,gordoer01,2021,RS,HOU,1691,789,-3.527157040409887
Devonte' Graham,grahade01,2021,RS,CHA,3433,1659,2.396907659328357
Jerami Grant,grantje01,2021,RS,DET,3780,1829,.6332979898892159
Danny Green,greenda02,2021,RS,PHI,4080,1934,2.723817023732453
Draymond Green,greendr01,2021,RS,GSW,4303,1982,4.567576722733307
JaMychal Green,greenja01,2021,RS,DEN,2281,1120,-1.215825082237052
Javonte Green,greenja02,2021,RS,BOS,724,345,-1.210395149457505
Javonte Green,greenja02,2021,RS,CHI,273,128,6.580938284168545
Jeff Green,greenje02,2021,RS,BRK,3886,1835,-1.570313884959026
Josh Green,greenjo02,2021,RS,DAL,931,445,-4.08367360154615
Blake Griffin,griffbl01,2021,RS,BRK,1167,560,3.598612672610029
Blake Griffin,griffbl01,2021,RS,DET,1263,626,.3404281037198396
Kyle Guy,guyky01,2021,RS,SAC,514,235,-4.5996479666479
Rui Hachimura,hachiru01,2021,RS,WAS,3949,1797,-3.663094282370024
Ashton Hagans,haganas01,2021,RS,MIN,10,4,-18.65162949547675
Tyrese Haliburton,halibty01,2021,RS,SAC,3722,1746,-.9475910579572417
Donta Hall,halldo01,2021,RS,ORL,384,179,2.434877288807578
Josh Hall,halljo01,2021,RS,OKC,735,336,-10.53518991808648
R.J. Hampton,hamptrj01,2021,RS,DEN,505,233,-9.83050486526815
R.J. Hampton,hamptrj01,2021,RS,ORL,1381,655,-5.607390080208692
Tim Hardaway Jr.,hardati02,2021,RS,DAL,4078,1985,1.482523608053258
James Harden,hardeja01,2021,RS,BRK,2734,1319,5.66163548326131
James Harden,hardeja01,2021,RS,HOU,610,290,1.176522214832207
Maurice Harkless,harklma01,2021,RS,MIA,269,124,-9.75691585771718
Maurice Harkless,harklma01,2021,RS,SAC,1383,648,-2.680307865368879
Jared Harper,harpeja01,2021,RS,NYK,40,16,-12.7382049806762
Montrezl Harrell,harremo01,2021,RS,LAL,3284,1580,3.419064492366191
Gary Harris,harriga01,2021,RS,DEN,1182,581,-.3029681124019848
Gary Harris,harriga01,2021,RS,ORL,1043,499,-5.4615922537056
Jalen Harris,harrija01,2021,RS,TOR,369,172,.7337677200383159
Joe Harris,harrijo01,2021,RS,BRK,4551,2141,2.251832760785828
Shaquille Harrison,harrish01,2021,RS,DEN,589,277,-2.800685793003223
Shaquille Harrison,harrish01,2021,RS,UTA,125,56,-14.42579992667826
Tobias Harris,harrito02,2021,RS,PHI,4213,2014,1.786607132744782
Isaiah Hartenstein,harteis01,2021,RS,CLE,589,287,1.240413572217825
Isaiah Hartenstein,harteis01,2021,RS,DEN,575,272,.9612644815811455
Josh Hart,hartjo01,2021,RS,NOP,2844,1349,.7898524667860446
Udonis Haslem,hasleud01,2021,RS,MIA,7,3,47.47361059585624
Jaxson Hayes,hayesja02,2021,RS,NOP,2080,964,-.4236814145178007
Killian Hayes,hayeski01,2021,RS,DET,1398,670,-8.187209367659747
Gordon Hayward,haywago01,2021,RS,CHA,3143,1496,.6297341588724533
Juancho Hernangomez,hernaju01,2021,RS,MIN,1926,900,-3.193188635765993
Willy Hernangomez,hernawi01,2021,RS,NOP,1819,846,-.0232335679837042
Tyler Herro,herroty01,2021,RS,MIA,3354,1635,-.8086321045872717
Buddy Hield,hieldbu01,2021,RS,SAC,5133,2433,.4182486807325354
George Hill,hillge01,2021,RS,OKC,755,369,1.588284967033469
George Hill,hillge01,2021,RS,PHI,622,303,.4791217552087221
Solomon Hill,hillso01,2021,RS,ATL,3150,1513,-2.712582907951872
Nate Hinton,hintona01,2021,RS,DAL,202,93,-8.937363622931258
Jaylen Hoard,hoardja01,2021,RS,OKC,697,320,-2.757131995601324
Aaron Holiday,holidaa01,2021,RS,IND,2556,1176,-2.240131994398611
Jrue Holiday,holidjr01,2021,RS,MIL,4131,1907,4.228022959247721
Justin Holiday,holidju01,2021,RS,IND,4691,2183,.5393587402779851
Rondae Hollis-Jefferson,holliro01,2021,RS,POR,224,107,-2.89284437994674
Richaun Holmes,holmeri01,2021,RS,SAC,3730,1782,2.117364704062246
Rodney Hood,hoodro01,2021,RS,POR,1503,726,-5.388629382305949
Rodney Hood,hoodro01,2021,RS,TOR,453,216,-5.144846234844222
Al Horford,horfoal01,2021,RS,OKC,1634,782,2.813276670062399
Talen Horton-Tucker,hortota01,2021,RS,LAL,2738,1304,-.1779065393457002
Danuel House Jr.,houseda01,2021,RS,HOU,1979,932,-5.566583623111413
Dwight Howard,howardw01,2021,RS,PHI,2521,1196,-1.201692606166514
Markus Howard,howarma02,2021,RS,DEN,461,205,-10.55152186127608
Kevin Huerter,huertke01,2021,RS,ATL,4407,2126,-.2983705994442566
Elijah Hughes,hugheel01,2021,RS,UTA,140,64,-8.542993433366838
De'Andre Hunter,huntede01,2021,RS,ATL,1438,678,3.689102804114309
Chandler Hutchison,hutchch01,2021,RS,CHI,145,64,-6.316020546871555
Chandler Hutchison,hutchch01,2021,RS,WAS,630,282,-4.896134853225201
Serge Ibaka,ibakase01,2021,RS,LAC,1943,955,1.609984206160111
Andre Iguodala,iguodan01,2021,RS,MIA,2729,1339,-1.246333441192085
Ersan Ilyasova,ilyaser01,2021,RS,UTA,303,148,1.099536554773372
Joe Ingles,inglejo01,2021,RS,UTA,3932,1867,3.20296792527436
Brandon Ingram,ingrabr01,2021,RS,NOP,4359,2093,1.299209485883297
Kyrie Irving,irvinky01,2021,RS,BRK,3974,1886,2.975605644322887
Wes Iwundu,iwundwe01,2021,RS,DAL,607,288,-5.071343992781218
Wes Iwundu,iwundwe01,2021,RS,NOP,548,251,-6.875585488968311
Frank Jackson,jacksfr01,2021,RS,DET,1534,738,-1.031721058582533
Jaren Jackson Jr.,jacksja02,2021,RS,MEM,545,258,.5446109213397635
Josh Jackson,jacksjo02,2021,RS,DET,3272,1560,-.1332996559610564
Justin Jackson,jacksju01,2021,RS,MIL,74,33,-3.951774621770245
Justin Jackson,jacksju01,2021,RS,OKC,1167,544,-4.026198490950827
Reggie Jackson,jacksre01,2021,RS,LAC,3187,1544,1.139110077697271
Justin James,jamesju01,2021,RS,SAC,674,310,-4.54615274554841
LeBron James,jamesle01,2021,RS,LAL,3146,1504,5.602515058020263
Mike James,jamesmi02,2021,RS,BRK,493,236,-3.628286989805069
DaQuan Jeffries,jeffrda01,2021,RS,HOU,576,261,-1.566916207892027
DaQuan Jeffries,jeffrda01,2021,RS,SAC,500,232,.5389400981405862
Ty Jerome,jeromty01,2021,RS,OKC,1689,788,-2.052269959107939
Isaiah Joe,joeis01,2021,RS,PHI,822,383,1.473022373030829
Alize Johnson,johnsal02,2021,RS,BRK,399,189,3.448417759250274
Cameron Johnson,johnsca02,2021,RS,PHO,2957,1437,1.318309609043112
James Johnson,johnsja01,2021,RS,DAL,1063,504,-3.64348005388571
James Johnson,johnsja01,2021,RS,NOP,1165,539,-4.59009319829878
Keldon Johnson,johnske04,2021,RS,SAS,4102,1968,-2.69297864114674
Stanley Johnson,johnsst04,2021,RS,TOR,2133,1006,-4.164436038247588
Tyler Johnson,johnsty01,2021,RS,BRK,1433,684,-1.801891845791078
Nikola Jokic,jokicni01,2021,RS,DEN,5087,2488,9.554563510938198
Damian Jones,jonesda03,2021,RS,LAL,240,112,-.888483736119549
Damian Jones,jonesda03,2021,RS,PHO,200,94,-12.08425205561738
Damian Jones,jonesda03,2021,RS,SAC,734,341,-5.071413350401674
Derrick Jones Jr.,jonesde02,2021,RS,POR,2732,1318,-.4456214882610405
Mason Jones,jonesma05,2021,RS,HOU,679,307,-8.550451739884899
Mason Jones,jonesma05,2021,RS,PHI,58,27,-.9232479391078883
Tre Jones,jonestr01,2021,RS,SAS,565,269,-9.98718650993573
Tyus Jones,jonesty01,2021,RS,MEM,2573,1222,-.4521768436560835
DeAndre Jordan,jordade01,2021,RS,BRK,2623,1246,-3.742745488114673
Cory Joseph,josepco01,2021,RS,DET,1044,502,4.404870335279433
Cory Joseph,josepco01,2021,RS,SAC,1993,944,-3.284623647174787
Mfiondu Kabengele,kabenmf01,2021,RS,CLE,404,186,-2.203374009016341
Mfiondu Kabengele,kabenmf01,2021,RS,LAC,196,94,-8.851602201238137
Frank Kaminsky,kaminfr01,2021,RS,PHO,1484,715,-1.091125402757746
Enes Kanter,kanteen01,2021,RS,POR,3618,1758,.5950360962111731
Luke Kennard,kennalu01,2021,RS,LAC,2541,1232,-3.816215307125611
Louis King,kinglo02,2021,RS,SAC,183,85,7.443281844604646
Maxi Kleber,klebima01,2021,RS,DAL,2797,1341,.3457600455561896
Nathan Knight,knighna01,2021,RS,ATL,584,279,.1203019740701934
Kevin Knox II,knoxke01,2021,RS,NYK,961,464,-3.630345211171582
John Konchar,konchjo01,2021,RS,MEM,1208,575,2.306672199573582
Furkan Korkmaz,korkmfu01,2021,RS,PHI,2239,1062,2.372037289828429
Luke Kornet,kornelu01,2021,RS,BOS,533,254,.7212429957919273
Luke Kornet,kornelu01,2021,RS,CHI,209,94,-2.139296008042411
Rodions Kurucs,kurucro01,2021,RS,BRK,34,16,-11.95588856875224
Rodions Kurucs,kurucro01,2021,RS,HOU,174,75,-5.985271164762279
Rodions Kurucs,kurucro01,2021,RS,MIL,76,34,.3903316367350262
Kyle Kuzma,kuzmaky01,2021,RS,LAL,4059,1954,-3.0809670042573
Anthony Lamb,lamban01,2021,RS,HOU,899,415,-3.740266371300707
Jeremy Lamb,lambje01,2021,RS,IND,1630,765,2.39690284934337
Romeo Langford,langfro01,2021,RS,BOS,594,283,-2.334622147182032
Zach LaVine,lavinza01,2021,RS,CHI,4294,2034,2.315898015108327
Jake Layman,laymaja01,2021,RS,MIN,1360,627,-3.239271455572287
T.J. Leaf,leaftj01,2021,RS,POR,84,35,-1.377482549311952
Jalen Lecque,lecquja01,2021,RS,IND,27,12,5.935301274224771
Damion Lee,leeda03,2021,RS,GSW,2320,1079,1.123006808753358
Saben Lee,leesa01,2021,RS,DET,1609,781,-4.074986413142792
Alex Len,lenal01,2021,RS,TOR,169,76,-11.9659398048883
Alex Len,lenal01,2021,RS,WAS,2009,903,-.7901872959994147
Kawhi Leonard,leonaka01,2021,RS,LAC,3601,1773,7.943699875775712
Meyers Leonard,leoname01,2021,RS,MIA,61,29,-8.67380440839462
Caris LeVert,leverca01,2021,RS,BRK,733,334,4.853135371386564
Caris LeVert,leverca01,2021,RS,IND,2499,1152,-1.581601746911437
Kira Lewis Jr.,lewiski01,2021,RS,NOP,1932,904,-1.824427027930744
Damian Lillard,lillada01,2021,RS,POR,5016,2398,4.544326508875663
Nassir Little,littlna01,2021,RS,POR,1321,640,-4.676500644614719
Kevon Looney,looneke01,2021,RS,GSW,2476,1161,.9346445041718831
Brook Lopez,lopezbr01,2021,RS,MIL,4108,1902,1.186675386744455
Robin Lopez,lopezro01,2021,RS,WAS,2925,1354,-.8358998440596942
Didi Louzada,louzama01,2021,RS,NOP,120,56,-15.32454977819194
Kevin Love,loveke01,2021,RS,CLE,1303,622,-2.926295961668829
Kyle Lowry,lowryky01,2021,RS,TOR,3381,1601,1.209388308124556
Timothe Luwawu-Cabarrot,luwawti01,2021,RS,BRK,2254,1050,-2.6129848443005
Trey Lyles,lylestr01,2021,RS,SAS,743,358,-4.482563225142636
Will Magnay,magnawi01,2021,RS,NOP,7,3,-54.57328851540055
Thon Maker,makerth01,2021,RS,CLE,155,76,-2.669382350507433
Theo Maledon,maledth01,2021,RS,OKC,3825,1778,-7.954042352890517
Karim Mane,maneka01,2021,RS,ORL,182,88,-11.35700181366515
Nico Mannion,mannini01,2021,RS,GSW,778,364,-4.622605564352442
Terance Mann,mannte01,2021,RS,LAC,2629,1263,-.2763057087556349
Boban Marjanovic,marjabo01,2021,RS,DAL,565,271,-.6632720747583918
Lauri Markkanen,markkla01,2021,RS,CHI,2765,1317,-1.431050406313417
Naji Marshall,marshna01,2021,RS,NOP,1533,700,-.6567927336539436
