event_id,game_id,date,player,actual_seconds,alternate_seconds,delta_seconds,actual_minutes,alternate_minutes,season_class
CHI_2019_20_G007,0021900085,2019-11-03,Ryan Arcidiacono,1044,564,-480,17:24,9:24,LIMITED_DONOR
CHI_2019_20_G007,0021900085,2019-11-03,Shaquille Harrison,43,0,-43,0:43,0:00,LIMITED_DONOR
CHI_2019_20_G007,0021900085,2019-11-03,Thaddeus Young,1543,1063,-480,25:43,17:43,LIMITED_DONOR
CHI_2019_20_G008,0021900100,2019-11-05,Chandler Hutchison,889,0,-889,14:49,0:00,DIRECT_REPLACED
CHI_2019_20_G008,0021900100,2019-11-05,Ryan Arcidiacono,65,0,-65,1:05,0:00,LIMITED_DONOR
CHI_2019_20_G008,0021900100,2019-11-05,Shaquille Harrison,65,0,-65,1:05,0:00,LIMITED_DONOR
CHI_2019_20_G008,0021900100,2019-11-05,Thaddeus Young,996,875,-121,16:36,14:35,LIMITED_DONOR
CHI_2019_20_G009,0021900105,2019-11-06,Chandler Hutchison,1120,0,-1120,18:40,0:00,DIRECT_REPLACED
CHI_2019_20_G009,0021900105,2019-11-06,Lauri Markkanen,2065,2087,22,34:25,34:47,PROTECTED_NET_ZERO
CHI_2019_20_G009,0021900105,2019-11-06,Shaquille Harrison,222,180,-42,3:42,3:00,LIMITED_DONOR
CHI_2019_20_G010,0021900129,2019-11-09,Chandler Hutchison,1393,0,-1393,23:13,0:00,DIRECT_REPLACED
CHI_2019_20_G010,0021900129,2019-11-09,Thaddeus Young,1420,1193,-227,23:40,19:53,LIMITED_DONOR
CHI_2019_20_G011,0021900149,2019-11-12,Chandler Hutchison,1257,0,-1257,20:57,0:00,DIRECT_REPLACED
CHI_2019_20_G011,0021900149,2019-11-12,Denzel Valentine,91,0,-91,1:31,0:00,LIMITED_DONOR
CHI_2019_20_G011,0021900149,2019-11-12,Ryan Arcidiacono,1270,1089,-181,21:10,18:09,LIMITED_DONOR
CHI_2019_20_G011,0021900149,2019-11-12,Shaquille Harrison,91,0,-91,1:31,0:00,LIMITED_DONOR
CHI_2019_20_G012,0021900163,2019-11-14,Chandler Hutchison,1271,0,-1271,21:11,0:00,DIRECT_REPLACED
CHI_2019_20_G012,0021900163,2019-11-14,Shaquille Harrison,43,0,-43,0:43,0:00,LIMITED_DONOR
CHI_2019_20_G012,0021900163,2019-11-14,Thaddeus Young,1501,1195,-306,25:01,19:55,LIMITED_DONOR
CHI_2019_20_G013,0021900175,2019-11-16,Chandler Hutchison,1408,0,-1408,23:28,0:00,DIRECT_REPLACED
CHI_2019_20_G013,0021900175,2019-11-16,Thaddeus Young,1195,983,-212,19:55,16:23,LIMITED_DONOR
CHI_2019_20_G014,0021900192,2019-11-18,Chandler Hutchison,1277,0,-1277,21:17,0:00,DIRECT_REPLACED
CHI_2019_20_G014,0021900192,2019-11-18,Ryan Arcidiacono,1635,1292,-343,27:15,21:32,LIMITED_DONOR
CHI_2019_20_G015,0021900209,2019-11-20,Ryan Arcidiacono,1258,778,-480,20:58,12:58,LIMITED_DONOR
CHI_2019_20_G015,0021900209,2019-11-20,Shaquille Harrison,1577,977,-600,26:17,16:17,LIMITED_DONOR
CHI_2019_20_G015,0021900209,2019-11-20,Thaddeus Young,1048,688,-360,17:28,11:28,LIMITED_DONOR
CHI_2019_20_G016,0021900219,2019-11-22,Denzel Valentine,295,180,-115,4:55,3:00,LIMITED_DONOR
CHI_2019_20_G016,0021900219,2019-11-22,Lauri Markkanen,1422,1472,50,23:42,24:32,PROTECTED_NET_ZERO
CHI_2019_20_G016,0021900219,2019-11-22,Max Strus,295,0,-295,4:55,0:00,LIMITED_DONOR
CHI_2019_20_G016,0021900219,2019-11-22,Shaquille Harrison,1389,789,-600,23:09,13:09,LIMITED_DONOR
CHI_2019_20_G016,0021900219,2019-11-22,Thaddeus Young,1479,999,-480,24:39,16:39,LIMITED_DONOR
CHI_2019_20_G017,0021900226,2019-11-23,Ryan Arcidiacono,1443,963,-480,24:03,16:03,LIMITED_DONOR
CHI_2019_20_G017,0021900226,2019-11-23,Shaquille Harrison,822,222,-600,13:42,3:42,LIMITED_DONOR
CHI_2019_20_G017,0021900226,2019-11-23,Thaddeus Young,813,393,-420,13:33,6:33,LIMITED_DONOR
CHI_2019_20_G018,0021900247,2019-11-25,Chandler Hutchison,469,0,-469,7:49,0:00,DIRECT_REPLACED
CHI_2019_20_G018,0021900247,2019-11-25,Denzel Valentine,954,354,-600,15:54,5:54,LIMITED_DONOR
CHI_2019_20_G018,0021900247,2019-11-25,Lauri Markkanen,1629,1738,109,27:09,28:58,PROTECTED_NET_ZERO
CHI_2019_20_G018,0021900247,2019-11-25,Shaquille Harrison,1407,807,-600,23:27,13:27,LIMITED_DONOR
CHI_2019_20_G019,0021900266,2019-11-27,Chandler Hutchison,127,0,-127,2:07,0:00,DIRECT_REPLACED
CHI_2019_20_G019,0021900266,2019-11-27,Denzel Valentine,334,180,-154,5:34,3:00,LIMITED_DONOR
CHI_2019_20_G019,0021900266,2019-11-27,Lauri Markkanen,1518,1460,-58,25:18,24:20,PROTECTED_NET_ZERO
CHI_2019_20_G019,0021900266,2019-11-27,Ryan Arcidiacono,784,360,-424,13:04,6:00,LIMITED_DONOR
CHI_2019_20_G019,0021900266,2019-11-27,Shaquille Harrison,437,180,-257,7:17,3:00,LIMITED_DONOR
CHI_2019_20_G019,0021900266,2019-11-27,Thaddeus Young,1271,791,-480,21:11,13:11,LIMITED_DONOR
CHI_2019_20_G020,0021900278,2019-11-29,Denzel Valentine,598,180,-418,9:58,3:00,LIMITED_DONOR
CHI_2019_20_G020,0021900278,2019-11-29,Max Strus,79,0,-79,1:19,0:00,LIMITED_DONOR
CHI_2019_20_G020,0021900278,2019-11-29,Ryan Arcidiacono,906,426,-480,15:06,7:06,LIMITED_DONOR
CHI_2019_20_G020,0021900278,2019-11-29,Thaddeus Young,1281,1178,-103,21:21,19:38,LIMITED_DONOR
CHI_2019_20_G021,0021900298,2019-12-02,Denzel Valentine,711,180,-531,11:51,3:00,LIMITED_DONOR
CHI_2019_20_G021,0021900298,2019-12-02,Ryan Arcidiacono,721,360,-361,12:01,6:00,LIMITED_DONOR
CHI_2019_20_G021,0021900298,2019-12-02,Thaddeus Young,1106,918,-188,18:26,15:18,LIMITED_DONOR
CHI_2019_20_G022,0021900311,2019-12-04,Denzel Valentine,940,340,-600,15:40,5:40,LIMITED_DONOR
CHI_2019_20_G022,0021900311,2019-12-04,Ryan Arcidiacono,886,406,-480,14:46,6:46,LIMITED_DONOR
CHI_2019_20_G023,0021900325,2019-12-06,Denzel Valentine,829,229,-600,13:49,3:49,LIMITED_DONOR
CHI_2019_20_G023,0021900325,2019-12-06,Ryan Arcidiacono,941,658,-283,15:41,10:58,LIMITED_DONOR
CHI_2019_20_G023,0021900325,2019-12-06,Shaquille Harrison,377,180,-197,6:17,3:00,LIMITED_DONOR
CHI_2019_20_G024,0021900337,2019-12-08,Denzel Valentine,857,257,-600,14:17,4:17,LIMITED_DONOR
CHI_2019_20_G024,0021900337,2019-12-08,Ryan Arcidiacono,411,360,-51,6:51,6:00,LIMITED_DONOR
CHI_2019_20_G024,0021900337,2019-12-08,Shaquille Harrison,562,180,-382,9:22,3:00,LIMITED_DONOR
CHI_2019_20_G024,0021900337,2019-12-08,Thaddeus Young,1355,1308,-47,22:35,21:48,LIMITED_DONOR
CHI_2019_20_G025,0021900345,2019-12-09,Denzel Valentine,1374,774,-600,22:54,12:54,LIMITED_DONOR
CHI_2019_20_G025,0021900345,2019-12-09,Ryan Arcidiacono,218,0,-218,3:38,0:00,LIMITED_DONOR
CHI_2019_20_G025,0021900345,2019-12-09,Shaquille Harrison,6,0,-6,0:06,0:00,LIMITED_DONOR
CHI_2019_20_G025,0021900345,2019-12-09,Thaddeus Young,1130,874,-256,18:50,14:34,LIMITED_DONOR
CHI_2019_20_G026,0021900361,2019-12-11,Denzel Valentine,1329,729,-600,22:09,12:09,LIMITED_DONOR
CHI_2019_20_G026,0021900361,2019-12-11,Ryan Arcidiacono,1001,800,-201,16:41,13:20,LIMITED_DONOR
CHI_2019_20_G026,0021900361,2019-12-11,Shaquille Harrison,459,180,-279,7:39,3:00,LIMITED_DONOR
CHI_2019_20_G027,0021900375,2019-12-13,Denzel Valentine,1063,463,-600,17:43,7:43,LIMITED_DONOR
CHI_2019_20_G027,0021900375,2019-12-13,Thaddeus Young,1593,1113,-480,26:33,18:33,LIMITED_DONOR
CHI_2019_20_G028,0021900382,2019-12-14,Denzel Valentine,1532,932,-600,25:32,15:32,LIMITED_DONOR
CHI_2019_20_G028,0021900382,2019-12-14,Ryan Arcidiacono,714,360,-354,11:54,6:00,LIMITED_DONOR
CHI_2019_20_G028,0021900382,2019-12-14,Shaquille Harrison,35,0,-35,0:35,0:00,LIMITED_DONOR
CHI_2019_20_G028,0021900382,2019-12-14,Thaddeus Young,1213,1122,-91,20:13,18:42,LIMITED_DONOR
CHI_2019_20_G029,0021900399,2019-12-16,Denzel Valentine,918,318,-600,15:18,5:18,LIMITED_DONOR
CHI_2019_20_G029,0021900399,2019-12-16,Thaddeus Young,1273,793,-480,21:13,13:13,LIMITED_DONOR
CHI_2019_20_G030,0021900409,2019-12-18,Denzel Valentine,500,180,-320,8:20,3:00,LIMITED_DONOR
CHI_2019_20_G030,0021900409,2019-12-18,Ryan Arcidiacono,845,737,-108,14:05,12:17,LIMITED_DONOR
CHI_2019_20_G030,0021900409,2019-12-18,Shaquille Harrison,352,180,-172,5:52,3:00,LIMITED_DONOR
CHI_2019_20_G030,0021900409,2019-12-18,Thaddeus Young,1185,705,-480,19:45,11:45,LIMITED_DONOR
CHI_2019_20_G031,0021900432,2019-12-21,Denzel Valentine,675,180,-495,11:15,3:00,LIMITED_DONOR
CHI_2019_20_G031,0021900432,2019-12-21,Ryan Arcidiacono,358,0,-358,5:58,0:00,LIMITED_DONOR
CHI_2019_20_G031,0021900432,2019-12-21,Thaddeus Young,1456,1229,-227,24:16,20:29,LIMITED_DONOR
CHI_2019_20_G032,0021900448,2019-12-23,Denzel Valentine,300,180,-120,5:00,3:00,LIMITED_DONOR
CHI_2019_20_G032,0021900448,2019-12-23,Ryan Arcidiacono,987,507,-480,16:27,8:27,LIMITED_DONOR
CHI_2019_20_G032,0021900448,2019-12-23,Thaddeus Young,1322,842,-480,22:02,14:02,LIMITED_DONOR
CHI_2019_20_G033,0021900477,2019-12-28,Adam Mokoka,202,0,-202,3:22,0:00,LIMITED_DONOR
CHI_2019_20_G033,0021900477,2019-12-28,Denzel Valentine,1002,402,-600,16:42,6:42,LIMITED_DONOR
CHI_2019_20_G033,0021900477,2019-12-28,Ryan Arcidiacono,366,360,-6,6:06,6:00,LIMITED_DONOR
CHI_2019_20_G033,0021900477,2019-12-28,Shaquille Harrison,317,180,-137,5:17,3:00,LIMITED_DONOR
CHI_2019_20_G033,0021900477,2019-12-28,Thaddeus Young,1375,1180,-195,22:55,19:40,LIMITED_DONOR
CHI_2019_20_G034,0021900493,2019-12-30,Adam Mokoka,153,0,-153,2:33,0:00,LIMITED_DONOR
CHI_2019_20_G034,0021900493,2019-12-30,Denzel Valentine,989,389,-600,16:29,6:29,LIMITED_DONOR
CHI_2019_20_G034,0021900493,2019-12-30,Ryan Arcidiacono,821,437,-384,13:41,7:17,LIMITED_DONOR
CHI_2019_20_G034,0021900493,2019-12-30,Shaquille Harrison,183,180,-3,3:03,3:00,LIMITED_DONOR
CHI_2019_20_G035,0021900511,2020-01-02,Denzel Valentine,387,180,-207,6:27,3:00,LIMITED_DONOR
CHI_2019_20_G035,0021900511,2020-01-02,Lauri Markkanen,1923,1926,3,32:03,32:06,PROTECTED_NET_ZERO
CHI_2019_20_G035,0021900511,2020-01-02,Shaquille Harrison,636,180,-456,10:36,3:00,LIMITED_DONOR
CHI_2019_20_G035,0021900511,2020-01-02,Thaddeus Young,957,477,-480,15:57,7:57,LIMITED_DONOR
CHI_2019_20_G036,0021900529,2020-01-04,Kris Dunn,2426,2126,-300,40:26,35:26,PROTECTED_NET_ZERO
CHI_2019_20_G036,0021900529,2020-01-04,Lauri Markkanen,1740,1380,-360,29:00,23:00,PROTECTED_NET_ZERO
CHI_2019_20_G036,0021900529,2020-01-04,Thaddeus Young,1631,1151,-480,27:11,19:11,LIMITED_DONOR
CHI_2019_20_G037,0021900545,2020-01-06,Chandler Hutchison,352,0,-352,5:52,0:00,DIRECT_REPLACED
CHI_2019_20_G037,0021900545,2020-01-06,Shaquille Harrison,603,180,-423,10:03,3:00,LIMITED_DONOR
CHI_2019_20_G037,0021900545,2020-01-06,Thaddeus Young,1657,1292,-365,27:37,21:32,LIMITED_DONOR
CHI_2019_20_G038,0021900560,2020-01-08,Chandler Hutchison,796,0,-796,13:16,0:00,DIRECT_REPLACED
CHI_2019_20_G038,0021900560,2020-01-08,Denzel Valentine,160,0,-160,2:40,0:00,LIMITED_DONOR
CHI_2019_20_G038,0021900560,2020-01-08,Ryan Arcidiacono,785,701,-84,13:05,11:41,LIMITED_DONOR
CHI_2019_20_G038,0021900560,2020-01-08,Shaquille Harrison,160,0,-160,2:40,0:00,LIMITED_DONOR
CHI_2019_20_G039,0021900570,2020-01-10,Chandler Hutchison,645,0,-645,10:45,0:00,DIRECT_REPLACED
CHI_2019_20_G039,0021900570,2020-01-10,Lauri Markkanen,2038,1963,-75,33:58,32:43,PROTECTED_NET_ZERO
CHI_2019_20_G039,0021900570,2020-01-10,Thaddeus Young,1490,1010,-480,24:50,16:50,LIMITED_DONOR
CHI_2019_20_G040,0021900579,2020-01-11,Chandler Hutchison,612,0,-612,10:12,0:00,DIRECT_REPLACED
CHI_2019_20_G040,0021900579,2020-01-11,Ryan Arcidiacono,1073,593,-480,17:53,9:53,LIMITED_DONOR
CHI_2019_20_G040,0021900579,2020-01-11,Thaddeus Young,1186,1078,-108,19:46,17:58,LIMITED_DONOR
CHI_2019_20_G041,0021900593,2020-01-13,Chandler Hutchison,864,0,-864,14:24,0:00,DIRECT_REPLACED
CHI_2019_20_G041,0021900593,2020-01-13,Denzel Valentine,120,0,-120,2:00,0:00,LIMITED_DONOR
CHI_2019_20_G041,0021900593,2020-01-13,Ryan Arcidiacono,806,755,-51,13:26,12:35,LIMITED_DONOR
CHI_2019_20_G041,0021900593,2020-01-13,Shaquille Harrison,120,0,-120,2:00,0:00,LIMITED_DONOR
CHI_2019_20_G041,0021900593,2020-01-13,Thaddeus Young,1463,1358,-105,24:23,22:38,LIMITED_DONOR
CHI_2019_20_G042,0021900607,2020-01-15,Chandler Hutchison,733,0,-733,12:13,0:00,DIRECT_REPLACED
CHI_2019_20_G042,0021900607,2020-01-15,Ryan Arcidiacono,1037,637,-400,17:17,10:37,LIMITED_DONOR
CHI_2019_20_G042,0021900607,2020-01-15,Shaquille Harrison,127,0,-127,2:07,0:00,LIMITED_DONOR
CHI_2019_20_G043,0021900620,2020-01-17,Chandler Hutchison,1216,0,-1216,20:16,0:00,DIRECT_REPLACED
CHI_2019_20_G043,0021900620,2020-01-17,Ryan Arcidiacono,834,730,-104,13:54,12:10,LIMITED_DONOR
CHI_2019_20_G044,0021900631,2020-01-18,Chandler Hutchison,1338,0,-1338,22:18,0:00,DIRECT_REPLACED
CHI_2019_20_G044,0021900631,2020-01-18,Lauri Markkanen,1979,2339,360,32:59,38:59,PROTECTED_NET_ZERO
CHI_2019_20_G044,0021900631,2020-01-18,Ryan Arcidiacono,296,277,-19,4:56,4:37,LIMITED_DONOR
CHI_2019_20_G044,0021900631,2020-01-18,Shaquille Harrison,503,180,-323,8:23,3:00,LIMITED_DONOR
CHI_2019_20_G045,0021900647,2020-01-20,Chandler Hutchison,1156,0,-1156,19:16,0:00,DIRECT_REPLACED
CHI_2019_20_G045,0021900647,2020-01-20,Denzel Valentine,124,0,-124,2:04,0:00,LIMITED_DONOR
CHI_2019_20_G045,0021900647,2020-01-20,Lauri Markkanen,1881,1965,84,31:21,32:45,PROTECTED_NET_ZERO
CHI_2019_20_G045,0021900647,2020-01-20,Shaquille Harrison,124,0,-124,2:04,0:00,LIMITED_DONOR
CHI_2019_20_G046,0021900661,2020-01-22,Chandler Hutchison,1231,0,-1231,20:31,0:00,DIRECT_REPLACED
CHI_2019_20_G046,0021900661,2020-01-22,Ryan Arcidiacono,880,791,-89,14:40,13:11,LIMITED_DONOR
CHI_2019_20_G047,0021900674,2020-01-24,Adam Mokoka,169,0,-169,2:49,0:00,LIMITED_DONOR
CHI_2019_20_G047,0021900674,2020-01-24,Chandler Hutchison,1192,0,-1192,19:52,0:00,DIRECT_REPLACED
CHI_2019_20_G047,0021900674,2020-01-24,Denzel Valentine,688,180,-508,11:28,3:00,LIMITED_DONOR
CHI_2019_20_G047,0021900674,2020-01-24,Kris Dunn,1624,1924,300,27:04,32:04,PROTECTED_NET_ZERO
CHI_2019_20_G047,0021900674,2020-01-24,Ryan Arcidiacono,773,875,102,12:53,14:35,LIMITED_DONOR
CHI_2019_20_G047,0021900674,2020-01-24,Shaquille Harrison,513,180,-333,8:33,3:00,LIMITED_DONOR
CHI_2019_20_G047,0021900674,2020-01-24,Thaddeus Young,1764,2244,480,29:24,37:24,LIMITED_DONOR
CHI_2019_20_G048,0021900682,2020-01-25,Chandler Hutchison,923,0,-923,15:23,0:00,DIRECT_REPLACED
CHI_2019_20_G048,0021900682,2020-01-25,Denzel Valentine,652,180,-472,10:52,3:00,LIMITED_DONOR
CHI_2019_20_G048,0021900682,2020-01-25,Thaddeus Young,2084,2219,135,34:44,36:59,LIMITED_DONOR
CHI_2019_20_G049,0021900695,2020-01-27,Chandler Hutchison,1241,0,-1241,20:41,0:00,DIRECT_REPLACED
CHI_2019_20_G049,0021900695,2020-01-27,Denzel Valentine,1146,587,-559,19:06,9:47,LIMITED_DONOR
CHI_2019_20_G049,0021900695,2020-01-27,Ryan Arcidiacono,297,777,480,4:57,12:57,LIMITED_DONOR
CHI_2019_20_G050,0021900708,2020-01-29,Chandler Hutchison,1656,0,-1656,27:36,0:00,DIRECT_REPLACED
CHI_2019_20_G050,0021900708,2020-01-29,Denzel Valentine,1309,1105,-204,21:49,18:25,LIMITED_DONOR
CHI_2019_20_G050,0021900708,2020-01-29,Thaddeus Young,2153,2633,480,35:53,43:53,LIMITED_DONOR
CHI_2019_20_G051,0021900721,2020-01-31,Adam Mokoka,213,0,-213,3:33,0:00,LIMITED_DONOR
CHI_2019_20_G051,0021900721,2020-01-31,Chandler Hutchison,1307,0,-1307,21:47,0:00,DIRECT_REPLACED
CHI_2019_20_G051,0021900721,2020-01-31,Denzel Valentine,975,711,-264,16:15,11:51,LIMITED_DONOR
CHI_2019_20_G051,0021900721,2020-01-31,Ryan Arcidiacono,1023,1483,460,17:03,24:43,LIMITED_DONOR
CHI_2019_20_G051,0021900721,2020-01-31,Shaquille Harrison,656,180,-476,10:56,3:00,LIMITED_DONOR
CHI_2019_20_G051,0021900721,2020-01-31,Thaddeus Young,1849,2329,480,30:49,38:49,LIMITED_DONOR
CHI_2019_20_G052,0021900740,2020-02-02,Adam Mokoka,266,0,-266,4:26,0:00,LIMITED_DONOR
CHI_2019_20_G052,0021900740,2020-02-02,Chandler Hutchison,1657,0,-1657,27:37,0:00,DIRECT_REPLACED
CHI_2019_20_G052,0021900740,2020-02-02,Denzel Valentine,814,214,-600,13:34,3:34,LIMITED_DONOR
CHI_2019_20_G052,0021900740,2020-02-02,Ryan Arcidiacono,1457,1786,329,24:17,29:46,LIMITED_DONOR
CHI_2019_20_G052,0021900740,2020-02-02,Shaquille Harrison,266,180,-86,4:26,3:00,LIMITED_DONOR
CHI_2019_20_G052,0021900740,2020-02-02,Thaddeus Young,1787,2267,480,29:47,37:47,LIMITED_DONOR
CHI_2019_20_G053,0021900765,2020-02-06,Adam Mokoka,307,0,-307,5:07,0:00,LIMITED_DONOR
CHI_2019_20_G053,0021900765,2020-02-06,Chandler Hutchison,1897,0,-1897,31:37,0:00,DIRECT_REPLACED
CHI_2019_20_G053,0021900765,2020-02-06,Ryan Arcidiacono,1489,1953,464,24:49,32:33,LIMITED_DONOR
CHI_2019_20_G053,0021900765,2020-02-06,Shaquille Harrison,1075,475,-600,17:55,7:55,LIMITED_DONOR
CHI_2019_20_G053,0021900765,2020-02-06,Thaddeus Young,1865,2345,480,31:05,39:05,LIMITED_DONOR
CHI_2019_20_G054,0021900788,2020-02-09,Chandler Hutchison,1869,0,-1869,31:09,0:00,DIRECT_REPLACED
CHI_2019_20_G054,0021900788,2020-02-09,Ryan Arcidiacono,1152,1403,251,19:12,23:23,LIMITED_DONOR
CHI_2019_20_G054,0021900788,2020-02-09,Shaquille Harrison,422,180,-242,7:02,3:00,LIMITED_DONOR
CHI_2019_20_G055,0021900803,2020-02-11,Chandler Hutchison,1712,0,-1712,28:32,0:00,DIRECT_REPLACED
CHI_2019_20_G055,0021900803,2020-02-11,Shaquille Harrison,661,180,-481,11:01,3:00,LIMITED_DONOR
CHI_2019_20_G055,0021900803,2020-02-11,Thaddeus Young,1977,2370,393,32:57,39:30,LIMITED_DONOR
CHI_2019_20_G056,0021900823,2020-02-20,Ryan Arcidiacono,1707,1227,-480,28:27,20:27,LIMITED_DONOR
CHI_2019_20_G056,0021900823,2020-02-20,Shaquille Harrison,1099,499,-600,18:19,8:19,LIMITED_DONOR
CHI_2019_20_G056,0021900823,2020-02-20,Thaddeus Young,2153,2033,-120,35:53,33:53,LIMITED_DONOR
CHI_2019_20_G057,0021900839,2020-02-22,Adam Mokoka,1020,0,-1020,17:00,0:00,LIMITED_DONOR
CHI_2019_20_G057,0021900839,2020-02-22,Shaquille Harrison,1079,479,-600,17:59,7:59,LIMITED_DONOR
CHI_2019_20_G057,0021900839,2020-02-22,Thaddeus Young,1860,2280,420,31:00,38:00,LIMITED_DONOR
CHI_2019_20_G058,0021900845,2020-02-23,Adam Mokoka,1106,240,-866,18:26,4:00,LIMITED_DONOR
CHI_2019_20_G058,0021900845,2020-02-23,Shaquille Harrison,951,351,-600,15:51,5:51,LIMITED_DONOR
CHI_2019_20_G058,0021900845,2020-02-23,Thaddeus Young,1824,2090,266,30:24,34:50,LIMITED_DONOR
CHI_2019_20_G059,0021900859,2020-02-25,Adam Mokoka,1149,350,-799,19:09,5:50,LIMITED_DONOR
CHI_2019_20_G059,0021900859,2020-02-25,Shaquille Harrison,1303,703,-600,21:43,11:43,LIMITED_DONOR
CHI_2019_20_G059,0021900859,2020-02-25,Thaddeus Young,1787,1986,199,29:47,33:06,LIMITED_DONOR
CHI_2019_20_G060,0021900887,2020-02-29,Adam Mokoka,985,0,-985,16:25,0:00,LIMITED_DONOR
CHI_2019_20_G060,0021900887,2020-02-29,Denzel Valentine,624,180,-444,10:24,3:00,LIMITED_DONOR
CHI_2019_20_G060,0021900887,2020-02-29,Ryan Arcidiacono,1208,1326,118,20:08,22:06,LIMITED_DONOR
CHI_2019_20_G060,0021900887,2020-02-29,Shaquille Harrison,802,493,-309,13:22,8:13,LIMITED_DONOR
CHI_2019_20_G061,0021900907,2020-03-02,Adam Mokoka,1130,710,-420,18:50,11:50,LIMITED_DONOR
CHI_2019_20_G061,0021900907,2020-03-02,Denzel Valentine,1266,666,-600,21:06,11:06,LIMITED_DONOR
CHI_2019_20_G061,0021900907,2020-03-02,Shaquille Harrison,945,345,-600,15:45,5:45,LIMITED_DONOR
CHI_2019_20_G062,0021900922,2020-03-04,Denzel Valentine,1082,482,-600,18:02,8:02,LIMITED_DONOR
CHI_2019_20_G062,0021900922,2020-03-04,Shaquille Harrison,1718,1118,-600,28:38,18:38,LIMITED_DONOR
CHI_2019_20_G062,0021900922,2020-03-04,Thaddeus Young,1722,1302,-420,28:42,21:42,LIMITED_DONOR
CHI_2019_20_G063,0021900934,2020-03-06,Denzel Valentine,1644,1044,-600,27:24,17:24,LIMITED_DONOR
CHI_2019_20_G063,0021900934,2020-03-06,Lauri Markkanen,1349,1409,60,22:29,23:29,PROTECTED_NET_ZERO
CHI_2019_20_G063,0021900934,2020-03-06,Shaquille Harrison,2039,1439,-600,33:59,23:59,LIMITED_DONOR
CHI_2019_20_G063,0021900934,2020-03-06,Thaddeus Young,1531,1051,-480,25:31,17:31,LIMITED_DONOR
CHI_2019_20_G064,0021900946,2020-03-08,Denzel Valentine,1357,757,-600,22:37,12:37,LIMITED_DONOR
CHI_2019_20_G064,0021900946,2020-03-08,Shaquille Harrison,2142,1542,-600,35:42,25:42,LIMITED_DONOR
CHI_2019_20_G065,0021900962,2020-03-10,Denzel Valentine,1362,762,-600,22:42,12:42,LIMITED_DONOR
CHI_2019_20_G065,0021900962,2020-03-10,Shaquille Harrison,1781,1181,-600,29:41,19:41,LIMITED_DONOR
CHI_2019_20_G065,0021900962,2020-03-10,Thaddeus Young,1256,1196,-60,20:56,19:56,LIMITED_DONOR
