event_id,date,actual_margin,elo_pB,ert_delta_low,ert_delta_base,ert_delta_high
CHI_2018_19_G050,2019-01-27,-3,0.638365606,-0.00786500,0.44213500,0.69213500
CHI_2018_19_G051,2019-01-29,-5,0.122366028,-0.18174542,0.26825458,0.51825458
CHI_2018_19_G052,2019-01-30,16,0.131975526,-0.13161146,0.31838854,0.56838854
CHI_2018_19_G053,2019-02-02,-7,0.168390856,-0.13161146,0.31838854,0.56838854
CHI_2018_19_G054,2019-02-06,-5,0.343822613,-0.08470246,0.36529754,0.61529754
CHI_2018_19_G055,2019-02-08,19,0.150608029,-0.03738321,0.48761679,0.77928346
CHI_2018_19_G056,2019-02-09,-9,0.449069671,-0.12862517,0.39637483,0.68804150
CHI_2018_19_G057,2019-02-11,-13,0.184699532,-0.03738321,0.48761679,0.77928346
CHI_2018_19_G058,2019-02-13,12,0.530201175,-0.12862517,0.39637483,0.68804150
CHI_2018_19_G059,2019-02-22,1,0.143440178,-0.27083650,0.17916350,0.42916350
CHI_2018_19_G060,2019-02-23,10,0.278262514,-0.12862517,0.39637483,0.68804150
CHI_2018_19_G061,2019-02-25,-11,0.197590453,0.06493894,0.62743894,0.93993894
CHI_2018_19_G062,2019-02-27,2,0.324159329,-0.22230054,0.30269946,0.59436613
CHI_2018_19_G063,2019-03-01,7,0.360360934,-0.12862517,0.39637483,0.68804150
CHI_2018_19_G064,2019-03-03,-5,0.670873087,0.06493894,0.62743894,0.93993894
CHI_2018_19_G065,2019-03-05,-9,0.141040564,-0.27083650,0.17916350,0.42916350
CHI_2018_19_G066,2019-03-06,1,0.289546498,-0.03738321,0.48761679,0.77928346
CHI_2018_19_G067,2019-03-08,-8,0.397320850,-0.12862517,0.39637483,0.68804150
CHI_2018_19_G068,2019-03-10,-23,0.161589253,0.06493894,0.62743894,0.93993894
CHI_2018_19_G069,2019-03-12,-16,0.552887878,0.06493894,0.62743894,0.93993894
CHI_2018_19_G070,2019-03-15,-7,0.147817316,-0.12862517,0.39637483,0.68804150
CHI_2018_19_G071,2019-03-17,-27,0.215077465,-0.00325175,0.59674825,0.93008158
CHI_2018_19_G072,2019-03-18,15,0.372096248,-0.00325175,0.59674825,0.93008158
CHI_2018_19_G073,2019-03-20,6,0.480139195,-0.00325175,0.59674825,0.93008158
CHI_2018_19_G074,2019-03-23,-31,0.283920570,-0.01867629,0.58132371,0.91465704
CHI_2018_19_G075,2019-03-26,-9,0.112507800,-0.01867629,0.58132371,0.91465704
CHI_2018_19_G076,2019-03-27,-20,0.236331736,0.24459573,0.84459573,1.17792906
CHI_2018_19_G077,2019-03-30,-23,0.267739291,0.24459573,0.84459573,1.17792906
CHI_2018_19_G078,2019-04-01,-8,0.484467418,-0.85073208,-0.25073208,0.08260125
CHI_2018_19_G079,2019-04-03,1,0.212648795,-0.63768092,-0.03768092,0.29565242
CHI_2018_19_G080,2019-04-06,-20,0.290642840,-0.63768092,-0.03768092,0.29565242
CHI_2018_19_G081,2019-04-09,-10,0.722609025,-0.63768092,-0.03768092,0.29565242
CHI_2018_19_G082,2019-04-10,-16,0.105633952,0.24459573,0.84459573,1.17792906
